Name1	Genre1	DetailType1	ParticularType1	Level1	Name2	Genre2	DetailType2	ParticularType2	Level2	EquipLevel
逐鹿之华夏腾龙束腰	4	8	351	10	逐鹿之灵均束腰	4	8	517	10	1
逐鹿之华夏飞凤玉带	4	8	352	10	逐鹿之灵均玉带	4	8	518	10	1
逐鹿之华夏腾龙束腰	4	8	371	10	逐鹿之灵均束腰	4	8	521	10	1
逐鹿之华夏飞凤玉带	4	8	372	10	逐鹿之灵均玉带	4	8	522	10	1
逐鹿之华夏腾龙束腰	4	8	391	10	逐鹿之灵均束腰	4	8	525	10	1
逐鹿之华夏飞凤玉带	4	8	392	10	逐鹿之灵均玉带	4	8	526	10	1
逐鹿之华夏腾龙束腰	4	8	411	10	逐鹿之灵均束腰	4	8	529	10	1
逐鹿之华夏飞凤玉带	4	8	412	10	逐鹿之灵均玉带	4	8	530	10	1
逐鹿之华夏腾龙束腰	4	8	431	10	逐鹿之灵均束腰	4	8	533	10	1
逐鹿之华夏飞凤玉带	4	8	432	10	逐鹿之灵均玉带	4	8	534	10	1
逐鹿之华夏腾龙束腰	4	8	457	10	逐鹿之灵均束腰	4	8	537	10	1
逐鹿之华夏飞凤玉带	4	8	458	10	逐鹿之灵均玉带	4	8	538	10	1
逐鹿之华夏腾龙束腰	4	8	461	10	逐鹿之灵均束腰	4	8	541	10	1
逐鹿之华夏飞凤玉带	4	8	462	10	逐鹿之灵均玉带	4	8	542	10	1
逐鹿之华夏腾龙束腰	4	8	465	10	逐鹿之灵均束腰	4	8	545	10	1
逐鹿之华夏飞凤玉带	4	8	466	10	逐鹿之灵均玉带	4	8	546	10	1
逐鹿之华夏腾龙束腰	4	8	469	10	逐鹿之灵均束腰	4	8	549	10	1
逐鹿之华夏飞凤玉带	4	8	470	10	逐鹿之灵均玉带	4	8	550	10	1
逐鹿之华夏腾龙束腰	4	8	473	10	逐鹿之灵均束腰	4	8	553	10	1
逐鹿之华夏飞凤玉带	4	8	474	10	逐鹿之灵均玉带	4	8	554	10	1
逐鹿之神州炎帝束腰	4	8	353	10	逐鹿之天问束腰	4	8	519	10	2
逐鹿之神州女娲玉带	4	8	354	10	逐鹿之天问玉带	4	8	520	10	2
逐鹿之神州炎帝束腰	4	8	373	10	逐鹿之天问束腰	4	8	523	10	2
逐鹿之神州女娲玉带	4	8	374	10	逐鹿之天问玉带	4	8	524	10	2
逐鹿之神州炎帝束腰	4	8	393	10	逐鹿之天问束腰	4	8	527	10	2
逐鹿之神州女娲玉带	4	8	394	10	逐鹿之天问玉带	4	8	528	10	2
逐鹿之神州炎帝束腰	4	8	413	10	逐鹿之天问束腰	4	8	531	10	2
逐鹿之神州女娲玉带	4	8	414	10	逐鹿之天问玉带	4	8	532	10	2
逐鹿之神州炎帝束腰	4	8	433	10	逐鹿之天问束腰	4	8	535	10	2
逐鹿之神州女娲玉带	4	8	434	10	逐鹿之天问玉带	4	8	536	10	2
逐鹿之神州炎帝束腰	4	8	459	10	逐鹿之天问束腰	4	8	539	10	2
逐鹿之神州女娲玉带	4	8	460	10	逐鹿之天问玉带	4	8	540	10	2
逐鹿之神州炎帝束腰	4	8	463	10	逐鹿之天问束腰	4	8	543	10	2
逐鹿之神州女娲玉带	4	8	464	10	逐鹿之天问玉带	4	8	544	10	2
逐鹿之神州炎帝束腰	4	8	467	10	逐鹿之天问束腰	4	8	547	10	2
逐鹿之神州女娲玉带	4	8	468	10	逐鹿之天问玉带	4	8	548	10	2
逐鹿之神州炎帝束腰	4	8	471	10	逐鹿之天问束腰	4	8	551	10	2
逐鹿之神州女娲玉带	4	8	472	10	逐鹿之天问玉带	4	8	552	10	2
逐鹿之神州炎帝束腰	4	8	475	10	逐鹿之天问束腰	4	8	555	10	2
逐鹿之神州女娲玉带	4	8	476	10	逐鹿之天问玉带	4	8	556	10	2
