MAPID	POSX	POSY
1	42048	100256
1	42336	100512
1	43968	101728
1	43520	101696
1	44352	101760
1	45024	101408
1	45504	102176
1	45312	102016
1	45568	100832
1	45984	100384
1	46368	100160
1	47008	99296
1	46784	102816
1	47136	99488
1	47232	100224
1	47904	103488
1	48192	104480
1	48640	104544
2	52064	115520
2	51840	115296
2	55968	115616
2	56608	116160
2	56864	116928
2	57440	115872
2	57856	115936
2	58592	116928
2	59040	117632
2	58976	117056
2	59232	117728
2	59840	117088
2	60160	116768
2	60896	115584
2	61280	115200
2	61440	115008
3	52000	100736
3	52448	101216
3	53344	102112
3	53920	102656
3	54496	103232
3	54816	103584
3	54976	103744
3	55104	103872
4	49184	105088
4	51072	99072
4	50912	99488
4	50944	100096
4	50752	99968
4	51328	101152
4	51424	101248
4	51200	102464
4	51424	108224
4	52192	107456
4	51712	107904
4	52224	103040
4	52608	106880
4	53056	106496
4	53664	102560
4	53408	106112
4	54240	102336
4	54112	104864
4	54624	102720
4	54688	104224
4	55104	103776
5	48160	98752
5	48672	101696
5	49088	102048
5	49728	102880
5	50368	96288
5	51584	95104
5	51968	103328
5	52320	96640
5	52256	97664
5	53216	100000
5	53088	102080
5	53120	102368
5	53024	103072
5	52832	102816
5	53024	103872
5	53312	100576
5	53248	103328
6	47136	98144
6	47392	98400
6	49344	100608
6	50880	94720
6	50816	101536
6	51200	94688
6	51328	95104
6	51392	94912
6	52992	97184
6	53440	96672
6	53440	97856
6	53632	101920
6	53440	103424
6	53248	103648
6	53792	97408
6	54240	102976
6	54464	103136
6	55264	96896
6	55136	97344
6	54784	97536
7	45248	109536
7	45728	109856
7	46432	108096
7	46208	108384
7	46080	108832
7	46528	108864
7	46080	109632
7	46752	107904
7	46624	108032
7	46848	108640
7	47136	108096
7	47168	109536
7	47424	109952
7	50080	109824
7	50400	109312
7	52800	109408
8	49664	107072
8	50016	107392
8	50432	107264
8	51008	107584
8	51488	109952
8	51776	106784
8	52032	109440
8	51744	109728
8	52224	106208
8	52288	110912
8	53664	111456
8	54208	111392
8	54016	113984
8	54720	113792
8	55008	111904
8	54912	112640
8	55744	114976
8	56128	105824
8	56064	112576
8	56000	113376
8	56160	114336
8	56160	115136
8	56320	105632
8	56768	106976
8	56800	107264
8	56416	113632
8	56864	110080
8	57088	109856
8	56928	112384
8	57120	113184
8	57216	113920
8	57472	109504
8	57952	109536
8	58848	109344
8	58528	109632
8	59840	108096
8	59552	108992
23	48544	100736
23	48160	100352
23	49440	101632
23	49632	101792
23	49824	102016
23	50784	103520
23	51040	103744
24	56992	117952
24	57344	117664
24	57600	117408
24	57952	117120
26	47968	100992
26	47712	100704
26	48448	101504
26	48800	102112
26	49184	102592
26	49568	102880
26	49344	102720
26	50016	103584
26	50112	103936
26	50048	107424
26	49952	108448
26	49696	107872
26	50208	108640
26	50560	108576
26	50816	108352
26	51680	105728
26	51488	106496
27	48672	107488
27	49024	108128
27	49216	107968
29	46944	131520
29	48192	132736
29	49248	126944
29	49536	126688
29	50144	128576
29	51456	123584
29	51232	123904
29	51200	129504
29	51968	130272
29	52320	122752
29	52320	130720
29	52704	131104
29	53632	130752
29	53312	131072
29	53888	130496
29	54880	124736
29	55136	125024
29	55424	125312
29	55488	128832
29	56032	127936
