MAPID	POSX	POSY
23	46528	100352
23	46912	99936
23	46880	101120
23	47584	101824
23	47776	96896
23	47616	99264
23	48384	97536
23	48608	99968
23	48416	102688
23	48736	95904
23	48800	103072
23	49216	95424
23	49216	98432
23	49632	102784
23	49312	103136
23	49760	95104
23	49856	98944
23	50304	94496
23	50496	98336
23	50176	99648
23	50336	103936
23	50560	104160
23	50368	104608
23	50976	98816
23	51072	100320
23	51200	97440
23	51616	99936
23	52000	96512
23	52192	97344
23	52064	100352
23	51840	103264
23	52416	97056
23	52416	99072
23	52704	102048
23	52736	97376
23	52736	98016
23	53120	101728
23	53280	97856
27	48960	103552
27	49344	100512
27	49632	103072
27	49248	104224
27	50048	99936
27	50080	102112
27	50368	104704
27	50368	106560
27	50752	102144
27	50976	104064
27	51264	99744
27	51520	102944
27	51296	103744
27	52128	100320
27	51968	101888
27	52000	102464
27	52000	103424
27	51712	104128
27	52448	102944
27	53088	100320
27	52832	101344
27	53088	104096
27	53472	100640
27	53312	101760
27	53408	104416
27	54016	102592
27	54400	102976
27	54592	104576
27	54880	104224
28	46656	105568
28	47584	104864
28	47136	106304
28	47488	106656
28	47392	108960
28	48064	104352
28	47968	105376
28	47904	107424
28	48512	104832
28	48736	104256
28	48864	105120
28	49440	103456
28	49216	104736
28	49504	106880
28	49760	103808
28	49856	107232
28	50336	103776
28	50336	107776
28	50784	103328
28	51680	102048
28	52000	102400
28	52544	102944
28	53056	103424
28	54688	106432
28	55072	106848
28	56224	105504
28	55808	107584
28	56736	106016
28	56384	107584
28	56864	107072
24	49504	110976
24	49920	111360
24	50400	110848
24	50912	110336
24	50720	112192
24	51328	112800
24	51840	113344
24	52672	107712
24	52384	108832
24	52320	113856
24	53088	108160
24	52896	114432
24	53536	108640
24	53344	114880
24	54112	108128
24	53952	115456
24	54848	115168
24	55392	114688
24	56192	111616
24	55872	111968
24	56032	113120
24	56640	111200
24	56480	113568
24	57312	111392
24	57344	113888
24	57920	111968
24	57888	113280
24	58816	108864
24	59264	109344
24	58944	110496
24	59616	109824
24	60352	109216
24	60800	108800
24	60480	109984
24	60864	110464
24	61184	108384
24	61344	111616
24	61568	108000
24	61888	107648
24	61792	112064
24	62880	113120
29	47872	121088
29	48032	121280
29	47808	121504
29	47648	121344
29	48416	130656
29	48768	130304
29	49312	122560
29	49600	129440
29	49664	122880
29	50016	123264
29	49952	129056
29	51072	127776
29	50720	129696
29	51264	130208
29	51840	121952
29	51808	125664
29	52128	125312
29	52064	126784
29	51744	126432
29	51872	130816
29	52352	121504
29	52544	125184
29	52544	131456
29	53024	125664
29	53056	126464
29	52768	126784
29	53472	125280
29	54048	124640
29	54624	128032
29	54880	123680
29	55232	126880
29	55040	128448
29	55328	123232
29	55680	126464
29	55808	122752
29	56160	122400
25	48448	103584
25	48768	98464
25	49056	102976
25	49216	97984
25	49376	98976
25	49600	102464
25	49440	106400
25	49664	97536
25	49984	105856
25	50400	96864
25	50208	99808
25	50176	101856
25	50304	103232
25	51104	97568
25	50784	100352
25	50720	101440
25	51136	104064
25	50848	105024
25	51552	97984
25	51552	100928
25	51936	98368
25	52032	100288
25	52064	101472
25	52512	98976
25	52416	99840
25	52544	101984
25	52960	100288
25	52992	101408
25	53504	100864
25	53536	103040
25	53792	99584
25	54592	98944
25	54272	103712
25	55104	98464
25	55136	100576
25	55040	104032
25	55648	97856
25	55552	100992
25	56096	101504
25	55808	103328
26	46304	103072
26	47072	103936
26	47392	104288
26	47552	105024
26	47264	104704
26	48096	105664
26	48768	106304
26	49184	106752
26	49984	102624
26	49920	104352
26	50400	102016
26	50272	104736
26	50656	105152
26	50912	101536
26	51072	102688
26	51328	99328
26	51584	102240
26	52096	100512
26	51904	102752
26	52544	100096
26	52416	103232
26	52832	101184
26	53408	101760
26	54400	101920
26	54848	102368
