Level	Value
1	200 
2	300 
3	400 
4	500 
5	600 
6	700 
7	800 
8	900 
9	1000 
10	1100 
11	1200 
12	1300 
13	1400 
14	1500 
15	1600 
16	1700 
17	1800 
18	1900 
19	2000 
20	2100 
21	2200 
22	2300 
23	2400 
24	2500 
25	2600 
26	2700 
27	2800 
28	2900 
29	3000 
30	3100 
31	3200 
32	3300 
33	3400 
34	3500 
35	3600 
36	3700 
37	3800 
38	3900 
39	4000 
40	4100 
41	4200 
42	4300 
43	4400 
44	4500 
45	4600 
46	4700 
47	4800 
48	4900 
49	5000 
50	5100 
51	5200 
52	5300 
53	5400 
54	5500 
55	5600 
56	5700 
57	5800 
58	5900 
59	6000 
60	6100 
61	6200 
62	6300 
63	6400 
64	6500 
65	6600 
66	6700 
67	6800 
68	6900 
69	7000 
70	7100 
71	7200 
72	7300 
73	7400 
74	7500 
75	7600 
76	7700 
77	7800 
78	7900 
79	8000 
80	8100 
81	8200 
82	8300 
83	8400 
84	8500 
85	8600 
86	8700 
87	8800 
88	8900 
89	9000 
90	9100 
91	9200 
92	9300 
93	9400 
94	9500 
95	9600 
96	9700 
97	9800 
98	9900 
99	10000 
100	0 
