TaskId	TaskName	TaskType	Diff	Genre	Detail	Particular	Level	Series	Num	ItemName	Suffix	Step01	Step02	Step03	LevelFlag	AwardExp	NeedTime
任务编号	任务名	任务类型	难度	大类	分类	细类	等级	五行	数量	物品名	后缀名	步骤1-9	步骤10	步骤100	达到60级	获得经验	需要时间(秒)
1	去襄阳特产商人处购买1个白云杯	GiveItem	1	18	1	121	1		1	白云杯		1000	0	0	0	0.6	30
2	去成都特产商人处购买1个青瓷倒装壶	GiveItem	1	18	1	122	1		1	青瓷倒装壶		1000	0	0	0	0.6	30
3	去扬州特产商人处购买1个青花白瓷瓶	GiveItem	1	18	1	124	1		1	青花白瓷瓶		1000	0	0	0	0.6	30
4	去临安特产商人处购买1个青铜杯	GiveItem	1	18	1	125	1		1	青铜杯		1000	0	0	0	0.6	30
5	去汴京特产商人处购买1个白釉壶	GiveItem	1	18	1	119	1		1	白釉壶		1000	0	0	0	0.6	30
6	去凤翔特产商人处购买1个釉红转杯	GiveItem	1	18	1	120	1		1	釉红转杯		1000	0	0	0	0.6	30
7	去大理特产商人处购买1个雷池面具	GiveItem	1	18	1	123	1		1	雷池面具		1000	0	0	0	0.6	30
8	去江津村特产商人处购买1个串串香	GiveItem	2	18	1	130	1		1	串串香		500	0	0	0	0.6	45
9	去龙泉村特产商人处购买1把铸剑锤	GiveItem	2	18	1	132	1		1	铸剑锤		500	0	0	0	0.6	45
10	去稻香村特产商人处购买1束融泽谷	GiveItem	2	18	1	129	1		1	融泽谷		500	0	0	0	0.6	45
11	去巴陵县特产商人处购买1盘清蒸鲈鱼	GiveItem	2	18	1	131	1		1	清蒸鲈鱼		500	0	0	0	0.6	45
12	去永乐镇特产商人处购买1个玉如意	GiveItem	2	18	1	128	1		1	玉如意		500	0	0	0	0.6	45
13	去云中镇特产商人处购买1只软翅蝶筝	GiveItem	2	18	1	127	1		1	软翅蝶筝		500	0	0	0	0.6	45
14	去石鼓镇特产商人处购买1条神秘龙骨	GiveItem	2	18	1	133	1		1	神秘龙骨		500	0	0	0	0.6	45
15	去龙门镇特产商人处购买1个龙纹壁	GiveItem	2	18	1	126	1		1	龙纹壁		500	0	0	0	0.6	45
16	去少林派神秘商人处购买1只万佛扳指（神秘商人在少林派内随机出现，请仔细寻找）	GiveItem	3	18	1	134	1		1	万佛扳指		0	1000	0	0	0.6	180
17	去天王帮神秘商人处购买1颗夜明珠（神秘商人在天王帮内随机出现，请仔细寻找）	GiveItem	3	18	1	135	1		1	夜明珠		0	1000	0	0	0.6	180
18	去唐门神秘商人处购买1个猎兽夹（神秘商人在唐门内随机出现，请仔细寻找）	GiveItem	3	18	1	136	1		1	猎兽夹		0	1000	0	0	0.6	180
19	去五毒教神秘商人处购买1条骷髅链（神秘商人在五毒教内随机出现，请仔细寻找）	GiveItem	3	18	1	137	1		1	骷髅链		0	1000	0	0	0.6	180
20	去峨嵋派神秘商人处购买1个琉璃簪（神秘商人在峨嵋派内随机出现，请仔细寻找）	GiveItem	3	18	1	139	1		1	琉璃簪		0	1000	0	0	0.6	180
21	去翠烟门神秘商人处购买1朵绿牡丹（神秘商人在翠烟门内随机出现，请仔细寻找）	GiveItem	3	18	1	140	1		1	绿牡丹		0	1000	0	0	0.6	180
22	去丐帮神秘商人处购买1只叫花鸡（神秘商人在丐帮内随机出现，请仔细寻找）	GiveItem	3	18	1	142	1		1	叫花鸡		0	1000	0	0	0.6	180
23	去天忍教神秘商人处购买1个铁马镫（神秘商人在天忍教内随机出现，请仔细寻找）	GiveItem	3	18	1	143	1		1	铁马镫		0	1000	0	0	0.6	180
24	去武当派神秘商人处购买1个镇宅宝镜（神秘商人在武当派内随机出现，请仔细寻找）	GiveItem	3	18	1	144	1		1	镇宅宝镜		0	1000	0	0	0.6	180
25	去昆仑派神秘商人处购买1只雪山熊掌（神秘商人在昆仑派内随机出现，请仔细寻找）	GiveItem	3	18	1	145	1		1	雪山熊掌		0	1000	0	0	0.6	180
26	去大理段氏神秘商人处购买1张踏歌图（神秘商人在大理段氏内随机出现，请仔细寻找）	GiveItem	3	18	1	141	1		1	踏歌图		0	1000	0	0	0.6	180
27	去明教神秘商人处购买1张秘毒方（神秘商人在明教内随机出现，请仔细寻找）	GiveItem	3	18	1	138	1		1	秘毒方		0	1000	0	0	0.6	180
