TaskId	TaskName	StepDesc	TaskType	Diff	NpcName	MapId	NpcId	Step01	Step02	Step03	LevelFlag	AwardExp	NeedTime
任务编号	任务名	寻路描述	任务类型	难度	送信给的Npc名	Npc所在地图Id	送信给的NpcId	步骤1-9	步骤10	步骤100	达到60级	获得经验	需要时间(秒)
1	送信给襄阳府兵器铺老板		GiveItem	1	甜酒叔	25	3561	1000	0	0	0	0.6	30
2	送信给襄阳府防具铺老板		GiveItem	1	沈荷叶	25	3562	1000	0	0	0	0.6	30
3	送信给襄阳府首饰铺老板		GiveItem	1	郝漂靓	25	3563	1000	0	0	0	0.6	30
4	送信给襄阳府杂货铺老板		GiveItem	1	不动先生	25	3565	1000	0	0	0	0.6	30
5	送信给襄阳府药铺老板		GiveItem	1	张斩经	25	3564	1000	0	0	0	0.6	30
6	送信给襄阳府酒楼老板		GiveItem	1	大老白	25	3566	1000	0	0	0	0.6	30
7	送信给襄阳府礼官		GiveItem	1	礼官	25	2601	1000	0	0	0	0.6	30
8	送信给襄阳府公平子		GiveItem	1	公平子	25	2501	1000	0	0	0	0.6	30
9	送信给襄阳府叶芷琳		GiveItem	1	叶芷琳	25	3576	1000	0	0	0	0.6	30
10	送信给襄阳府冶炼大师		GiveItem	1	冶炼大师	25	3574	1000	0	0	0	0.6	30
11	送信给成都府兵器铺老板		GiveItem	1	甜酒叔	27	3561	1000	0	0	0	0.6	30
12	送信给成都府防具铺老板		GiveItem	1	沈荷叶	27	3562	1000	0	0	0	0.6	30
13	送信给成都府首饰铺老板		GiveItem	1	郝漂靓	27	3563	1000	0	0	0	0.6	30
14	送信给成都府杂货铺老板		GiveItem	1	不动先生	27	3565	1000	0	0	0	0.6	30
15	送信给成都府药铺老板		GiveItem	1	张斩经	27	3564	1000	0	0	0	0.6	30
16	送信给成都府酒楼老板		GiveItem	1	大老白	27	3566	1000	0	0	0	0.6	30
17	送信给成都府礼官		GiveItem	1	礼官	27	2601	1000	0	0	0	0.6	30
18	送信给成都府公平子		GiveItem	1	公平子	27	2501	1000	0	0	0	0.6	30
19	送信给成都府叶芷琳		GiveItem	1	叶芷琳	27	3576	1000	0	0	0	0.6	30
20	送信给成都府冶炼大师		GiveItem	1	冶炼大师	27	3574	1000	0	0	0	0.6	30
21	送信给扬州府兵器铺老板		GiveItem	1	甜酒叔	26	3561	1000	0	0	0	0.6	30
22	送信给扬州府防具铺老板		GiveItem	1	沈荷叶	26	3562	1000	0	0	0	0.6	30
23	送信给扬州府首饰铺老板		GiveItem	1	郝漂靓	26	3563	1000	0	0	0	0.6	30
24	送信给扬州府杂货铺老板		GiveItem	1	不动先生	26	3565	1000	0	0	0	0.6	30
25	送信给扬州府药铺老板		GiveItem	1	张斩经	26	3564	1000	0	0	0	0.6	30
26	送信给扬州府酒楼老板		GiveItem	1	大老白	26	3566	1000	0	0	0	0.6	30
27	送信给扬州府礼官		GiveItem	1	礼官	26	2601	1000	0	0	0	0.6	30
28	送信给扬州府公平子		GiveItem	1	公平子	26	2501	1000	0	0	0	0.6	30
29	送信给扬州府叶芷琳		GiveItem	1	叶芷琳	26	3576	1000	0	0	0	0.6	30
30	送信给扬州府冶炼大师		GiveItem	1	冶炼大师	26	3574	1000	0	0	0	0.6	30
31	送信给临安府兵器铺老板		GiveItem	1	甜酒叔	29	3561	1000	0	0	0	0.6	30
32	送信给临安府防具铺老板		GiveItem	1	沈荷叶	29	3562	1000	0	0	0	0.6	30
33	送信给临安府首饰铺老板		GiveItem	1	郝漂靓	29	3563	1000	0	0	0	0.6	30
34	送信给临安府杂货铺老板		GiveItem	1	不动先生	29	3565	1000	0	0	0	0.6	30
35	送信给临安府药铺老板		GiveItem	1	张斩经	29	3564	1000	0	0	0	0.6	30
36	送信给临安府酒楼老板		GiveItem	1	大老白	29	3566	1000	0	0	0	0.6	30
37	送信给临安府礼官		GiveItem	1	礼官	29	2601	1000	0	0	0	0.6	30
38	送信给临安府公平子		GiveItem	1	公平子	29	2501	1000	0	0	0	0.6	30
39	送信给临安府叶芷琳		GiveItem	1	叶芷琳	29	3576	1000	0	0	0	0.6	30
40	送信给临安府冶炼大师		GiveItem	1	冶炼大师	29	3574	1000	0	0	0	0.6	30
41	送信给汴京府兵器铺老板		GiveItem	1	甜酒叔	23	3561	1000	0	0	0	0.6	30
42	送信给汴京府防具铺老板		GiveItem	1	沈荷叶	23	3562	1000	0	0	0	0.6	30
43	送信给汴京府首饰铺老板		GiveItem	1	郝漂靓	23	3563	1000	0	0	0	0.6	30
44	送信给汴京府杂货铺老板		GiveItem	1	不动先生	23	3565	1000	0	0	0	0.6	30
45	送信给汴京府药铺老板		GiveItem	1	张斩经	23	3564	1000	0	0	0	0.6	30
46	送信给汴京府酒楼老板		GiveItem	1	大老白	23	3566	1000	0	0	0	0.6	30
47	送信给汴京府礼官		GiveItem	1	礼官	23	2601	1000	0	0	0	0.6	30
48	送信给汴京府公平子		GiveItem	1	公平子	23	2501	1000	0	0	0	0.6	30
49	送信给汴京府叶芷琳		GiveItem	1	叶芷琳	23	3576	1000	0	0	0	0.6	30
50	送信给汴京府冶炼大师		GiveItem	1	冶炼大师	23	3574	1000	0	0	0	0.6	30
51	送信给凤翔府兵器铺老板		GiveItem	1	甜酒叔	24	3561	1000	0	0	0	0.6	30
52	送信给凤翔府防具铺老板		GiveItem	1	沈荷叶	24	3562	1000	0	0	0	0.6	30
53	送信给凤翔府首饰铺老板		GiveItem	1	郝漂靓	24	3563	1000	0	0	0	0.6	30
54	送信给凤翔府杂货铺老板		GiveItem	1	不动先生	24	3565	1000	0	0	0	0.6	30
55	送信给凤翔府药铺老板		GiveItem	1	张斩经	24	3564	1000	0	0	0	0.6	30
56	送信给凤翔府酒楼老板		GiveItem	1	大老白	24	3566	1000	0	0	0	0.6	30
57	送信给凤翔府礼官		GiveItem	1	礼官	24	2601	1000	0	0	0	0.6	30
58	送信给凤翔府公平子		GiveItem	1	公平子	24	2501	1000	0	0	0	0.6	30
59	送信给凤翔府叶芷琳		GiveItem	1	叶芷琳	24	3576	1000	0	0	0	0.6	30
60	送信给凤翔府冶炼大师		GiveItem	1	冶炼大师	24	3574	1000	0	0	0	0.6	30
61	送信给大理府兵器铺老板		GiveItem	1	甜酒叔	28	3561	1000	0	0	0	0.6	30
62	送信给大理府防具铺老板		GiveItem	1	沈荷叶	28	3562	1000	0	0	0	0.6	30
63	送信给大理府首饰铺老板		GiveItem	1	郝漂靓	28	3563	1000	0	0	0	0.6	30
64	送信给大理府杂货铺老板		GiveItem	1	不动先生	28	3565	1000	0	0	0	0.6	30
65	送信给大理府药铺老板		GiveItem	1	张斩经	28	3564	1000	0	0	0	0.6	30
66	送信给大理府酒楼老板		GiveItem	1	大老白	28	3566	1000	0	0	0	0.6	30
67	送信给大理府礼官		GiveItem	1	礼官	28	2601	1000	0	0	0	0.6	30
68	送信给大理府公平子		GiveItem	1	公平子	28	2501	1000	0	0	0	0.6	30
69	送信给大理府叶芷琳		GiveItem	1	叶芷琳	28	3576	1000	0	0	0	0.6	30
70	送信给大理府冶炼大师		GiveItem	1	冶炼大师	28	3574	1000	0	0	0	0.6	30
71	送信给江津村少林接引弟子		GiveItem	2	寂幻	5	3507	500	0	0	0	0.6	45
72	送信给江津村天王接引弟子		GiveItem	2	裴远	5	3501	500	0	0	0	0.6	45
73	送信给江津村唐门接引弟子		GiveItem	2	唐济民	5	3513	500	0	0	0	0.6	45
74	送信给江津村五毒接引弟子		GiveItem	2	边一春	5	3519	500	0	0	0	0.6	45
75	送信给江津村峨嵋接引弟子		GiveItem	2	玄静	5	3525	500	0	0	0	0.6	45
76	送信给江津村翠烟接引弟子		GiveItem	2	苏雅	5	3531	500	0	0	0	0.6	45
77	送信给江津村丐帮接引弟子		GiveItem	2	罗俊	5	3537	500	0	0	0	0.6	45
78	送信给江津村天忍接引弟子		GiveItem	2	谢飞京	5	3543	500	0	0	0	0.6	45
79	送信给江津村武当接引弟子		GiveItem	2	明慧	5	3549	500	0	0	0	0.6	45
80	送信给江津村昆仑接引弟子		GiveItem	2	归惊晴	5	3555	500	0	0	0	0.6	45
81	送信给江津村段氏接引弟子		GiveItem	2	段修静	5	3480	500	0	0	0	0.6	45
82	送信给江津村明教接引弟子		GiveItem	2	童凌	5	3474	500	0	0	0	0.6	45
83	送信给江津村礼官		GiveItem	2	礼官	5	2601	500	0	0	0	0.6	45
84	送信给江津村叶芷琳		GiveItem	2	叶芷琳	5	3576	500	0	0	0	0.6	45
85	送信给江津村冶炼大师		GiveItem	2	冶炼大师	5	3574	500	0	0	0	0.6	45
86	送信给龙泉村少林接引弟子		GiveItem	2	寂幻	7	3507	500	0	0	0	0.6	45
87	送信给龙泉村天王接引弟子		GiveItem	2	裴远	7	3501	500	0	0	0	0.6	45
88	送信给龙泉村唐门接引弟子		GiveItem	2	唐济民	7	3513	500	0	0	0	0.6	45
89	送信给龙泉村五毒接引弟子		GiveItem	2	边一春	7	3519	500	0	0	0	0.6	45
90	送信给龙泉村峨嵋接引弟子		GiveItem	2	玄静	7	3525	500	0	0	0	0.6	45
91	送信给龙泉村翠烟接引弟子		GiveItem	2	苏雅	7	3531	500	0	0	0	0.6	45
92	送信给龙泉村丐帮接引弟子		GiveItem	2	罗俊	7	3537	500	0	0	0	0.6	45
93	送信给龙泉村天忍接引弟子		GiveItem	2	谢飞京	7	3543	500	0	0	0	0.6	45
94	送信给龙泉村武当接引弟子		GiveItem	2	明慧	7	3549	500	0	0	0	0.6	45
95	送信给龙泉村昆仑接引弟子		GiveItem	2	归惊晴	7	3555	500	0	0	0	0.6	45
96	送信给龙泉村段氏接引弟子		GiveItem	2	段修静	7	3480	500	0	0	0	0.6	45
97	送信给龙泉村明教接引弟子		GiveItem	2	童凌	7	3474	500	0	0	0	0.6	45
98	送信给龙泉村礼官		GiveItem	2	礼官	7	2601	500	0	0	0	0.6	45
99	送信给龙泉村叶芷琳		GiveItem	2	叶芷琳	7	3576	500	0	0	0	0.6	45
100	送信给龙泉村冶炼大师		GiveItem	2	冶炼大师	7	3574	500	0	0	0	0.6	45
101	送信给稻香村少林接引弟子		GiveItem	2	寂幻	4	3507	500	0	0	0	0.6	45
102	送信给稻香村天王接引弟子		GiveItem	2	裴远	4	3501	500	0	0	0	0.6	45
103	送信给稻香村唐门接引弟子		GiveItem	2	唐济民	4	3513	500	0	0	0	0.6	45
104	送信给稻香村五毒接引弟子		GiveItem	2	边一春	4	3519	500	0	0	0	0.6	45
105	送信给稻香村峨嵋接引弟子		GiveItem	2	玄静	4	3525	500	0	0	0	0.6	45
106	送信给稻香村翠烟接引弟子		GiveItem	2	苏雅	4	3531	500	0	0	0	0.6	45
107	送信给稻香村丐帮接引弟子		GiveItem	2	罗俊	4	3537	500	0	0	0	0.6	45
108	送信给稻香村天忍接引弟子		GiveItem	2	谢飞京	4	3543	500	0	0	0	0.6	45
109	送信给稻香村武当接引弟子		GiveItem	2	明慧	4	3549	500	0	0	0	0.6	45
110	送信给稻香村昆仑接引弟子		GiveItem	2	归惊晴	4	3555	500	0	0	0	0.6	45
111	送信给稻香村段氏接引弟子		GiveItem	2	段修静	4	3480	500	0	0	0	0.6	45
112	送信给稻香村明教接引弟子		GiveItem	2	童凌	4	3474	500	0	0	0	0.6	45
113	送信给稻香村礼官		GiveItem	2	礼官	4	2601	500	0	0	0	0.6	45
114	送信给稻香村叶芷琳		GiveItem	2	叶芷琳	4	3576	500	0	0	0	0.6	45
115	送信给稻香村冶炼大师		GiveItem	2	冶炼大师	4	3574	500	0	0	0	0.6	45
116	送信给巴陵县少林接引弟子		GiveItem	2	寂幻	8	3507	500	0	0	0	0.6	45
117	送信给巴陵县天王接引弟子		GiveItem	2	裴远	8	3501	500	0	0	0	0.6	45
118	送信给巴陵县唐门接引弟子		GiveItem	2	唐济民	8	3513	500	0	0	0	0.6	45
119	送信给巴陵县五毒接引弟子		GiveItem	2	边一春	8	3519	500	0	0	0	0.6	45
120	送信给巴陵县峨嵋接引弟子		GiveItem	2	玄静	8	3525	500	0	0	0	0.6	45
121	送信给巴陵县翠烟接引弟子		GiveItem	2	苏雅	8	3531	500	0	0	0	0.6	45
122	送信给巴陵县丐帮接引弟子		GiveItem	2	罗俊	8	3537	500	0	0	0	0.6	45
123	送信给巴陵县天忍接引弟子		GiveItem	2	谢飞京	8	3543	500	0	0	0	0.6	45
124	送信给巴陵县武当接引弟子		GiveItem	2	明慧	8	3549	500	0	0	0	0.6	45
125	送信给巴陵县昆仑接引弟子		GiveItem	2	归惊晴	8	3555	500	0	0	0	0.6	45
126	送信给巴陵县段氏接引弟子		GiveItem	2	段修静	8	3480	500	0	0	0	0.6	45
127	送信给巴陵县明教接引弟子		GiveItem	2	童凌	8	3474	500	0	0	0	0.6	45
128	送信给巴陵县礼官		GiveItem	2	礼官	8	2601	500	0	0	0	0.6	45
129	送信给巴陵县叶芷琳		GiveItem	2	叶芷琳	8	3576	500	0	0	0	0.6	45
130	送信给巴陵县冶炼大师		GiveItem	2	冶炼大师	8	3574	500	0	0	0	0.6	45
131	送信给永乐镇少林接引弟子		GiveItem	2	寂幻	3	3507	500	0	0	0	0.6	45
132	送信给永乐镇天王接引弟子		GiveItem	2	裴远	3	3501	500	0	0	0	0.6	45
133	送信给永乐镇唐门接引弟子		GiveItem	2	唐济民	3	3513	500	0	0	0	0.6	45
134	送信给永乐镇五毒接引弟子		GiveItem	2	边一春	3	3519	500	0	0	0	0.6	45
135	送信给永乐镇峨嵋接引弟子		GiveItem	2	玄静	3	3525	500	0	0	0	0.6	45
136	送信给永乐镇翠烟接引弟子		GiveItem	2	苏雅	3	3531	500	0	0	0	0.6	45
137	送信给永乐镇丐帮接引弟子		GiveItem	2	罗俊	3	3537	500	0	0	0	0.6	45
138	送信给永乐镇天忍接引弟子		GiveItem	2	谢飞京	3	3543	500	0	0	0	0.6	45
139	送信给永乐镇武当接引弟子		GiveItem	2	明慧	3	3549	500	0	0	0	0.6	45
140	送信给永乐镇昆仑接引弟子		GiveItem	2	归惊晴	3	3555	500	0	0	0	0.6	45
141	送信给永乐镇段氏接引弟子		GiveItem	2	段修静	3	3480	500	0	0	0	0.6	45
142	送信给永乐镇明教接引弟子		GiveItem	2	童凌	3	3474	500	0	0	0	0.6	45
143	送信给永乐镇礼官		GiveItem	2	礼官	3	2601	500	0	0	0	0.6	45
144	送信给永乐镇叶芷琳		GiveItem	2	叶芷琳	3	3576	500	0	0	0	0.6	45
145	送信给永乐镇冶炼大师		GiveItem	2	冶炼大师	3	3574	500	0	0	0	0.6	45
146	送信给云中镇少林接引弟子		GiveItem	2	寂幻	1	3507	500	0	0	0	0.6	45
147	送信给云中镇天王接引弟子		GiveItem	2	裴远	1	3501	500	0	0	0	0.6	45
148	送信给云中镇唐门接引弟子		GiveItem	2	唐济民	1	3513	500	0	0	0	0.6	45
149	送信给云中镇五毒接引弟子		GiveItem	2	边一春	1	3519	500	0	0	0	0.6	45
150	送信给云中镇峨嵋接引弟子		GiveItem	2	玄静	1	3525	500	0	0	0	0.6	45
151	送信给云中镇翠烟接引弟子		GiveItem	2	苏雅	1	3531	500	0	0	0	0.6	45
152	送信给云中镇丐帮接引弟子		GiveItem	2	罗俊	1	3537	500	0	0	0	0.6	45
153	送信给云中镇天忍接引弟子		GiveItem	2	谢飞京	1	3543	500	0	0	0	0.6	45
154	送信给云中镇武当接引弟子		GiveItem	2	明慧	1	3549	500	0	0	0	0.6	45
155	送信给云中镇昆仑接引弟子		GiveItem	2	归惊晴	1	3555	500	0	0	0	0.6	45
156	送信给云中镇段氏接引弟子		GiveItem	2	段修静	1	3480	500	0	0	0	0.6	45
157	送信给云中镇明教接引弟子		GiveItem	2	童凌	1	3474	500	0	0	0	0.6	45
158	送信给云中镇礼官		GiveItem	2	礼官	1	2601	500	0	0	0	0.6	45
159	送信给云中镇叶芷琳		GiveItem	2	叶芷琳	1	3576	500	0	0	0	0.6	45
160	送信给云中镇冶炼大师		GiveItem	2	冶炼大师	1	3574	500	0	0	0	0.6	45
161	送信给石鼓镇少林接引弟子		GiveItem	2	寂幻	6	3507	500	0	0	0	0.6	45
162	送信给石鼓镇天王接引弟子		GiveItem	2	裴远	6	3501	500	0	0	0	0.6	45
163	送信给石鼓镇唐门接引弟子		GiveItem	2	唐济民	6	3513	500	0	0	0	0.6	45
164	送信给石鼓镇五毒接引弟子		GiveItem	2	边一春	6	3519	500	0	0	0	0.6	45
165	送信给石鼓镇峨嵋接引弟子		GiveItem	2	玄静	6	3525	500	0	0	0	0.6	45
166	送信给石鼓镇翠烟接引弟子		GiveItem	2	苏雅	6	3531	500	0	0	0	0.6	45
167	送信给石鼓镇丐帮接引弟子		GiveItem	2	罗俊	6	3537	500	0	0	0	0.6	45
168	送信给石鼓镇天忍接引弟子		GiveItem	2	谢飞京	6	3543	500	0	0	0	0.6	45
169	送信给石鼓镇武当接引弟子		GiveItem	2	明慧	6	3549	500	0	0	0	0.6	45
170	送信给石鼓镇昆仑接引弟子		GiveItem	2	归惊晴	6	3555	500	0	0	0	0.6	45
171	送信给石鼓镇段氏接引弟子		GiveItem	2	段修静	6	3480	500	0	0	0	0.6	45
172	送信给石鼓镇明教接引弟子		GiveItem	2	童凌	6	3474	500	0	0	0	0.6	45
173	送信给石鼓镇礼官		GiveItem	2	礼官	6	2601	500	0	0	0	0.6	45
174	送信给石鼓镇叶芷琳		GiveItem	2	叶芷琳	6	3576	500	0	0	0	0.6	45
175	送信给石鼓镇冶炼大师		GiveItem	2	冶炼大师	6	3574	500	0	0	0	0.6	45
176	送信给龙门镇少林接引弟子		GiveItem	2	寂幻	2	3507	500	0	0	0	0.6	45
177	送信给龙门镇天王接引弟子		GiveItem	2	裴远	2	3501	500	0	0	0	0.6	45
178	送信给龙门镇唐门接引弟子		GiveItem	2	唐济民	2	3513	500	0	0	0	0.6	45
179	送信给龙门镇五毒接引弟子		GiveItem	2	边一春	2	3519	500	0	0	0	0.6	45
180	送信给龙门镇峨嵋接引弟子		GiveItem	2	玄静	2	3525	500	0	0	0	0.6	45
181	送信给龙门镇翠烟接引弟子		GiveItem	2	苏雅	2	3531	500	0	0	0	0.6	45
182	送信给龙门镇丐帮接引弟子		GiveItem	2	罗俊	2	3537	500	0	0	0	0.6	45
183	送信给龙门镇天忍接引弟子		GiveItem	2	谢飞京	2	3543	500	0	0	0	0.6	45
184	送信给龙门镇武当接引弟子		GiveItem	2	明慧	2	3549	500	0	0	0	0.6	45
185	送信给龙门镇昆仑接引弟子		GiveItem	2	归惊晴	2	3555	500	0	0	0	0.6	45
186	送信给龙门镇段氏接引弟子		GiveItem	2	段修静	2	3480	500	0	0	0	0.6	45
187	送信给龙门镇明教接引弟子		GiveItem	2	童凌	2	3474	500	0	0	0	0.6	45
188	送信给龙门镇礼官		GiveItem	2	礼官	2	2601	500	0	0	0	0.6	45
189	送信给龙门镇叶芷琳		GiveItem	2	叶芷琳	2	3576	500	0	0	0	0.6	45
190	送信给龙门镇冶炼大师		GiveItem	2	冶炼大师	2	3574	500	0	0	0	0.6	45
191	送信给少林派的神秘商人(神秘商人在少林派内随机出现，请仔细寻找)		GiveItem	3	神秘商人	9	2964	0	1000	0	0	0.6	180
192	送信给天王帮的神秘商人(神秘商人在天王帮内随机出现，请仔细寻找)		GiveItem	3	神秘商人	22	2964	0	1000	0	0	0.6	180
193	送信给唐门的神秘商人(神秘商人在唐门内随机出现，请仔细寻找)		GiveItem	3	神秘商人	18	2964	0	1000	0	0	0.6	180
194	送信给五毒教的神秘商人(神秘商人在五毒教内随机出现，请仔细寻找)		GiveItem	3	神秘商人	20	2964	0	1000	0	0	0.6	180
195	送信给峨嵋派的神秘商人(神秘商人在峨嵋派内随机出现，请仔细寻找)		GiveItem	3	神秘商人	16	2964	0	1000	0	0	0.6	180
196	送信给翠烟门的神秘商人(神秘商人在翠烟门内随机出现，请仔细寻找)		GiveItem	3	神秘商人	17	2964	0	1000	0	0	0.6	180
197	送信给丐帮的神秘商人(神秘商人在丐帮内随机出现，请仔细寻找)		GiveItem	3	神秘商人	15	2964	0	1000	0	0	0.6	180
198	送信给天忍教的神秘商人(神秘商人在天忍教内随机出现，请仔细寻找)		GiveItem	3	神秘商人	10	2964	0	1000	0	0	0.6	180
199	送信给武当派的神秘商人(神秘商人在武当派内随机出现，请仔细寻找)		GiveItem	3	神秘商人	14	2964	0	1000	0	0	0.6	180
200	送信给昆仑派的神秘商人(神秘商人在昆仑派内随机出现，请仔细寻找)		GiveItem	3	神秘商人	12	2964	0	1000	0	0	0.6	180
201	送信给大理段氏的神秘商人(神秘商人在大理段氏内随机出现，请仔细寻找)		GiveItem	3	神秘商人	19	2964	0	1000	0	0	0.6	180
202	送信给明教的神秘商人(神秘商人在明教内随机出现，请仔细寻找)		GiveItem	3	神秘商人	224	2964	0	1000	0	0	0.6	180
203	送信给战场商会接头人（宋金战场开启时间可以在F12帮助锦囊中查询）		GiveItem	4	商会接头人	0	2962	0	0	1000	1	0.6	1800
