RandomId	NpcId	MapId	PosX	PosY	Name
随机组Id	npc模版	地图Id	坐标x	坐标y	名称
1	2964	9	1629	3169	少林派
1	2964	9	1652	3087	
1	2964	9	1641	3001	
1	2964	9	1723	2992	
1	2964	9	1757	2992	
1	2964	9	1780	3028	
1	2964	9	1822	3060	
1	2964	9	1775	3109	
1	2964	9	1739	3125	
1	2964	9	1728	3081	
2	2964	10	1625	3441	天忍教
2	2964	10	1693	3508	
2	2964	10	1735	3531	
2	2964	10	1766	3493	
2	2964	10	1819	3471	
2	2964	10	1628	3355	
2	2964	10	1717	3447	
2	2964	10	1691	3332	
2	2964	10	1735	3280	
2	2964	10	1748	3342	
3	2964	12	1575	3214	昆仑派
3	2964	12	1607	3173	
3	2964	12	1642	3080	
3	2964	12	1712	3110	
3	2964	12	1742	3170	
3	2964	12	1768	3023	
3	2964	12	1717	3043	
3	2964	12	1740	2963	
3	2964	12	1703	2915	
3	2964	12	1678	3014	
4	2964	14	1466	3007	武当
4	2964	14	1505	3108	
4	2964	14	1489	3042	
4	2964	14	1461	3066	
4	2964	14	1446	3149	
4	2964	14	1323	3046	
4	2964	14	1371	2990	
4	2964	14	1488	2974	
4	2964	14	1514	3013	
4	2964	14	1407	3122	
5	2964	15	1551	3299	丐帮
5	2964	15	1583	3272	
5	2964	15	1619	3277	
5	2964	15	1632	3219	
5	2964	15	1560	3200	
5	2964	15	1603	3198	
5	2964	15	1635	3144	
5	2964	15	1677	3303	
5	2964	15	1636	3314	
5	2964	15	1601	3343	
6	2964	16	1436	3188	峨嵋派
6	2964	16	1489	3164	
6	2964	16	1582	3087	
6	2964	16	1590	3140	
6	2964	16	1658	3161	
6	2964	16	1466	2990	
6	2964	16	1435	2923	
6	2964	16	1667	2944	
6	2964	16	1617	3015	
6	2964	16	1542	3025	
7	2964	17	1537	3152	翠烟门
7	2964	17	1497	3129	
7	2964	17	1450	3175	
7	2964	17	1550	3076	
7	2964	17	1612	3056	
7	2964	17	1468	3049	
7	2964	17	1411	2989	
7	2964	17	1372	3023	
7	2964	17	1338	3118	
7	2964	17	1327	2967	
8	2964	18	1578	3291	唐门
8	2964	18	1610	3224	
8	2964	18	1644	3242	
8	2964	18	1614	3120	
8	2964	18	1618	3154	
8	2964	18	1635	3095	
8	2964	18	1655	3116	
8	2964	18	1737	3136	
8	2964	18	1701	3177	
8	2964	18	1731	3269	
9	2964	19	1555	3243	大理段氏
9	2964	19	1575	3190	
9	2964	19	1665	3236	
9	2964	19	1701	3203	
9	2964	19	1622	3181	
9	2964	19	1639	3135	
9	2964	19	1695	3154	
9	2964	19	1739	3135	
9	2964	19	1755	3078	
9	2964	19	1612	3085	
10	2964	20	1582	3126	五毒教
10	2964	20	1606	3071	
10	2964	20	1497	3150	
10	2964	20	1522	3188	
10	2964	20	1529	3069	
10	2964	20	1499	3054	
10	2964	20	1554	3041	
10	2964	20	1600	3025	
10	2964	20	1499	3091	
10	2964	20	1552	3041	
11	2964	22	1591	3134	天王帮
11	2964	22	1636	3088	
11	2964	22	1700	3143	
11	2964	22	1579	3037	
11	2964	22	1610	3067	
11	2964	22	1667	3010	
11	2964	22	1611	2952	
11	2964	22	1625	2896	
11	2964	22	1710	3043	
11	2964	22	1766	3076	
12	2964	224	1504	3336	明教
12	2964	224	1556	3222	
12	2964	224	1596	3264	
12	2964	224	1631	3161	
12	2964	224	1597	3190	
12	2964	224	1641	3065	
12	2964	224	1701	3126	
12	2964	224	1726	3080	
12	2964	224	1684	3037	
12	2964	224	1731	2989	
