nTaskId	szType	szName	Score	nMaxCount	Comment
11	activity	__coin	0.01		推广员消耗金币
12	buy	18,1,476,1	0.5		月影之石
13	buy	18,1,200,1	0.5		血影枪
13	buy	18,1,201,1	0.5		灵兽战靴
13	buy	18,1,202,1	0.5		遁甲灵符
13	buy	18,1,203,1	0.5		紫晶幻佩
13	buy	18,1,204,1	0.5		七彩仙丹
14	buy	18,1,263,1	0.5		百步穿杨弓
14	buy	18,1,264,1	0.5		刑天战袍
14	buy	18,1,265,1	0.5		行军符咒
14	buy	18,1,266,1	0.5		游子护身符
14	buy	18,1,267,1	0.5		千里止渴丹
15	buy	18,1,190,1	0.002		名捕令
16	buy	18,1,205,1	0.002		五行魂石
17	buy	18,1,1,5	0.5		未雕琢的玄晶（5级玄晶）
0	buy	18,1,1,6	2		有裂痕的玄晶（6级玄晶）
0	buy	18,1,1,7	8		普通的玄晶（7级玄晶）
0	buy	18,1,1,8	32		有瑕疵的玄晶（8级玄晶
0	buy	18,1,1,9	128		无瑕的玄晶（9级玄晶）
0	buy	18,1,1,10	512		完美的玄晶（10级玄晶）
0	buy	18,1,1,11	2048		璀璨的完美玄晶（11级玄晶）
0	buy	18,1,1,12	8192		天赐的完美玄晶（12级玄晶）
18	sell	18,1,476,1	-0.5		月影之石
19	sell	18,1,200,1	-0.5		血影枪
19	sell	18,1,201,1	-0.5		灵兽战靴
19	sell	18,1,202,1	-0.5		遁甲灵符
19	sell	18,1,203,1	-0.5		紫晶幻佩
19	sell	18,1,204,1	-0.5		七彩仙丹
20	sell	18,1,263,1	-0.5		百步穿杨弓
20	sell	18,1,264,1	-0.5		刑天战袍
20	sell	18,1,265,1	-0.5		行军符咒
20	sell	18,1,266,1	-0.5		游子护身符
20	sell	18,1,267,1	-0.5		千里止渴丹
21	sell	18,1,190,1	-0.002		名捕令
22	sell	18,1,205,1	-0.002		五行魂石
23	sell	18,1,1,5	-0.5		未雕琢的玄晶（5级玄晶）
0	sell	18,1,1,6	-2		有裂痕的玄晶（6级玄晶）
0	sell	18,1,1,7	-8		普通的玄晶（7级玄晶）
0	sell	18,1,1,8	-32		有瑕疵的玄晶（8级玄晶
0	sell	18,1,1,9	-128		无瑕的玄晶（9级玄晶）
0	sell	18,1,1,10	-512		完美的玄晶（10级玄晶）
0	sell	18,1,1,11	-2048		璀璨的完美玄晶（11级玄晶）
0	sell	18,1,1,12	-8192		天赐的完美玄晶（12级玄晶）
0	activity	merchant	10		商会
0	activity	songjin	5		宋金
0	activity	huangling	4		皇陵
0	activity	happyegg	3		开心蛋
24	activity	__tradeout	-0.001		交易出
25	activity	__loginip	-1	50	登录IP登录的账号数,这个nTaskId一定不能为0或者不填
