DATE	MAX_LEVEL
1	55
2	60
3	65
4	70
5	75
6	80
7	84
8	88
9	92
10	96
11	100
12	103
13	106
14	109
15	112
16	115
17	117
18	119
19	121
20	123
21	125
22	126
23	127
24	128
25	129
26	130
27	131
28	131
29	132
30	132
31	133
32	133
33	134
34	134
35	135
36	135
37	135
38	136
39	136
40	136
41	137
42	137
43	137
44	137
45	138
46	138
47	138
48	139
49	139
50	139
51	140
52	140
53	140
54	140
55	141
56	141
57	141
58	141
59	141
60	142
61	142
62	142
63	142
64	142
65	143
66	143
67	143
68	143
69	143
70	144
71	144
72	144
73	144
74	144
75	145
76	145
77	145
78	145
79	145
80	146
81	146
82	146
83	146
84	146
85	147
86	147
87	147
88	147
89	147
90	148
91	148
92	148
93	148
94	148
95	149
96	149
97	149
98	149
99	149
100	150
