DATE	MAX_LEVEL
1	100
2	100
3	101
4	101
5	102
6	102
7	103
8	103
9	104
10	104
11	105
12	105
13	106
14	106
15	107
16	107
17	108
18	108
19	109
20	109
21	110
22	110
23	111
24	111
25	111
26	112
27	112
28	112
29	113
30	113
31	113
32	114
33	114
34	114
35	115
36	115
37	115
38	116
39	116
40	116
41	117
42	117
43	117
44	118
45	118
46	118
47	119
48	119
49	119
50	120
51	120
52	120
53	121
54	121
55	121
56	122
57	122
58	122
59	123
60	123
61	123
62	124
63	124
64	124
65	125
66	125
67	125
68	126
69	126
70	126
71	127
72	127
73	127
74	128
75	128
76	128
77	129
78	129
79	129
80	130
81	130
82	130
83	130
84	131
85	131
86	131
87	131
88	132
89	132
90	132
91	132
92	133
93	133
94	133
95	133
96	134
97	134
98	134
99	134
100	135
101	135
102	135
103	135
104	136
105	136
106	136
107	136
108	137
109	137
110	137
111	137
112	138
113	138
114	138
115	138
116	139
117	139
118	139
119	139
120	140
121	140
122	140
123	140
124	141
125	141
126	141
127	141
128	142
129	142
130	142
131	142
132	143
133	143
134	143
135	143
136	144
137	144
138	144
139	144
140	145
141	145
142	145
143	145
144	146
145	146
146	146
147	146
148	147
149	147
150	147
151	147
152	148
153	148
154	148
155	148
156	149
157	149
158	149
159	149
160	150
