ID	PROB	BASE_EXP	MONEY	BINDMONEY	COIN	ANNOUNCE
1	236667	10	0	0	0	0
2	60000	15	0	0	0	0
3	3000	20	0	0	0	0
4	300	30	0	0	0	0
5	30	40	0	0	0	0
6	3	50	0	0	0	0
7	69180	0	0	5000	0	0
8	94500	0	0	7500	0	0
9	60000	0	0	10000	0	0
10	45000	0	0	15000	0	0
11	18000	0	0	20000	0	0
12	9000	0	0	30000	0	0
13	3000	0	0	50000	0	1
14	900	0	0	100000	0	1
15	300	0	0	200000	0	1
16	90	0	0	500000	0	1
17	30	0	0	1000000	0	1
18	134224	0	0	0	50	0
19	132000	0	0	0	100	0
20	64000	0	0	0	150	0
21	32000	0	0	0	200	0
22	20000	0	0	0	300	0
23	12000	0	0	0	400	0
24	4000	0	0	0	500	1
25	1200	0	0	0	600	1
26	400	0	0	0	800	1
27	120	0	0	0	1000	1
28	40	0	0	0	2000	1
29	12	0	0	0	5000	1
30	4	0	0	0	10000	1
