ID	PROB	BASE_EXP	MONEY	BINDMONEY	COIN	ANNOUNCE
1	102210	10	0	0	0	0
2	45000	15	0	0	0	0
3	2250	20	0	0	0	0
4	450	30	0	0	0	0
5	75	40	0	0	0	0
6	15	50	0	0	0	0
7	178668	0	0	5000	0	0
8	72000	0	0	7500	0	0
9	30000	0	0	10000	0	0
10	15000	0	0	15000	0	0
11	3000	0	0	20000	0	0
12	900	0	0	30000	0	0
13	300	0	0	50000	0	1
14	90	0	0	100000	0	1
15	30	0	0	200000	0	1
16	9	0	0	500000	0	1
17	3	0	0	1000000	0	1
18	344058	0	0	0	50	0
19	165000	0	0	0	100	0
20	16500	0	0	0	150	0
21	5500	0	0	0	200	0
22	5500	0	0	0	300	0
23	5500	0	0	0	400	0
24	5500	0	0	0	500	1
25	1650	0	0	0	600	1
26	550	0	0	0	800	1
27	165	0	0	0	1000	1
28	55	0	0	0	2000	1
29	16.5	0	0	0	5000	1
30	5.5	0	0	0	10000	1
