TaskId	TaskName	TaskType	Value1	Value2	Genre	Detail	Particular	Level	Series	Num	ItemName	Suffix	Level1	Level2	Level3	Level4	Level5	Level6	Level7	Level8	Level9	Level10	Level11
Số nhiệm vụ	Tên nhiệm vụ	Loại nhiệm vụ	Giá trị 1	Giá trị 2	Loại lớn	Phân loại	Loại nhỏ	Cấp	Ngũ hành	Số lượng	Tên vật phẩm	Tên hậu tố	Cấp 1	Cấp 2	Cấp 3	Cấp 4	Cấp 5	Cấp 6	Cấp 7	Cấp 8	Cấp 9	Cấp 10	Cấp 11
40001	Mua Thủy Kiếm cấp 1	SearchItemWithDesc	0	375	1	1	2	1	3	2	Thủy Kiếm cấp 1		10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000
40002	Mua Hỏa Kiếm cấp 1	SearchItemWithDesc	0	375	1	1	2	1	4	2	Hỏa Kiếm cấp 1		10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000
40003	Mua Thổ Kiếm cấp 1	SearchItemWithDesc	0	375	1	1	2	1	5	2	Thổ Kiếm cấp 1		10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000
40004	Mua Kim Đao cấp 1	SearchItemWithDesc	0	375	1	1	3	1	1	2	Kim Đao cấp 1		10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000
40005	Mua Mộc Đao cấp 1	SearchItemWithDesc	0	375	1	1	3	1	2	2	Mộc Đao cấp 1		10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000
40006	Mua Thủy Đao cấp 1	SearchItemWithDesc	0	375	1	1	3	1	3	2	Thủy Đao cấp 1		10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000
40007	Mua Thổ Đao cấp 1	SearchItemWithDesc	0	375	1	1	3	1	5	2	Thổ Đao cấp 1		10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000
40008	Mua Kim Côn cấp 1	SearchItemWithDesc	0	375	1	1	4	1	1	2	Kim Côn cấp 1		10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000
40009	Mua Hỏa Côn cấp 1	SearchItemWithDesc	0	375	1	1	4	1	4	2	Hỏa Côn cấp 1		10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000
40010	Mua Kim Thương cấp 1	SearchItemWithDesc	0	375	1	1	5	1	1	2	Kim Thương cấp 1		10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000
40011	Mua Hỏa Thương cấp 1	SearchItemWithDesc	0	375	1	1	5	1	4	2	Hỏa Thương cấp 1		10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000
40012	Mua Kim Chùy cấp 1	SearchItemWithDesc	0	375	1	1	6	1	1	2	Kim Chùy cấp 1		10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000
40013	Mua Kim Triền Thủ cấp 1	SearchItemWithDesc	0	375	1	1	1	1	1	2	Kim Triền Thủ cấp 1		10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000
40014	Mua Thủy Triền Thủ cấp 1	SearchItemWithDesc	0	375	1	1	1	1	3	2	Thủy Triền Thủ cấp 1		10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000
40015	Mua Hỏa Triền Thủ cấp 1	SearchItemWithDesc	0	375	1	1	1	1	4	2	Hỏa Triền Thủ cấp 1		10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000
40016	Mua Mộc Phi Đao cấp 1	SearchItemWithDesc	0	375	1	2	2	1	2	2	Mộc Phi Đao cấp 1		10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000
40017	Mua Mộc Tụ Tiễn cấp 1	SearchItemWithDesc	0	375	1	2	3	1	2	2	Mộc Tụ Tiễn cấp 1		10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000
