TaskValue	Rate1	Rate2	Rate3	Rate4	Rate5	Rate6	Rate7	Rate8	Rate9	Rate10
Giá trị nhiệm vụ môn phái	Xác suất nhóm 1	Xác suất nhóm 2	Xác suất nhóm 3	Xác suất nhóm 4	Xác suất nhóm 5	Xác suất nhóm 6	Xác suất nhóm 7	Xác suất nhóm 8	Xác suất nhóm 9	Xác suất nhóm 10
112.5	4793	3693	1421	92	1	0	0	0	0	0
150	3924	3927	1959	187	3	0	0	0	0	0
187.5	3066	3982	2577	365	10	0	0	0	0	0
225	2268	3818	3213	672	29	0	0	0	0	0
262.5	1574	3438	3752	1161	75	0	0	0	0	0
300	1014	2875	4071	1862	178	0	0	0	0	0
318.75	789	2548	4110	2286	266	1	0	0	0	0
337.5	600	2208	4058	2743	389	2	0	0	0	0
356.25	446	1869	3909	3218	554	4	0	0	0	0
375	323	1543	3676	3680	770	8	0	0	0	0
412.5	157	974	3012	4453	1379	25	0	0	0	0
450	68	554	2224	4862	2224	68	0	0	0	0
500	19	223	1269	4670	3596	223	0	0	0	0
525	9	133	899	4289	4291	377	2	0	0	0
600	0	21	249	2602	5690	1417	21	0	0	0
625	0	10	149	2026	5745	2026	44	0	0	0
637.5	0	7	114	1758	5677	2382	62	0	0	0
675	0	2	46	1071	5113	3610	158	0	0	0
712.5	0	0	17	585	4125	4911	362	0	0	0
750	0	0	5	286	2984	5981	744	0	0	0
825	0	0	0	50	1145	6500	2293	12	0	0
875	0	0	0	12	487	5539	3912	50	0	0
1000	0	0	0	0	28	1823	7314	834	1	0
1062.5	0	0	0	0	4	724	6924	2338	10	0
1125	0	0	0	0	0	213	4861	4863	63	0
1187.5	0	0	0	0	0	44	2443	7235	278	0
1250	0	0	0	0	0	7	928	8137	928	0
1375	0	0	0	0	0	0	64	4962	4959	15
