TaskId	TaskName	TaskType	Value1	Value2	MapId	MapName	NpcId	NpcName	Num	Level1	Level2	Level3	Level4	Level5	Level6	Level7	Level8	Level9	Level10	Level11
Số nhiệm vụ	Tên nhân vật	Loại nhiệm vụ	Giá trị 1	Giá trị 2	Số bản đồ	Tên bản đồ	NpcId	Tên Npc	Số lượng	Cấp 1	Cấp 2	Cấp 3	Cấp 4	Cấp 5	Cấp 6	Cấp 7	Cấp 8	Cấp 9	Cấp 10	Cấp 11
20007	Quải Tử	KillNpc	0	1250	52	Bách Hoa Cốc	2209	Quải Tử	24	10000	0	0	0	0	0	0	0	0	0	0
20008	Đại Phu Mông Cổ	KillNpc	0	1250	52	Bách Hoa Cốc	2210	Đại Phu Mông Cổ	24	10000	0	0	0	0	0	0	0	0	0	0
20009	Đao Khách Giang Hồ	KillNpc	0	1250	52	Bách Hoa Cốc	2037	Đao Khách Giang Hồ	24	10000	0	0	0	0	0	0	0	0	0	0
20010	Kiếm Khách Giang Hồ	KillNpc	0	1250	52	Bách Hoa Cốc	2038	Kiếm Khách Giang Hồ	24	10000	0	0	0	0	0	0	0	0	0	0
20023	Bang Chúng Diêm Bang	KillNpc	0	1250	55	Thanh Loa Đảo	2045	Bang Chúng Diêm Bang	24	10000	0	0	0	0	0	0	0	0	0	0
20024	Thích Khách Thần Bí	KillNpc	0	1250	55	Thanh Loa Đảo	2046	Thích Khách Thần Bí	24	10000	0	0	0	0	0	0	0	0	0	0
20025	Tùy Tùng Đại Nội	KillNpc	0	1250	55	Thanh Loa Đảo	2217	Tùy Tùng Đại Nội	24	10000	0	0	0	0	0	0	0	0	0	0
20026	Hành Cước Thương Nhân	KillNpc	0	1250	55	Thanh Loa Đảo	2218	Hành Cước Thương Nhân	24	10000	0	0	0	0	0	0	0	0	0	0
20031	Hộ Lăng Đao Binh	KillNpc	0	1250	47	Cấm Địa Thiên Nhẫn	2049	Hộ Lăng Đao Binh	24	10000	0	0	0	0	0	0	0	0	0	0
20032	Thợ Đào Đất	KillNpc	0	1250	47	Cấm Địa Thiên Nhẫn	2221	Thợ Đào Đất	24	10000	0	0	0	0	0	0	0	0	0	0
20033	Thợ Xếp Đá	KillNpc	0	1250	47	Cấm Địa Thiên Nhẫn	2222	Thợ Xếp Đá	24	10000	0	0	0	0	0	0	0	0	0	0
20034	Hộ Lăng Cung Thủ	KillNpc	0	1250	47	Cấm Địa Thiên Nhẫn	2050	Hộ Lăng Cung Thủ	24	10000	0	0	0	0	0	0	0	0	0	0
20035	Tham Khách	KillNpc	0	1250	48	Kiến Tính Phong	2051	Tham Khách	24	10000	0	0	0	0	0	0	0	0	0	0
20036	Vô Danh Đao Khách	KillNpc	0	1250	48	Kiến Tính Phong	2052	Vô Danh Đao Khách	24	10000	0	0	0	0	0	0	0	0	0	0
20037	Đệ Tử Trục Xuất Tuyết Sơn	KillNpc	0	1250	48	Kiến Tính Phong	2053	Đệ Tử Trục Xuất Tuyết Sơn	24	10000	0	0	0	0	0	0	0	0	0	0
20038	Tuyết Viên Già	KillNpc	0	1250	48	Kiến Tính Phong	2223	Tuyết Viên Già	24	10000	0	0	0	0	0	0	0	0	0	0
20043	Hộ Lăng Thương Sĩ	KillNpc	0	1250	57	Hoàng Lăng Kim Quốc 1	2070	Hộ Lăng Thương Sĩ	24	0	10000	0	0	0	0	0	0	0	0	0
20044	Minh Phủ Quy Khách	KillNpc	0	1250	57	Hoàng Lăng Kim Quốc 1	2072	Minh Phủ Quy Khách	24	0	10000	0	0	0	0	0	0	0	0	0
20045	Hộ Lăng Nõ Thủ	KillNpc	0	1250	57	Hoàng Lăng Kim Quốc 1	2071	Hộ Lăng Nõ Thủ	24	0	10000	0	0	0	0	0	0	0	0	0
20046	Cường Hãn Tuyết Viên	KillNpc	0	1250	58	Mê Cung Băng Huyệt 1	2073	Cường Hãn Tuyết Viên	24	0	10000	0	0	0	0	0	0	0	0	0
20047	Tuyết Viên Vương	KillNpc	0	1250	58	Mê Cung Băng Huyệt 1	2074	Tuyết Viên Vương	24	0	10000	0	0	0	0	0	0	0	0	0
20060	Sói Hoang	KillNpc	0	1250	62	Ngoài Bách Hoa Trận	2058	Sói Hoang	24	0	10000	0	0	0	0	0	0	0	0	0
20061	Tích Lịch Chùy	KillNpc	0	1250	62	Ngoài Bách Hoa Trận	2059	Tích Lịch Chùy	24	0	10000	0	0	0	0	0	0	0	0	0
20062	Vân Du Hiệp Khách	KillNpc	0	1250	62	Ngoài Bách Hoa Trận	2226	Vân Du Hiệp Khách	24	0	10000	0	0	0	0	0	0	0	0	0
20063	Bách Hoa Hộ Pháp	KillNpc	0	1250	62	Ngoài Bách Hoa Trận	2227	Bách Hoa Hộ Pháp	24	0	10000	0	0	0	0	0	0	0	0	0
20072	Bổ Khoái	KillNpc	0	1250	65	Đông Nam Lư Vĩ Đãng	2067	Bổ Khoái	24	0	10000	0	0	0	0	0	0	0	0	0
20073	Mật Thám Giả Trang	KillNpc	0	1250	65	Đông Nam Lư Vĩ Đãng	2066	Mật Thám Giả Trang	24	0	10000	0	0	0	0	0	0	0	0	0
20074	Lữ Khách Qua Đường	KillNpc	0	1250	65	Đông Nam Lư Vĩ Đãng	2234	Lữ Khách Qua Đường	24	0	10000	0	0	0	0	0	0	0	0	0
