Name	Genre	Detail	Particular	Level	Five	Rate	Text
荒芜之戒	2	4	106	6	1	6000	紫装PVP_金系所有路线荒芜之戒
火府之戒	2	4	107	7	1	4000	紫装PVP_金系所有路线火府之戒
苍穹之戒	2	4	108	8	1	2500	紫装PVP_金系所有路线苍穹之戒
荒芜之戒	2	4	116	6	1	6000	紫装PVP_木系所有路线荒芜之戒
火府之戒	2	4	117	7	1	4000	紫装PVP_木系所有路线火府之戒
苍穹之戒	2	4	118	8	1	2500	紫装PVP_木系所有路线苍穹之戒
荒芜之戒	2	4	126	6	1	6000	紫装PVP_水系所有路线荒芜之戒
火府之戒	2	4	127	7	1	4000	紫装PVP_水系所有路线火府之戒
苍穹之戒	2	4	128	8	1	2500	紫装PVP_水系所有路线苍穹之戒
荒芜之戒	2	4	136	6	1	6000	紫装PVP_火系所有路线荒芜之戒
火府之戒	2	4	137	7	1	4000	紫装PVP_火系所有路线火府之戒
苍穹之戒	2	4	138	8	1	2500	紫装PVP_火系所有路线苍穹之戒
荒芜之戒	2	4	146	6	1	6000	紫装PVP_土系所有路线荒芜之戒
火府之戒	2	4	147	7	1	4000	紫装PVP_土系所有路线火府之戒
苍穹之戒	2	4	148	8	1	2500	紫装PVP_土系所有路线苍穹之戒
荒芜之戒	2	4	206	6	1	800	橙装PVP_金系所有路线荒芜之戒
火府之戒	2	4	207	7	1	560	橙装PVP_金系所有路线火府之戒
苍穹之戒	2	4	208	8	1	340	橙装PVP_金系所有路线苍穹之戒
荒芜之戒	2	4	216	6	1	800	橙装PVP_木系所有路线荒芜之戒
火府之戒	2	4	217	7	1	560	橙装PVP_木系所有路线火府之戒
苍穹之戒	2	4	218	8	1	340	橙装PVP_木系所有路线苍穹之戒
荒芜之戒	2	4	226	6	1	800	橙装PVP_水系所有路线荒芜之戒
火府之戒	2	4	227	7	1	560	橙装PVP_水系所有路线火府之戒
苍穹之戒	2	4	228	8	1	340	橙装PVP_水系所有路线苍穹之戒
荒芜之戒	2	4	236	6	1	800	橙装PVP_火系所有路线荒芜之戒
火府之戒	2	4	237	7	1	560	橙装PVP_火系所有路线火府之戒
苍穹之戒	2	4	238	8	1	340	橙装PVP_火系所有路线苍穹之戒
荒芜之戒	2	4	246	6	1	800	橙装PVP_土系所有路线荒芜之戒
火府之戒	2	4	247	7	1	560	橙装PVP_土系所有路线火府之戒
苍穹之戒	2	4	248	8	1	340	橙装PVP_土系所有路线苍穹之戒
4级玄晶	18	1	1	4	1	670000	4级玄晶
5级玄晶	18	1	1	5	1	216000	5级玄晶
6级玄晶	18	1	1	6	1	36000	6级玄晶
7级玄晶	18	1	1	7	1	6000	7级玄晶
8级玄晶	18	1	1	8	1	1000	8级玄晶
