Level	UpgardeExp	Value
1	20	1000
2	20	1000
3	20	2000
4	20	3000
5	20	4000
6	20	6000
7	20	8000
8	20	10000
9	20	12000
10	30	14000
11	30	17000
12	30	20000
13	30	23000
14	30	26000
15	30	29000
16	30	32000
17	30	35000
18	30	38000
19	30	41000
20	35	44000
21	35	48000
22	35	51000
23	35	55000
24	35	58000
25	35	62000
26	35	65000
27	35	69000
28	35	72000
29	35	76000
30	45	79000
31	45	84000
32	45	88000
33	45	93000
34	45	97000
35	45	102000
36	45	106000
37	45	111000
38	45	115000
39	45	120000
40	45	124000
41	45	129000
42	45	133000
43	45	138000
44	45	142000
45	45	147000
46	45	151000
47	45	156000
48	45	160000
49	45	165000
50	55	169000
51	55	175000
52	55	180000
53	55	186000
54	55	191000
55	55	197000
56	55	202000
57	55	208000
58	55	213000
59	55	219000
60	55	224000
61	55	230000
62	55	235000
63	55	241000
64	55	246000
65	55	252000
66	55	257000
67	55	263000
68	55	268000
69	55	274000
70	65	279000
71	65	286000
72	65	292000
73	65	299000
74	65	305000
75	65	312000
76	65	318000
77	65	325000
78	65	331000
79	65	338000
80	65	344000
81	65	351000
82	65	357000
83	65	364000
84	65	370000
85	65	377000
86	65	383000
87	65	390000
88	65	396000
89	65	403000
90	65	409000
91	65	416000
92	65	422000
93	65	429000
94	65	435000
95	65	442000
96	65	448000
97	65	455000
98	65	461000
99	65	468000
100	65	474000
101	65	481000
102	65	487000
103	65	494000
104	65	500000
105	65	507000
106	65	513000
107	65	520000
108	65	526000
109	65	533000
110	65	539000
111	65	546000
112	65	552000
113	65	559000
114	65	565000
115	65	572000
116	65	578000
117	65	585000
118	65	591000
119	65	598000
120	75	604000
121	75	612000
122	75	619000
123	75	627000
124	75	634000
125	75	642000
126	75	649000
127	75	657000
128	75	664000
129	75	672000
130	75	679000
131	75	687000
132	75	694000
133	75	702000
134	75	709000
135	75	717000
136	75	724000
137	75	732000
138	75	739000
139	75	747000
140	75	754000
141	75	762000
142	75	769000
143	75	777000
144	75	784000
145	75	792000
146	75	799000
147	75	807000
148	75	814000
149	75	822000
150	75	829000
151	75	837000
152	75	844000
153	75	852000
154	75	859000
155	75	867000
156	75	874000
157	75	882000
158	75	889000
159	75	897000
160	75	904000
161	75	912000
162	75	919000
163	75	927000
164	75	934000
165	75	942000
166	80	949000
167	80	957000
168	80	965000
169	80	973000
170	80	981000
171	80	989000
172	80	997000
173	80	1005000
174	80	1013000
175	80	1021000
176	80	1029000
177	80	1037000
178	80	1045000
179	80	1053000
180	80	1061000
181	80	1069000
182	80	1077000
183	80	1085000
184	85	1093000
185	85	1102000
186	85	1110000
187	85	1119000
188	85	1127000
189	85	1136000
190	85	1144000
191	85	1153000
192	85	1161000
193	85	1170000
194	85	1178000
195	85	1187000
196	85	1195000
197	85	1204000
198	90	1212000
199	90	1221000
200	90	1230000
201	90	1239000
202	90	1248000
203	90	1257000
204	90	1266000
205	90	1275000
206	90	1284000
207	90	1293000
208	90	1302000
209	95	1311000
210	95	1321000
211	95	1330000
212	95	1340000
213	95	1349000
214	95	1359000
215	95	1368000
216	95	1378000
217	95	1387000
218	95	1397000
219	95	1406000
220	100	1416000
221	100	1426000
222	100	1436000
223	100	1446000
224	100	1456000
225	100	1466000
226	100	1476000
227	100	1486000
228	100	1496000
229	105	1506000
230	105	1516000
231	105	1527000
232	105	1537000
233	105	1548000
234	105	1558000
235	105	1569000
236	105	1579000
237	110	1590000
238	110	1601000
239	110	1612000
240	110	1623000
241	110	1634000
242	110	1645000
243	110	1656000
244	110	1667000
245	120	1678000
246	120	1690000
247	120	1702000
248	120	1714000
249	120	1726000
250	120	1738000
251	120	1750000
252	120	1762000
253	125	1774000
254	125	1786000
255	125	1799000
256	125	1811000
257	125	1824000
258	125	1836000
259	125	1849000
260	130	1861000
261	130	1874000
262	130	1887000
263	130	1900000
264	130	1913000
265	130	1926000
266	135	1939000
267	135	1953000
268	135	1966000
269	135	1980000
270	135	1993000
271	135	2007000
272	135	2020000
273	140	2034000
274	140	2048000
275	140	2062000
276	140	2076000
277	140	2090000
278	140	2104000
279	145	2118000
280	145	2132000
281	145	2147000
282	145	2161000
283	145	2176000
284	145	2190000
285	150	2205000
286	150	2220000
287	150	2235000
288	150	2250000
289	150	2265000
290	155	2280000
291	155	2295000
292	155	2311000
293	155	2326000
294	155	2342000
295	155	2357000
296	160	2373000
297	160	2389000
298	160	2405000
299	160	2421000
300	175	2437000
301	180	2454000
302	180	2472000
303	180	2490000
304	180	2508000
305	180	2526000
306	185	2544000
307	185	2563000
308	185	2581000
309	185	2600000
310	185	2618000
311	190	2637000
312	190	2656000
313	190	2675000
314	190	2694000
315	190	2713000
316	195	2732000
317	195	2751000
318	195	2771000
319	195	2790000
320	195	2810000
321	200	2829000
322	200	2849000
323	200	2869000
324	200	2889000
325	200	2909000
326	205	2929000
327	205	2950000
328	205	2970000
329	205	2991000
330	215	3011000
331	215	3033000
332	215	3054000
333	215	3076000
334	215	3097000
335	220	3119000
336	220	3141000
337	220	3163000
338	220	3185000
339	225	3207000
340	225	3229000
341	225	3252000
342	225	3274000
343	230	3297000
344	230	3320000
345	230	3343000
346	230	3366000
347	235	3389000
348	235	3412000
349	235	3436000
350	235	3459000
351	240	3483000
352	240	3507000
353	240	3531000
354	240	3555000
355	245	3579000
356	245	3603000
357	245	3628000
358	245	3652000
359	250	3677000
360	250	3702000
361	250	3727000
362	250	3752000
363	260	3777000
364	260	3803000
365	260	3829000
366	260	3855000
367	265	3881000
368	265	3907000
369	265	3934000
370	265	3960000
371	270	3987000
372	270	4014000
373	270	4041000
374	270	4068000
375	270	4095000
376	270	4122000
377	270	4149000
378	275	4176000
379	275	4203000
380	275	4231000
381	275	4258000
382	280	4286000
383	280	4314000
384	280	4342000
385	280	4370000
386	285	4398000
387	285	4426000
388	285	4455000
389	290	4483000
390	290	4512000
391	290	4541000
392	295	4570000
393	295	4600000
394	295	4629000
395	295	4659000
396	305	4688000
397	305	4719000
398	305	4749000
399	310	4780000
400	310	4811000
401	310	4842000
402	310	4873000
403	315	4904000
404	315	4935000
405	315	4967000
406	320	4998000
407	320	5030000
408	320	5062000
409	325	5094000
410	325	5127000
411	325	5159000
412	330	5192000
413	330	5225000
414	330	5258000
415	330	5291000
416	335	5324000
417	335	5357000
418	335	5391000
419	340	5424000
420	340	5458000
421	340	5492000
422	350	5526000
423	350	5561000
424	350	5596000
425	355	5631000
426	355	5667000
427	355	5702000
428	360	5738000
429	360	5774000
430	360	5810000
431	365	5846000
432	365	5882000
433	365	5919000
434	370	5955000
435	370	5992000
436	370	6029000
437	375	6066000
438	375	6104000
439	375	6141000
440	380	6179000
441	380	6217000
442	380	6255000
443	385	6293000
444	385	6331000
445	385	6370000
446	395	6408000
447	395	6448000
448	395	6487000
449	400	6527000
450	400	6567000
451	400	6607000
452	405	6647000
453	405	6687000
454	410	6728000
455	410	6769000
456	410	6810000
457	415	6851000
458	415	6892000
459	415	6934000
460	420	6975000
461	420	7017000
462	420	7059000
463	425	7101000
464	425	7144000
465	430	7186000
466	430	7229000
467	430	7272000
468	435	7315000
469	435	7359000
470	435	7402000
471	445	7446000
472	445	7490000
473	450	7535000
474	450	7580000
475	450	7625000
476	455	7670000
477	455	7715000
478	455	7761000
479	460	7806000
480	460	7852000
481	465	7898000
482	465	7945000
483	465	7991000
484	470	8038000
485	470	8085000
486	475	8132000
487	475	8179000
488	475	8227000
489	480	8274000
490	480	8322000
491	490	8370000
492	490	8419000
493	490	8468000
494	495	8517000
495	495	8567000
496	500	8616000
497	500	8666000
498	500	8716000
499	505	8766000
500	505	8817000
501	510	8867000
502	510	8918000
503	510	8969000
504	515	9020000
505	515	9072000
506	520	9123000
507	520	9175000
508	520	9227000
509	525	9279000
510	525	9332000
511	535	9384000
512	535	9438000
513	535	9491000
514	540	9545000
515	540	9599000
516	545	9653000
517	545	9707000
518	550	9762000
519	550	9817000
520	550	9872000
521	555	9927000
522	555	9982000
523	560	10038000
524	560	10094000
525	565	10150000
526	565	10206000
527	565	10263000
528	570	10319000
529	570	10376000
530	575	10433000
531	575	10491000
532	585	10548000
533	585	10607000
534	590	10665000
535	590	10724000
536	590	10783000
537	595	10842000
538	595	10902000
539	600	10961000
540	600	11021000
541	605	11081000
542	605	11142000
543	610	11202000
544	610	11263000
545	615	11324000
546	615	11386000
547	615	11447000
548	620	11509000
549	620	11571000
550	630	11633000
551	630	11696000
552	635	11759000
553	635	11822000
554	640	11886000
555	640	11950000
556	645	12014000
557	645	12078000
558	650	12143000
559	650	12208000
560	650	12273000
561	655	12338000
562	655	12403000
563	660	12469000
564	660	12535000
565	665	12601000
566	665	12667000
567	675	12734000
568	675	12801000
569	680	12869000
570	680	12937000
571	685	13005000
572	685	13073000
573	690	13142000
574	690	13211000
575	695	13280000
576	695	13349000
577	700	13419000
578	700	13489000
579	705	13559000
580	705	13629000
