Name	Kind	Genre	DetailType	ParticularType	Level	Icon	View	ObjID	Intro	Help	Series	Price	Stack	ItemValue	MakeCost	BindType	Valuable	ReqLevel	ClassName	ForbidType	CanBeOffer	Shortcut	CDType
Thiên Nhẫn Tiểu Kỳ	Thiên Nhẫn Tiểu Kỳ	20	1	1	1	\image\item\other\quest\quest_0012_s.spr		32	Tín vật truyền lệnh của đệ tử Thiên Nhẫn Giáo.		0	0	1	1		3	0		taskitem				
Chìa khóa địa huyệt	Chìa khóa địa huyệt	20	1	2	1	\image\item\other\quest\quest_0013_s.spr		32	Chìa khóa cổng địa huyệt thần bí Thiên Vương Đảo.		0	0	100	1		3	0		taskitem				
Hùng đảm thảo	Hùng đảm thảo	20	1	3	1	\image\item\other\quest\quest_0014_s.spr		32	Mùi vị kỳ lạ, dùng để đuổi cá sấu hoặc những mãnh thú khác.		0	0	100	1		3	0		taskitem				
Thư của Cầu Chỉ Thủy	Thư của Cầu Chỉ Thủy	20	1	4	1	\image\item\other\quest\quest_0003_s.spr		32	Bên trong có thể ẩn chứa bí mật to lớn.		0	0	1	1		3	0		taskitem				
Thư liên lạc giả	Thư liên lạc giả	20	1	5	1	\image\item\other\quest\quest_0003_s.spr		32	Mưu đồ vu cáo Thiên Vương Bang phản nghịch.		0	0	100	1		3	0		taskitem				
Quả du	Quả du	20	1	6	1	\image\item\other\quest\quest_0002_s.spr		32	Quả và hạt cây du, giống đồng tiền.		0	0	100	1		3	0		taskitem				
Bố Giả Thương	Bố Giả Thương	20	1	7	1	\image\item\other\quest\quest_0004_s.spr		32	Binh khí của đệ nhất võ sĩ Hạ Bộ Trần của Cấm quân.		0	0	1	1		3	0		taskitem				
Dưa hấu	Dưa hấu	20	1	8	1	\image\item\other\quest\quest_0005_s.spr		32	Dùng để giải khát, mọng nước.		0	0	100	1		3	0		taskitem				
Hầu Nhi Tửu	Hầu Nhi Tửu	20	1	9	1	\image\item\other\quest\quest_0006_s.spr		32	Do Hầu Nhi ủ, vị ngọt, hiếm có.		0	0	100	1		3	0		taskitem				
Bút lông	Bút lông	20	1	10	1	\image\item\other\quest\quest_0009_s.spr		32	Một trong những nguyên liệu cơ bản để vẽ bản đồ.		0	0	100	1		3	0		taskitem				
Giấy Tuyên	Giấy Tuyên	20	1	11	1	\image\item\other\quest\quest_0010_s.spr		32	Một trong những nguyên liệu cơ bản để vẽ bản đồ.		0	0	100	1		3	0		taskitem				
Tập bản đồ	Tập bản đồ	20	1	12	1	\image\item\other\quest\quest_0011_s.spr		32	Dùng trong quân sự, nghiên cứu.		0	0	100	1		3	0		taskitem				
Ảnh Giả Ám Ký	Ảnh Giả Ám Ký	20	1	13	1	\image\item\other\quest\quest_0008_s.spr		32	Cái Bang "Ảnh Xã" dùng, dùng để chỉ vị trí địa lý.		0	0	100	1		3	0		taskitem				
Cờ Ngũ Độc Giáo	Cờ Ngũ Độc Giáo	20	1	14	1	\image\item\other\quest\quest_0012_s.spr		32	Đệ tử Ngũ Độc Giáo dùng để đánh dấu đường.		0	0	100	1		3	0		taskitem				
Vong ưu thảo	Vong ưu thảo	20	1	15	1	\image\item\other\quest\quest_0014_s.spr		32	Một loại thảo mộc hiếm có.		0	0	1	1		3	0		taskitem				
Tử La Lan	Tử La Lan	20	1	16	1	\image\item\other\quest\quest_0019_s.spr		32	Một loại thảo mộc hiếm có.		0	0	1	1		3	0		taskitem				
Tinh tinh thảo	Tinh tinh thảo	20	1	17	1	\image\item\other\quest\quest_0020_s.spr		32	Một loại thảo mộc hiếm có.		0	0	1	1		3	0		taskitem				
Phong Tín Tử	Phong Tín Tử	20	1	18	1	\image\item\other\quest\quest_0021_s.spr		32	Một loại thảo mộc hiếm có.		0	0	1	1		3	0		taskitem				
Bia đá	Bia đá	20	1	19	1	\image\item\other\quest\quest_0070_s.spr		32	Phía trên có một hàng chữ mờ, khó thấy.		0	0	100	1		3	0		taskitem				
Thủ cấp Tộc trưởng Dao Sơn	Thủ cấp Tộc trưởng Dao Sơn	20	1	20	1	\image\item\other\quest\quest_0015_s.spr		32	Thủ cấp đàn ông tộc Dao Sơn.		0	0	100	1		3	0		taskitem				
Diên Hương Hương Nang	Diên Hương Hương Nang	20	1	21	1	\image\item\other\quest\quest_0064_s.spr		32	Đàn ông tộc Dao Sơn mang theo bên người.		0	0	100	1		1	0		taskitem				
Túi bạc nặng trĩu	Túi bạc nặng trĩu	20	1	22	1	\image\item\other\quest\quest_0016_s.spr		32	Bên trong chứa nhiều bạc		0	0	100	1		3	0		taskitem				
Nga Hoàng Ca	Nga Hoàng Ca	20	1	23	1	\image\item\other\quest\quest_0018_s.spr		32	Bài ca cảm động, nữ vu bộ lạc nguyên thủy thường hát.		0	0	1	1		3	0		taskitem				
Tóc nữ vu	Tóc nữ vu	20	1	24	1	\image\item\other\quest\quest_0071_s.spr		32	Mái tóc dài thô màu nâu đen của Nữ Vu Nam Di		0	0	100	1		3	0		taskitem				
Chìa khóa Hoàng Đồng 1	Chìa khóa Hoàng Đồng 1	20	1	25	1	\image\item\other\quest\quest_0013_s.spr		32	Chìa khóa cổng Đại Tuyết Chủng núi Côn Lôn.		0	0	100	1		3	0		taskitem				
Chìa khóa Hoàng Đồng 2	Chìa khóa Hoàng Đồng 2	20	1	26	1	\image\item\other\quest\quest_0013_s.spr		32	Chìa khóa cổng Đại Tuyết Chủng núi Côn Lôn.		0	0	100	1		3	0		taskitem				
Chìa khóa Hoàng Đồng 3	Chìa khóa Hoàng Đồng 3	20	1	27	1	\image\item\other\quest\quest_0013_s.spr		32	Chìa khóa cổng Đại Tuyết Chủng núi Côn Lôn.		0	0	100	1		3	0		taskitem				
Thư của Tạ Vũ Điền	Thư của Tạ Vũ Điền	20	1	28	1	\image\item\other\quest\quest_0003_s.spr		32	Tạ Vũ Điền, đệ tử đời trước của phái Côn Lôn kể chuyện nội loạn.		0	0	100	1		3	0		taskitem				
Cổ Kiếm Trường Thanh	Cổ Kiếm Trường Thanh	20	1	29	1	\image\item\other\quest\quest_0033_s.spr		32	Di vật của Sở Khi Thiên phái Côn Lôn đời trước		0	0	1	1		3	0		taskitem				
Thổ Phục Linh	Thổ Phục Linh	20	1	30	1	\image\item\other\quest\quest_0034_s.spr		32	Thuốc quý, trị được nhiều bệnh nan y.		0	0	1	1		3	0		taskitem				
Sơn Dược	Sơn Dược	20	1	31	1	\image\item\other\quest\quest_0035_s.spr		32	Thuốc quý, trị được nhiều bệnh nan y.		0	0	1	1		3	0		taskitem				
Cửu Tiết Xương Bồ	Cửu Tiết Xương Bồ	20	1	32	1	\image\item\other\quest\quest_0036_s.spr		32	Thuốc quý, trị được nhiều bệnh nan y.		0	0	1	1		3	0		taskitem				
Đại Thanh Đâu 	Đại Thanh Đâu 	20	1	33	1	\image\item\other\quest\quest_0037_s.spr		32	Thuốc quý, trị được nhiều bệnh nan y.		0	0	1	1		3	0		taskitem				
Sợi tơ	Sợi tơ	20	1	34	1	\image\item\other\quest\quest_0072_s.spr		32	Dùng để may quần áo.		0	0	100	1		3	0		taskitem				
Kim Cang Thiền Trượng (chưa khai quang)	Kim Cang Thiền Trượng (chưa khai quang)	20	1	35	1	\image\item\other\quest\quest_0073_s.spr		32	Gậy phục ma Đạt Ma Đại Sư mang theo bên người khi đi về phía đông		0	0	1	1		3	0		taskitem				
Kim Cang Thiền Trượng (khai quang)	Kim Cang Thiền Trượng (khai quang)	20	1	36	1	\image\item\other\quest\quest_0073_s.spr		32	Gậy phục ma Đạt Ma Đại Sư mang theo bên người khi đi về phía đông		0	0	1	1		3	0		taskitem				
Địa Căn Thảo	Địa Căn Thảo	20	1	37	1	\image\item\other\quest\quest_0037_s.spr		32	Có thể cải tử hồi sinh, tăng công lực		0	0	100	1		3	0		taskitem				
Thích Giả Đấu Lạp	Thích Giả Đấu Lạp	20	1	38	1	\image\item\other\quest\quest_0075_s.spr		32	Chiếc mũ sư trụ trì Pháp Môn tự đời thứ tư đội		0	0	100	1		3	0		taskitem				
Chìa khóa miếu hoang	Chìa khóa miếu hoang	20	1	39	1	\image\item\other\quest\quest_0013_s.spr		32	Chiếc chìa khóa của ngôi miếu bỏ hoang.		0	0	100	1		3	0		taskitem				
Linh kiện mộc nhân	Linh kiện mộc nhân	20	1	40	1	\image\item\other\quest\quest_0038_s.spr		32	Linh kiện trên người Mộc Nhân trong Thiếu Lâm Mộc Nhân Hạng.		0	0	100	1		1	0		taskitem				
Thư Lộ Hiểu Nhiên giao	Thư Lộ Hiểu Nhiên giao	20	1	41	1	\image\item\other\quest\quest_0003_s.spr		32	Thư Lộ Hiểu Nhiên giao		0	0	1	1		3	0		taskitem				
Túi đồ Lộ Hiểu Nhiên giao	Túi đồ Lộ Hiểu Nhiên giao	20	1	42	1	\image\item\other\quest\quest_0042_s.spr		32	Túi đồ Lộ Hiểu Nhiên giao		0	0	1	1		3	0		taskitem				
Râu Chân Nhân	Râu Chân Nhân	20	1	43	1	\image\item\other\quest\quest_0076_s.spr		32	Râu đá nhổ xuống từ bức tượng Võ Đang		0	0	100	1		3	0		taskitem				
Thanh Minh Bảo Kiếm	Thanh Minh Bảo Kiếm	20	1	44	1	\image\item\other\quest\quest_0033_s.spr		32	Bội kiếm của Chung Chí Minh phái Võ Đang, danh kiếm đương thời, hiếm thấy.		0	0	100	1		3	0		taskitem				
Bộ Thanh Minh Kiếm	Bộ Thanh Minh Kiếm	20	1	45	1	\image\item\other\quest\quest_0041_s.spr		32	Bộ Thanh Minh Bảo Kiếm		0	0	100	1		3	0		taskitem				
Danh sách phạm nhân	Danh sách phạm nhân	20	1	46	1	\image\item\other\quest\quest_0011_s.spr		32	Ghi tên những cự thương buôn bán tại Kim Quốc có hành động đoạt người cướp của bí mật.		0	0	100	1		3	0		taskitem				
Ô Kim Trường Kiếm	Ô Kim Trường Kiếm	20	1	47	1	\image\item\other\quest\quest_0033_s.spr		32	Thân kiếm làm bằng hợp kim, chém sắt như chém bùn.		0	0	100	1		3	0		taskitem				
Lương thảo bị cướp	Lương thảo bị cướp	20	1	48	1	\image\item\other\quest\quest_0077_s.spr		32	Túi lương thực chứa đầy lương thực trong quân doanh		0	0	100	1		3	0		taskitem				
Châu báu bị cướp	Châu báu bị cướp	20	1	49	1	\image\item\other\quest\quest_0078_s.spr		32	Trên một miếng vải mềm để nhiều trang sức quý giá		0	0	100	1		3	0		taskitem				
Thất Bảo Lưu Ly	Thất Bảo Lưu Ly	20	1	50	1	\image\item\other\quest\quest_0079_s.spr		32	Có bảy màu biến đổi bất định, siêu việt lạ thường		0	0	1	1		3	0		taskitem				
Tiền thời nhà Thương	Tiền thời nhà Thương	20	1	51	1	\image\item\other\quest\quest_0080_s.spr		32	Đồng tiền hình đao dùng vào thời nhà Thương		0	0	1	1		3	0		taskitem				
Trường Kiếm của Mộ Dung Thị	Trường Kiếm của Mộ Dung Thị	20	1	52	1	\image\item\other\quest\quest_0033_s.spr		32	Bảo kiếm của hoàng thất Mộ Dung Yên quốc, rất quý.		0	0	1	1		3	0		taskitem				
Danh sách mật thám	Danh sách mật thám	20	1	53	1	\image\item\other\quest\quest_0011_s.spr		32	Ghi thông tin chi tiết của danh sách mật thám.		0	0	1	1		3	0		taskitem				
Nga My Lục	Nga My Lục	20	1	54	1	\image\item\other\quest\quest_0018_s.spr		32	Ghi lại hậu sự của môn hạ Thất Tiên Tử, do ẩn sĩ phái Nga My giữ, người ngoài không được biết.		0	0	100	1		3	0		taskitem				
Nguồn gốc Độc Y	Nguồn gốc Độc Y	20	1	55	1	\image\item\other\quest\quest_0003_s.spr		32	Tinh hoa mà Trương Thiện Đức học được 		0	0	1	1		3	0		taskitem				
Thủ cấp Diệp Long Diên	Thủ cấp Diệp Long Diên	20	1	56	1	\image\item\other\quest\quest_0015_s.spr		32	Thủ cấp của tên côn đồ Diệp Long Diên thủ hạ của Tiền Trọng Quang		0	0	1	1		3	0		taskitem				
Thủ cấp Chu Quang Chiếu	Thủ cấp Chu Quang Chiếu	20	1	57	1	\image\item\other\quest\quest_0015_s.spr		32	Thủ cấp của tên côn đồ Chu Quang Chiếu thủ hạ của Tiền Trọng Quang		0	0	1	1		3	0		taskitem				
Thủ cấp Lục Đại Khấu	Thủ cấp Lục Đại Khấu	20	1	58	1	\image\item\other\quest\quest_0015_s.spr		32	Thủ cấp của 6 tên côn đồ tội ác tày trời thủ hạ của Tiền Trọng Quang		0	0	1	1		3	0		taskitem				
Thủ cấp Thợ Xây	Thủ cấp Thợ Xây	20	1	59	1	\image\item\other\quest\quest_0015_s.spr		32	Đầu Thợ Xây Lăng Mộ		0	0	1	1		3	0		taskitem				
Tuyết Sơn Chi Linh (Tây)	Tuyết Sơn Chi Linh (Tây)	20	1	60	1	\image\item\other\quest\quest_0048_s.spr		32	Giữ tinh hoa của Tuyết Sơn.<enter><color=gold>Nhấn chuột phải vào góc tây thần đài để dùng<color>		0	0	1	1		3	0		taskitem				
Tuyết Sơn Chi Linh (Nam)	Tuyết Sơn Chi Linh (Nam)	20	1	61	1	\image\item\other\quest\quest_0048_s.spr		32	Giữ tinh hoa của Tuyết Sơn.<enter><color=gold>Nhấn chuột phải vào góc nam thần đài để dùng<color>		0	0	1	1		3	0		taskitem				
Băng lư	Băng lư	20	1	62	1	\image\item\other\quest\quest_0027_s.spr		32	Lò đồng chứa băng hàn độc		0	0	1	1		3	0		taskitem				
Xuân Tuyệt Tâm Pháp	Xuân Tuyệt Tâm Pháp	20	1	63	1	\image\item\other\quest\quest_0018_s.spr		32	Tâm pháp nhập môn nội công của đệ tử Đường Môn.		0	0	1	1		3	0		taskitem				
Sái Vân Thủ	Sái Vân Thủ	20	1	64	1	\image\item\other\quest\quest_0018_s.spr		32	Tâm pháp nhập môn ngoại công của đệ tử Đường Môn.		0	0	1	1		3	0		taskitem				
Tâm Ý Gian	Tâm Ý Gian	20	1	65	1	\image\item\other\quest\quest_0018_s.spr		32	Tâm pháp nhập môn khinh công của đệ tử Đường Môn.		0	0	1	1		3	0		taskitem				
Trang sách	Trang sách	20	1	66	1	\image\item\other\quest\quest_0028_s.spr		32	Trang Mật tịch bị rách		0	0	1	1		3	0		taskitem				
Món quà của Đường Như	Món quà của Đường Như	20	1	67	1	\image\item\other\quest\quest_0029_s.spr		32	Túi đồ gói kín, không biết bên trong có gì		0	0	1	1		3	0		taskitem				
Âm Phù	Âm Phù	20	1	68	1	\image\item\other\quest\quest_0031_s.spr		32	Hộ phù có hình thái cực, phải sử dụng kết hợp với một phần khác		0	0	1	1		3	0		taskitem				
Dương Phù	Dương Phù	20	1	69	1	\image\item\other\quest\quest_0030_s.spr		32	Hộ phù có hình thái cực, phải sử dụng kết hợp với một phần khác		0	0	1	1		3	0		taskitem				
Rượu Trúc Diệp Thanh	Rượu Trúc Diệp Thanh	20	1	70	1	\image\item\other\quest\quest_0063_s.spr		32	Rượu lâu năm mùi hương thơm ngát		0	0	1	1		3	0		taskitem				
Hỏa Khí Phổ	Hỏa Khí Phổ	20	1	71	1	\image\item\other\quest\quest_0018_s.spr		32	Mật tịch chế tạo hỏa khí do Đường Vân viết.		0	0	1	1		3	0		taskitem				
Hoa Hồng Miên	Hoa Hồng Miên	20	1	72	1	\image\item\other\quest\quest_0032_s.spr		32	Được đệ tử giáo hội thần bí trồng với phương pháp đặc biệt, không bao giờ tàn.		0	0	100	1		1	0		taskitem				
Cờ phía đông	Cờ phía đông	20	1	73	1	\image\item\other\quest\quest_0012_s.spr		32	Cờ phía đông Ngoài Bách Hoa Trận		0	0	1	1		3	0		taskitem				
Cờ phía nam	Cờ phía nam	20	1	74	1	\image\item\other\quest\quest_0012_s.spr		32	Cờ phía nam Ngoài Bách Hoa Trận		0	0	1	1		3	0		taskitem				
Cờ phía tây	Cờ phía tây	20	1	75	1	\image\item\other\quest\quest_0012_s.spr		32	Cờ phía tây Ngoài Bách Hoa Trận		0	0	1	1		3	0		taskitem				
Cờ phía bắc	Cờ phía bắc	20	1	76	1	\image\item\other\quest\quest_0012_s.spr		32	Cờ phía bắc Ngoài Bách Hoa Trận		0	0	1	1		3	0		taskitem				
Hài cốt nữ	Hài cốt nữ	20	1	77	1	\image\item\other\quest\quest_0022_s.spr		32	Xác chết đệ tử Thúy Yên Môn trong Bách Hoa trận		0	0	100	1		3	0		taskitem				
Thư của La Phong	Thư của La Phong	20	1	78	1	\image\item\other\quest\quest_0003_s.spr		32	Thư của Cái Bang trưởng lão La Phong		0	0	1	1		3	0		taskitem				
Mật Bạch Xà	Mật Bạch Xà	20	1	79	1	\image\item\other\quest\quest_0081_s.spr		32			0	0	100	1		3	0		taskitem				
Thủ cấp Lý A Đại	Thủ cấp Lý A Đại	20	1	80	1	\image\item\other\quest\quest_0015_s.spr		32			0	0	1	1		3	0		taskitem				
Gối bạc hà	Gối bạc hà	20	1	81	1	\image\item\other\quest\quest_0082_s.spr		32	Trên gối tỏa mùi hương tươi mát, làm ta muốn ngủ		0	0	1	1		3	0		taskitem				
Nhang đèn	Nhang đèn	20	1	82	1	\image\item\other\quest\quest_0083_s.spr		32			0	0	100	1		3	0		taskitem				
Thư tay cơ mật	Thư tay cơ mật	20	1	83	1	\image\item\other\quest\quest_0084_s.spr		32			0	0	100	1		3	0		taskitem				
Tim Thần Vu	Tim Thần Vu	20	1	84	1	\image\item\other\quest\quest_0085_s.spr		32			0	0	100	1		3	0		taskitem				
Một bức thư	Một bức thư	20	1	85	1	\image\item\other\quest\quest_0003_s.spr		32			0	0	100	1		3	0		taskitem				
Đầu Bì La Các	Đầu Bì La Các	20	1	86	1	\image\item\other\quest\quest_0015_s.spr		32			0	0	100	1		3	0		taskitem				
Mã Tặc mã bài	Mã Tặc mã bài	20	1	87	1	\image\item\other\quest\quest_0059_s.spr		32	Mã bài bọn cướp cưỡi ngựa mang theo bên người		0	0	100	1		3	0		taskitem				
Mảnh Bách quan phổ 	Mảnh Bách quan phổ 	20	1	88	1	\image\item\other\quest\quest_0001_s.spr		32	Ghi lại mối quan hệ và việc quà cáp giữa quan lại		0	0	100	1		3	0		taskitem				
