Name	Kind	Genre	DetailType	ParticularType	Level	Icon	View	ObjID	Intro	Help	Series	Price	Stack	ItemValue	MakeCost	BindType	Valuable	ReqLevel	ClassName	ForbidType	CanBeOffer	Shortcut	CDType	ExtParam1	ExtParam2	ExtParam3	ExtParam4	ExtParam5	ExtParam6	ExtParam7	ExtParam8	ExtParam9	ExtParam10	ExtParam11	ExtParam12	ExtParam13	ExtParam14	ExtParam15	ExtParam16	ExtParam17	ExtParam18	ExtParam19	ExtParam20	Effect
Hoàng Quang Thạch (vỡ) (cấp1)	Huyết Lam BảoThạch (cấp1)	24	1	1	1	\image\item\gem\1_gold.spr		1	Bảo thạch kiểu dáng cổ xưa, có thể khảm lên trang bị.<enter><color=gold>Nhấp chuột phải để mở giao diện khảm.<color>		0	100000	1	50000		0	1		gem					1																				
Hoàng Quang Thạch (mòn) (cấp 2)	Huyết Lam Trị Bảo Thạch (cấp 2)	24	1	1	2	\image\item\gem\2_gold.spr		2	Bảo thạch kiểu dáng cổ xưa, có thể khảm lên trang bị.<enter><color=gold>Nhấp chuột phải để mở giao diện khảm.<color>		0	100000	1	50000		0	1		gem					1																				
Hoàng Quang Thạch (hoàn chỉnh) (cấp 3)	Huyết Lam Trị Bảo Thạch (cấp 3)	24	1	1	3	\image\item\gem\3_gold.spr		3	Bảo thạch kiểu dáng cổ xưa, có thể khảm lên trang bị.<enter><color=gold>Nhấp chuột phải để mở giao diện khảm.<color>		0	100000	1	50000		0	1		gem					1	3																			
Hoàng Quang Thạch (tinh xảo) (cấp 4)	Huyết Lam Trị Bảo Thạch (cấp 4)	24	1	1	4	\image\item\gem\4_gold.spr		4	Bảo thạch kiểu dáng cổ xưa, có thể khảm lên trang bị.<enter><color=gold>Nhấp chuột phải để mở giao diện khảm.<color>		0	100000	1	50000		0	1		gem					1	4																			
Hoàng Quang Thạch (lấp lánh) (cấp 5)	Huyết Lam Trị Bảo Thạch (cấp 5)	24	1	1	5	\image\item\gem\5_gold.spr		5	Bảo thạch kiểu dáng cổ xưa, có thể khảm lên trang bị.<enter><color=gold>Nhấp chuột phải để mở giao diện khảm.<color>		0	100000	1	50000		0	1		gem					1	5																			
Hoàng Quang Thạch Óng Ánh (Cấp 6)	Bảo thạch tăng điểm sinh lực và nội lực (cấp 6)	24	1	1	6	\image\item\huodong\vn_putong6level.spr		6	Bảo thạch kiểu dáng cổ xưa, có thể khảm lên trang bị.<enter><color=gold>Nhấp chuột phải để mở giao diện khảm.<color>		0	100000	1	50000		0	1		gem					1	6																			
Hoàng Quang Thạch (Lung Linh) (Cấp 7)	Bảo thạch tăng điểm sinh lực và nội lực (cấp 7)	24	1	1	7	\image\item\gem\6_newgold.spr		7	Bảo thạch kiểu dáng cổ xưa, có thể khảm lên trang bị.<enter><color=gold>Nhấp chuột phải để mở giao diện khảm.<color>		0	100000	1	50000		0	1		gem					1	7																			
Hoàng Quang Thạch (Cấp 8)	Bảo Thạch Giá Trị SL Và NL (Cấp 8)	24	1	1	8	\image\item\gem\8_newgold.spr		7	Bảo thạch kiểu dáng cổ xưa, có thể khảm lên trang bị.<enter><color=gold>Nhấp chuột phải để mở giao diện khảm.<color>		0	100000	1	50000		0	1		gem					1	8																			
Diên Dương Thạch (vỡ) (cấp 1)	Huyết Lam Tỉ Bảo Thạch (cấp 1)	24	1	2	1	\image\item\gem\1_gold.spr		1	Bảo thạch kiểu dáng cổ xưa, có thể khảm lên trang bị.<enter><color=gold>Nhấp chuột phải để mở giao diện khảm.<color>		0	100000	1	50000		0	1		gem					2																				
Diên Dương Thạch (mòn) (cấp 2)	Huyết Lam Tỉ Bảo Thạch (cấp 2)	24	1	2	2	\image\item\gem\2_gold.spr		2	Bảo thạch kiểu dáng cổ xưa, có thể khảm lên trang bị.<enter><color=gold>Nhấp chuột phải để mở giao diện khảm.<color>		0	100000	1	50000		0	1		gem					2																				
Diên Dương Thạch (hoàn chỉnh) (cấp 3)	Huyết Lam Tỉ Bảo Thạch (cấp 3)	24	1	2	3	\image\item\gem\3_gold.spr		3	Bảo thạch kiểu dáng cổ xưa, có thể khảm lên trang bị.<enter><color=gold>Nhấp chuột phải để mở giao diện khảm.<color>		0	100000	1	50000		0	1		gem					2	3																			
Diên Dương Thạch (tinh xảo) (cấp 4)	Huyết Lam Tỉ Bảo Thạch (cấp 4)	24	1	2	4	\image\item\gem\4_gold.spr		4	Bảo thạch kiểu dáng cổ xưa, có thể khảm lên trang bị.<enter><color=gold>Nhấp chuột phải để mở giao diện khảm.<color>		0	100000	1	50000		0	1		gem					2	4																			
Diên Dương Thạch (lấp lánh) (cấp 5)	Huyết Lam Tỉ Bảo Thạch (cấp 5)	24	1	2	5	\image\item\gem\5_gold.spr		5	Bảo thạch kiểu dáng cổ xưa, có thể khảm lên trang bị.<enter><color=gold>Nhấp chuột phải để mở giao diện khảm.<color>		0	100000	1	50000		0	1		gem					2	5																			
Diên Dương Thạch Óng Ánh (Cấp 6)	Bảo thạch tăng tỷ lệ sinh lực và nội lực (cấp 6)	24	1	2	6	\image\item\huodong\vn_putong6level.spr		6	Bảo thạch kiểu dáng cổ xưa, có thể khảm lên trang bị.<enter><color=gold>Nhấp chuột phải để mở giao diện khảm.<color>		0	100000	1	50000		0	1		gem					2	6																			
