nClassParamID	nLevelId	Desc	szItem	szTitle	szFun	nCount	nBind	nTimeOut	nBindCoin	nBindMoney	nMoney	info
1	1	称号：三周年忠实剑侠前辈		6,79,1,1								注意这里的szItem和szTitle这里的以逗号分隔，例如：18,1,1,1
1	2	800000绑银								800000		
1	3	2张 绑定金币返还券（5000点）	18,1,1309,3			2	1	43200				
2	1	称号：两周年忠实剑侠前辈		6,80,1,1								
2	2	500000绑银								500000		
2	3	1张 绑定金币返还券（5000点）	18,1,1309,3			1	1	43200				
2	3	1张 绑定金币返还券（1000点）	18,1,1309,1			1	1	43200				
3	1	称号：一周年忠实剑侠前辈		6,81,1,1								
3	2	300000绑银								300000		
3	3	3张 绑定金币返还券（1000点）	18,1,1309,1			3	1	43200				
4	1	称号：江湖新侠士		6,82,1,1								
4	2	150000绑银								150000		
4	3	1张 绑定金币返还券（1000点）	18,1,1309,1			1	1	43200				
5	1	1个 离线托管丸（60小时）	18,1,1322,5			1	1	43200				
5	2	2张 秘境地图	18,1,251,1			2	1	43200				
5	3	1张 绑定金币返还券（5000点）	18,1,1309,3			1	1	43200				
5	3	1张 绑定金币返还券（1000点）	18,1,1309,1			1	1	43200				
5	4	绑定金币2000							2000			
6	1	1个 离线托管丸（32小时）	18,1,1322,4			1	1	43200				
6	2	2张 秘境地图	18,1,251,1			2	1	43200				
6	3	3张 绑定金币返还券（1000点）	18,1,1309,1			3	1	43200				
6	4	绑定金币2000							2000			
7	1	1个 离线托管丸（16小时）	18,1,1322,3			1	1	43200				
7	2	1张 秘境地图	18,1,251,1			1	1	43200				
7	3	2张 绑定金币返还券（1000点）	18,1,1309,1			2	1	43200				
7	4	绑定金币1000							1000			
