Name	ParticularType	Level	LiveTime	StateLog
面具名称	面具子类	面具等级	有效期（分）	是否记录周产出log
[面具]快乐的小男孩	1	1	1440	1
[面具]快乐的小女孩	2	1	1440	1
[面具]快乐的小男孩	3	1	43200	1
[面具]快乐的小女孩	4	1	43200	1
[面具]谷仙仙	5	1	4320	0
[面具]醉僧	6	1	4320	0
[面具]女刺客	7	1	43200	0
[面具]夺宝贼	8	1	43200	0
[面具]小野人	9	1	43200	0
[面具]冷霜然	10	1	4320	0
[面具]肖良	11	1	4320	0
[面具]宝果子	12	1	1440	1
[面具]二丫	13	1	1440	1
[面具]圣诞老人	14	1	43200	0
[面具]圣诞少女	15	1	43200	0
[面具]宝果子	16	1	43200	1
[面具]二丫	17	1	43200	1
[面具]新年侠客	18	1	43200	0
[面具]新年侠女	19	1	43200	0
[面具]沈小阳	20	1	43200	1
[面具]鸭小蛋	21	1	43200	1
[面具]三胖子	22	1	43200	1
[面具]苏小小	23	1	43200	1
[面具]秦始皇	24	1	43200	1
[面具]倾城	25	1	525600	0
[面具]倾国	26	1	525600	0
[面具]倾世	27	1	525600	0
[面具]靖哥哥	29	1	43200	0
[面具]蓉妹妹	30	1	43200	0
[面具]虎子	31	1	43200	1
[面具]燕燕	32	1	43200	1
[面具]虎子	31	1	43200	1
[面具]燕燕	32	1	43200	1
[面具]蚩尤	33	1	43200	1
[面具]紫苏	34	1	43200	1
[面具]华丽的新郎	35	1	525600	1
[面具]华丽的新娘	36	1	525600	1
[面具]普通的新郎	37	1	262800	1
[面具]普通的新娘	38	1	262800	1
[面具]婚礼伴郎	39	1	1440	1
[面具]婚礼伴娘	40	1	1440	1
[面具]婚礼司仪	41	1	1440	1
[面具]圣诞老人	42	1	4320	1
[面具]圣诞少女	43	1	4320	1
[面具]圣诞老人	44	1	43200	1
[面具]圣诞少女	45	1	43200	1
[面具]方行觉	46	1	4320	1
[面具]纤云手	47	1	4320	1
[面具]方行觉	48	1	43200	1
[面具]纤云手	49	1	43200	1
[面具]窦昊	55	1	4320	1
[面具]倾世	56	1	4320	1
[面具]窦昊	57	1	43200	1
[面具]倾世	58	1	43200	1
[面具]武清风	59	1	43200	1
[面具]倾国	60	1	43200	1
[面具]唐伯虎	61	1	57600	1
[面具]秋香	62	1	57600	1
[面具]沃德卡普	65	1	43200	1
[面具]沃德卡普	70	1	4320	1
[面具]沃德卡普	71	1	43200	1
[面具]虎子	72	1	4320	1
[面具]燕燕	73	1	4320	1
[面具]虎子	74	1	43200	1
[面具]燕燕	75	1	43200	1
[面具]唐缺	76	1	43200	1
[面具]尹筱雨	77	1	43200	1
[面具]牧童	78	1	129600	1
[面具]织女	79	1	129600	1
[面具]拓跋山渊	80	1	4320	1
[面具]仇雪	81	1	4320	1
[面具]拓跋山渊	82	1	43200	1
[面具]仇雪	83	1	43200	1
[面具]喜妞妞	84	1	43200	1
[面具]福娃娃	85	1	43200	1
[面具]唐缺	86	1	4320	1
[面具]牛翠花	87	1	4320	1
[面具]唐缺	88	1	43200	1
[面具]牛翠花	89	1	43200	1
[面具]越南传统长衫（男）	90	1	43200	1
[面具]越南传统长衫（女）	91	1	43200	1
[面具]谷仙仙	92	1	43200	1
[面具]醉僧	93	1	43200	1
[面具]冷霜然	94	1	43200	1
[面具]肖良	95	1	43200	1
[面具]牧童	96	1	43200	1
[面具]织女	97	1	43200	1
[面具]柔小翠	98	1	240	0
[面具]张善德	99	1	240	0
[面具]贾逸山	100	1	240	0
[面具]乌山青	101	1	240	0
[面具]陈无命	102	1	240	0
[面具]叶静	103	1	240	0
[面具]宝玉	104	1	240	0
[面具]夏小倩	105	1	240	0
[面具]秦仲	106	1	240	0
[面具]木超	107	1	240	0
[面具]紫苑	108	1	240	0
[面具]莺莺	109	1	240	0
[面具]秦始皇	110	1	240	0
[面具]叶静	111	1	43200	0
[面具]钟志铭	112	1	4320	1
[面具]蝶飘飘	113	1	4320	1
[面具]钟志铭	114	1	43200	1
[面具]蝶飘飘	115	1	43200	1
[面具]一代天骄	116	1	525600	0
[面具]梨涡浅笑	117	1	525600	0
[面具]英雄红	118	1	43200	1
[面具]英雄白	119	1	43200	1
[面具]英雄蓝	120	1	43200	1
