ClassParamID	Id	Desc	Name	Sex	Series	Genre	DetailType	ParticularType	Level	Bind
物品id	小id	描述	宝箱物品名	性别0男，1女，2无性别	五行	大类	子类	详细类	等级	绑定
1	1	凌云戒指宝箱	凌云之戒（金）	2	1	2	4	256	10	1
1	2	凌云戒指宝箱	凌云之戒（木）	2	2	2	4	257	10	1
1	3	凌云戒指宝箱	凌云之戒（水）	2	3	2	4	258	10	1
1	4	凌云戒指宝箱	凌云之戒（火）	2	4	2	4	259	10	1
1	5	凌云戒指宝箱	凌云之戒（土）	2	5	2	4	260	10	1
2	1	孤星戒指宝箱	孤星之戒（金）	2	1	2	4	261	10	1
2	2	孤星戒指宝箱	孤星之戒（木）	2	2	2	4	262	10	1
2	3	孤星戒指宝箱	孤星之戒（水）	2	3	2	4	263	10	1
2	4	孤星戒指宝箱	孤星之戒（火）	2	4	2	4	264	10	1
2	5	孤星戒指宝箱	孤星之戒（土）	2	5	2	4	265	10	1
3	1	战神腰坠宝箱	战神之寒玉佩（金）	0	1	2	11	711	10	1
3	2	战神腰坠宝箱	战神之寒玉佩（木）	0	2	2	11	713	10	1
3	3	战神腰坠宝箱	战神之寒玉佩（水）	0	3	2	11	715	10	1
3	4	战神腰坠宝箱	战神之寒玉佩（火）	0	4	2	11	717	10	1
3	5	战神腰坠宝箱	战神之寒玉佩（土）	0	5	2	11	719	10	1
3	6	战神腰坠宝箱	战神之明月香囊（金）	1	1	2	11	712	10	1
3	7	战神腰坠宝箱	战神之明月香囊（木）	1	2	2	11	714	10	1
3	8	战神腰坠宝箱	战神之明月香囊（水）	1	3	2	11	716	10	1
3	9	战神腰坠宝箱	战神之明月香囊（火）	1	4	2	11	718	10	1
3	10	战神腰坠宝箱	战神之明月香囊（土）	1	5	2	11	720	10	1
4	1	武神腰坠宝箱	战神之腾云佩（金）	0	1	2	11	721	10	1
4	2	武神腰坠宝箱	战神之腾云佩（木）	0	2	2	11	723	10	1
4	3	武神腰坠宝箱	战神之腾云佩（水）	0	3	2	11	725	10	1
4	4	武神腰坠宝箱	战神之腾云佩（火）	0	4	2	11	727	10	1
4	5	武神腰坠宝箱	战神之腾云佩（土）	0	5	2	11	729	10	1
4	6	武神腰坠宝箱	战神之冰晶香囊（金）	1	1	2	11	722	10	1
4	7	武神腰坠宝箱	战神之冰晶香囊（木）	1	2	2	11	724	10	1
4	8	武神腰坠宝箱	战神之冰晶香囊（水）	1	3	2	11	726	10	1
4	9	武神腰坠宝箱	战神之冰晶香囊（火）	1	4	2	11	728	10	1
4	10	武神腰坠宝箱	战神之冰晶香囊（土）	1	5	2	11	730	10	1
