Name	Kind	Genre	DetailType	ParticularType	Level	Icon	View	ObjID	Intro	Help	Series	Price	Stack	ItemValue	MakeCost	BindType	Valuable	ReqLevel	ClassName	ForbidType	CanBeOffer	Shortcut	CDType	SkillID	SkillLevel	CastType	IsBroadcasting
天武令	天武令	19	1	1	1	\image\item\other\medicine\zc_811_s.spr		35	附近本小队玩家生命上限提高3000点、内力上限提高3000点，持续300秒		0	5	1			1			songjinskillitem	songjin	1	1	1	473	30	2	1
行军令	行军令	19	1	2	1	\image\item\other\medicine\zc_811_s.spr		35	附近本小队玩家跑速增加50，持续300秒		0	5	1			1			songjinskillitem	songjin	1	1	1	452	30	2	1
冲锋令	冲锋令	19	1	3	1	\image\item\other\medicine\zc_811_s.spr		35	附近本小队玩家攻速增加50，持续300秒		0	5	1			1			songjinskillitem	songjin	1	1	1	453	30	2	1
无双令	无双令	19	1	4	1	\image\item\other\medicine\zc_811_s.spr		35	附近本小队玩家全抗增加50%，持续300秒		0	5	1			1			songjinskillitem	songjin	1	1	1	472	30	2	1
神机令	神机令	19	1	5	1	\image\item\other\medicine\zc_811_s.spr		35	附近本小队玩家命中率增加500点，持续300秒		0	5	1			1			songjinskillitem	songjin	1	1	1	448	30	2	1
云翼令	云翼令	19	1	6	1	\image\item\other\medicine\zc_811_s.spr		35	附近本小队玩家闪避率增加500点，持续300秒		0	5	1			1			songjinskillitem	songjin	1	1	1	449	30	2	1
战场专用外普丸		19	2	1	1	\image\item\other\medicine\zc_711_s.spr		35	增加外功系普攻伤害50%，持续300秒		0	5	100			1			songjinskillitem	songjin	1	1	1	429	30	2	1
战场专用外毒丸		19	2	2	1	\image\item\other\medicine\zc_711_s.spr		35	增加外功系毒伤害50点，持续300秒		0	5	100			1			songjinskillitem	songjin	1	1	1	420	30	2	1
战场专用外冰丸		19	2	3	1	\image\item\other\medicine\zc_711_s.spr		35	增加外功系冰伤害100点，持续300秒		0	5	100			1			songjinskillitem	songjin	1	1	1	421	30	2	1
战场专用外火丸		19	2	4	1	\image\item\other\medicine\zc_711_s.spr		35	增加外功系火伤害100点，持续300秒		0	5	100			1			songjinskillitem	songjin	1	1	1	422	30	2	1
