PresentType	PreName	Desc	PresentId	Name	PlayerLevel	ItemSex	BindMoney	Money	Coin	Count	Genre	DetailType	ParticularType	Level	Series	EnhTimes	Exp	MKP	GTP	Bind	TimeLimit	Announce	FriendMsg
大礼包类型	礼包名称	礼包描述	顺序	获取的东西	玩家允许领物品的等级	物品指定的玩家性别	绑定银两	银两	绑定金币	物品数量	大类	子类	详细类	等级	五行	强化	经验	精力	活力	绑定	有效期（格式同ItemTimeOut格式）	世界公告	好友公告
2	欢庆合作大礼包	庆祝金山公司与联想公司合作的大礼包。打开礼包可以获得<color=yellow>无限传送符、乾坤符、大白驹丸、12格包、绑定金币、绑定银两、各类玄晶以及各种优惠券<color>等大礼。	1	无限传送符（1周）	0	2				1	18	1	195	1	0	0				1	10080		
2			2	乾坤符	0	2				1	18	1	85	1	0	0				1			
2			3	大白驹丸（10个）	0	2				10	18	1	71	2	0	0				1			
2			4	3折购买10个大白驹丸优惠券（5个）	0	2				5	18	1	392	1	0	0				1			
2			5	4级玄晶（10个）	0	2				10	18	1	1	4	0	0				1			
2			6	12格包（绑定）	0	2				1	21	5	1	1	0	0				1			
2			7	200000绑定银两	0	2	200000																
2			8	3000绑定金币	0	2			3000														
2			9	黄金福袋（20个）	0	2				20	18	1	80	1	0	0				1			
2			10	7级玄晶（2个）	0	2				2	18	1	1	7	0	0				1			
2			11	3折购买1个7级玄晶优惠券（5个）	0	2				5	18	1	394	1	0	0				1			
3	百事合作大礼包	庆祝金山公司与百事公司美年达合作的大礼包。打开礼包可以获得<color=yellow>无限传送符、乾坤符、大白驹丸、绑定金币、玄晶、优惠券以及神秘面具<color>等大礼。	1	神秘面具（1级）	1	1				1	1	13	17	1	0	0				1	129600		
3			1	神秘面具（1级）	1	0				1	1	13	16	1	0	0				1	129600		
3			2	乾坤符（10级）	10	2				1	18	1	85	1	0	0				1			
3			3	大白驹丸（5个）（20级）	20	2				5	18	1	71	2	0	0				1			
3			4	无限传送符（1周）（20级）	20	2				1	18	1	195	1	0	0				1	10080		
3			5	黄金福袋（20个）（30级）	30	2				20	18	1	80	1	0	0				1			
3			6	1000绑定金币（40级）	40	2			1000														
3			7	3折购买10个大白驹丸优惠券（2个）（40级）	40	2				2	18	1	392	1	0	0				1			
3			8	4级玄晶（10个）（50级）	50	2				10	18	1	1	4	0	0				1			
4	戴尔神秘礼包	庆祝金山公司与戴尔公司合作的大礼包。打开礼包可以获得<color=yellow>无限传送符、乾坤符、大白驹丸、12格包、绑定金币、绑定银两、各类玄晶以及各种优惠券<color>等大礼。	1	无限传送符（1周）	0	2				1	18	1	195	1	0	0				1	10080		
4			2	乾坤符	0	2				1	18	1	85	1	0	0				1			
4			3	大白驹丸（10个）	0	2				10	18	1	71	2	0	0				1			
4			4	3折购买10个大白驹丸优惠券（5个）	0	2				5	18	1	392	1	0	0				1			
4			5	4级玄晶（10个）	0	2				10	18	1	1	4	0	0				1			
4			6	12格包（绑定）	0	2				1	21	5	1	1	0	0				1			
4			7	200000绑定银两	0	2	200000																
4			8	3000绑定金币	0	2			3000														
4			9	黄金福袋（20个）	0	2				20	18	1	80	1	0	0				1			
4			10	7级玄晶（2个）	0	2				2	18	1	1	7	0	0				1			
4			11	3折购买1个7级玄晶优惠券（5个）	0	2				5	18	1	394	1	0	0				1			
2000	剑侠世界大礼包	《剑侠世界》欢迎您！剑侠世界大礼包内容丰富，打开获取武林世家腰牌，绑定金币，绑定银两，九转续命丸，6级玄晶，大白驹丸，修炼丹等大礼，丰富您的剑侠游历！	1	新手礼包	0	2				1	18	1	351	1	0	0				1			
2000			2	武林世家腰牌	0	2				1	18	1	480	1	0	0				1			
2000			3	3000绑定金币 （20级）	20	2			3000														
2000			4	50000绑定银两（20级）	20	2	50000																
2000			5	大白驹丸（5个）（20级）	20	2				5	18	1	71	2	0	0				1			
2000			6	修炼丹（8罐）（20级）	20	2				8	18	1	258	1	0	0				1			
2000			7	九转续命丸（3颗）（60级）	60	2				3	18	1	24	1	0	0				1			
2000			8	6级玄晶（2个）（60级）	60	2				2	18	1	114	6	0	0				1			
