Name	Kind	Genre	DetailType	ParticularType	Level	Icon	View	ObjID	Intro	Help	Series	Price	Stack	MakeCost	ItemValue	BindType	Valuable	ReqLevel	ClassName	ForbidType	CanBeOffer	Shortcut	CDType	MagicName1	Value1	Time1	MagicName2	Value2	Time2	MagicName3	Value3	Time3	ExtParam1	ExtParam2	ExtParam3	ExtParam4
Kim Sáng Dược (tiểu)	Kim Sáng Dược (tiểu)	17	1	1	1	\image\item\other\medicine\medicine_111_s.spr		36	Thuốc thường, hồi phục ít sinh lực. <color=green>Dùng cho PK.<color>		0	1	200						localmedicine		1	1	1	lifepotion_v	100	90										
Kim Sáng Dược (trung)	Kim Sáng Dược (trung)	17	1	1	2	\image\item\other\medicine\medicine_112_s.spr		36	Thuốc thường, hồi phục ít sinh lực. <color=green>Dùng cho PK.<color>		0	20	200					20	localmedicine		1	1	1	lifepotion_v	200	90										
Kim Sáng Dược (đại)	Kim Sáng Dược (đại)	17	1	1	3	\image\item\other\medicine\medicine_113_s.spr		36	Thuốc thường, hồi phục nhiều sinh lực. <color=green>Dùng cho PK.<color>		0	60	200					40	localmedicine		1	1	1	lifepotion_v	300	90										
Hồi Thiên Đơn	Hồi Thiên Đơn	17	1	1	4	\image\item\other\medicine\medicine_114_s.spr		36	Thuốc cường hiệu, hồi phục nhiều sinh lực. <color=green>Dùng cho PK.<color>		0	120	200					70	localmedicine		1	1	1	lifepotion_v	400	90										
Cửu Chuyển Hoàn Hồn Đơn	Cửu Chuyển Hoàn Hồn Đơn	17	1	1	5	\image\item\other\medicine\medicine_115_s.spr		36	Thần dược, hồi phục nhiều sinh lực. <color=green>Dùng cho PK.<color>		0	200	200					90	localmedicine		1	1	1	lifepotion_v	500	90										
Linh Chi Tục Mệnh Hoàn	Linh Chi Tục Mệnh Hoàn	17	1	1	6	\image\item\other\medicine\medicine_116_s.spr		36	Thần dược, có thể khởi tử hồi sinh. <color=green>Dùng cho PK.<color>		0	480	200					100	localmedicine		1	1	1	lifepotion_v	650	90										
Bánh ngô	Bánh ngô	17	1	2	1	\image\item\other\medicine\food_111_s.spr		32	Làm bằng bột bắp, màu vàng, giống tổ ong.		0	1	1						medicine		1	1	3	lifegrow_v	15	3240	managrow_v	15	3240							
Cơm nắm	Cơm nắm	17	1	2	2	\image\item\other\medicine\food_112_s.spr		32	Cơm trắng nấu chín, nhúng nước muối vo thành nắm, có thể ăn ngay.		0	1	1					20	medicine		1	1	3	lifegrow_v	30	3240	managrow_v	30	3240							
Bánh màn thầu	Bánh màn thầu	17	1	2	3	\image\item\other\medicine\food_113_s.spr		32	Bột trắng mịn, hấp nóng, nhìn thấy đã thèm.		0	1	1					40	medicine		1	1	3	lifegrow_v	45	3240	managrow_v	45	3240							
Bánh bột mì	Bánh bột mì	17	1	2	4	\image\item\other\medicine\food_114_s.spr		32	Cho gia vị vào bột, làm vỏ, cuộn lại, đem hấp, thơm ngon, ăn không chán.		0	1	1					70	medicine		1	1	3	lifegrow_v	60	3240	managrow_v	60	3240							
