Index	TRAPX	TRAPY
1	52640	100192
1	52512	100064
1	52640	100608
1	52512	100416
1	52928	100224
1	52800	100000
1	52992	100640
1	52800	100800
1	53152	100448
1	53152	100800
2	51104	101984
2	51104	101664
2	50976	101792
2	50944	101504
2	51360	101632
2	51392	101984
2	51232	102144
2	51520	101792
2	51200	101472
2	51552	102176
3	50592	98976
3	50592	98720
3	50528	98560
3	50496	98816
3	50848	98656
3	50880	98976
3	50720	98528
3	51008	98816
3	50752	99136
3	51008	99104
4	51488	103328
4	51616	103168
4	51392	103168
4	51520	103616
4	51680	103776
4	51392	103488
4	51744	103296
4	51808	103616
4	51904	103456
4	51936	103776
5	52640	125632
5	52608	125344
5	52512	125472
5	52544	125248
5	52864	125344
5	52864	125600
5	52960	125472
5	52768	125728
5	52736	125248
5	52960	125728
6	57248	111552
6	57216	111936
6	57536	111488
6	57376	112128
6	57696	111680
6	57728	112096
6	57376	111712
6	57536	112320
6	57888	111872
6	57888	112256
7	48512	104352
7	48256	104384
7	48352	104832
7	48608	104512
7	48352	104512
7	48224	104672
7	48544	104992
7	48640	104864
7	48768	104672
7	48768	105024
