DomainId	VicinityId1	VicinityId2	VicinityId3	VicinityId4	VicinityId5	VicinityId6	VicinityId7	VicinityId8	VicinityId9	VicinityId10
5	23	24	18							
11	17	28	24	59	14	18	47	15	33	
14	24	16	59	27	15	11				
15	35	14	16	45	28	33	24	59	11	47
16	14	54	53	15						
17	11	35	18							
18	5	17	24	11						
19	22	25	26	23						
22	23	19								
23	22	24	5	19						
24	23	14	26	59	18	5	15	11		
25	19	26	27							
26	19	25	24	27						
27	26	25	61	14						
28	33	11	15	47						
33	34	15	28	35	47	11				
34	35	33								
35	17	15	34	33						
39	42	44	45							
42	39	43	44							
43	42	53	55	48						
44	39	45	42	47						
45	39	44	15	46	47					
46	45	47								
47	28	33	44	46	45	11	15			
48	43	53	55	59	56	58				
53	16	54	55	43	48					
54	16	53	55							
55	54	48	53	43	56					
56	48	57	58	55						
57	59	56	58	62						
58	56	57	48							
59	61	24	14	48	57	62	15	11		
61	59	27	62							
62	61	57	59							
