INDEX	MAP_ID	MAP_X	MAP_Y	EVENT_TYPE
1	29	46848	120768	1
2	29	47040	120576	1
3	29	47264	120352	1
4	29	51648	126112	2001
5	29	51872	126400	2001
6	29	52128	126624	2001
7	29	52448	125248	2001
8	29	52672	125504	2001
9	29	52384	126880	2001
10	29	52896	125760	2001
11	29	53120	126048	2001
12	29	47488	120544	1
13	29	47680	120768	1
14	29	51648	126112	2002
15	29	51872	126400	2002
16	29	52128	126624	2002
17	29	52448	125248	2002
18	29	52672	125504	2002
19	29	52384	126880	2002
20	29	52896	125760	2002
21	29	53120	126048	2002
22	29	51904	125760	2002
23	29	52160	125504	2002
24	29	52896	126368	2002
25	29	52640	126656	2002
26	29	47488	121024	1
27	29	47264	121216	1
28	29	47040	120992	1
