Name	Genre	DetailType	ParticularType	Level	Bind	SellBindMoney
ÏÉÁéÔ­Ä¾	22	1	35	1		2000
ÁéÊÞÃ«Æ¤	22	1	37	1		2000
ÁéÊÞÑª	22	1	39	1		2000
×Ï¾§Ô­Ê¯	22	1	41	1		2000
ÏÉÁé¹û	22	1	43	1		2000
ÉÌ»áÁîÅÆ£¨åÐÒ£¹È2¼¶ÁîÅÆ£©	18	1	289	10		1000
ÉÌ»áÁîÅÆ£¨åÐÒ£¹È3¼¶ÁîÅÆ£©	18	1	289	9		2000
ÉÌ»áÁîÅÆ£¨åÐÒ£¹È4¼¶ÁîÅÆ£©	18	1	289	8		3000
ÉÌ»áÁîÅÆ£¨åÐÒ£¹È5¼¶ÁîÅÆ£©	18	1	289	7		5000
¡¾»÷É±¿¨¡¿ÀÇÍõ	18	1	313	1		2000
¡¾»÷É±¿¨¡¿ÐÜÍõ	18	1	313	2		1500
¡¾»÷É±¿¨¡¿»¢Íõ	18	1	313	3		1500
¡¾»÷É±¿¨¡¿¾Þöù	18	1	313	4		2000
¡¾»÷É±¿¨¡¿ºïÍõ	18	1	313	5		3500
¡¾»÷É±¿¨¡¿ÂíÍõ	18	1	313	6		1500
¡¾»÷É±¿¨¡¿ÒìÊÞ	18	1	313	7		2000
¡¾»÷É±¿¨¡¿É·´óÄ¿	18	1	313	8		3000
¡¾»÷É±¿¨¡¿ÓÄÚ¤¹íÍõ	18	1	313	9		2500
¡¾»÷É±¿¨¡¿Îº¾üÍ³Áì	18	1	313	10		4000
¡¾»÷É±¿¨¡¿Îâ¾üÍ³Áì	18	1	313	11		4000
¡¾»÷É±¿¨¡¿¼à¾ü	18	1	313	12		4000
¡¾»÷É±¿¨¡¿×ÏÔ·	18	1	313	13		3500
¡¾»÷É±¿¨¡¿ÇØÖÙ	18	1	313	14		3500
¡¾»÷É±¿¨¡¿ÈÎíµ	18	1	313	15		4000
¡¾»÷É±¿¨¡¿Ïô²»Êµ	18	1	313	16		4500
¡¾»÷É±¿¨¡¿Ä¾³¬	18	1	313	17		3000
¡¾»÷É±¿¨¡¿ÏÄÐ¡Ù»	18	1	313	18		3500
¡¾»÷É±¿¨¡¿ºúÀ¤	18	1	313	19		4500
¡¾»÷É±¿¨¡¿Ä«¾ý	18	1	313	20		5000
¡¾»÷É±¿¨¡¿ÌÆÓð	18	1	313	21		5000
¡¾»÷É±¿¨¡¿ºúÇ¬	18	1	313	22		3500
¡¾»÷É±¿¨¡¿Ò¶¾²	18	1	313	23		5000
¡¾±¦Îï¿¨¡¿ÑªÓ°Ç¹	18	1	313	24		4500
¡¾±¦Îï¿¨¡¿ÁéÊÞÕ½Ñ¥	18	1	313	25		4500
¡¾±¦Îï¿¨¡¿¶Ý¼×Áé·û	18	1	313	26		4500
¡¾±¦Îï¿¨¡¿×Ï¾§»ÃÅå	18	1	313	27		4500
