TRAPX	TRAPY	Direct	Range
53696	101568	2	2
53568	101440	2	2
53952	101280	2	2
54048	101088	2	2
53824	101152	2	2
54208	102112	2	2
53824	101696	2	2
53888	101504	2	2
54560	101088	2	2
54688	101216	2	2
54464	101280	2	2
54624	101408	2	2
54752	101536	2	2
54400	101472	2	2
54560	101600	2	2
54688	101728	2	2
54336	101696	2	2
54496	101824	2	2
54624	101952	2	2
54752	102080	2	2
54272	101888	2	2
54560	102176	2	2
54432	102016	2	2
54816	101344	2	2
54944	101472	2	2
55072	101600	2	2
54880	101664	2	2
55008	101824	2	2
54816	101888	2	2
54944	102016	2	2
53152	99936	1	2
52960	100000	1	2
53088	100128	1	2
53216	100288	1	2
52896	100224	1	2
53024	100352	1	2
53152	100480	1	2
52832	100416	1	2
52960	100576	1	2
53088	100704	1	2
52896	100768	1	2
53344	99872	1	2
53472	100000	1	2
53600	100128	1	2
53280	100064	1	2
53408	100192	1	2
53536	100320	1	2
53696	100480	1	2
53344	100416	1	2
53504	100544	1	2
53280	100640	1	2
53696	101024	1	2
53472	101088	1	2
53280	101152	1	2
53440	101280	1	2
53632	101216	1	2
53760	100256	1	2
53888	100416	1	2
53888	100960	1	2
53760	101344	1	2
