MapId	ROADX	ROADY
28	47936	105056	
28	47296	105056
28	46592	106016
28	47040	106496
28	45984	107680
28	47296	109088
28	48096	108192
28	48032	107776
28	48800	107008
28	49472	107008
28	50656	108224
28	51648	107104
28	52224	107072
28	53280	105856
28	52832	105184
28	53056	103680
28	52768	103296
28	52416	102912
28	52064	102496
28	51872	102240
28	51552	102624
28	51232	103072
28	50912	103456
28	50560	103776
28	50208	104064
28	49856	104416
28	49536	104736
28	49152	105088
28	48800	105088
28	48448	105088
28	47936	105056
29	52032	126624
29	51744	127136
29	51424	127616
29	51136	127904
29	50880	128224
29	50592	128576
29	50304	128864
29	50112	129184
29	50464	129504
29	50752	129824
29	51008	130144
29	51296	130464
29	51584	130784
29	51904	131136
29	52288	131296
29	52544	130816
29	52800	130528
29	53120	130144
29	53376	129792
29	53760	129792
29	53952	129600
29	54240	129344
29	54496	129056
29	54816	128576
29	55104	128896
29	55456	129344
29	55808	129760
29	56064	129952
29	56384	129632
29	56704	129120
29	56992	128800
29	57152	128320
29	57120	127712
29	57088	127296
29	56736	126976
29	56448	126656
29	56512	126048
29	56512	125568
29	56192	125280
29	55936	125024
29	55712	124736
29	55392	124448
29	55104	124128
29	54624	123712
29	54176	123264
29	53792	122880
29	53376	122560
29	52992	122080
29	52448	121600
29	52128	122048
29	51744	122432
29	51392	122848
29	51104	123136
29	50656	123488
29	50336	123808
29	50784	124032
29	51168	124544
29	51552	125088
29	51968	125568
29	51968	126080
29	52032	126624
25	51648	100864
25	52256	101600
25	52544	101952
25	52832	102400
25	53024	102752
25	53184	103008
25	52896	103264
25	52576	103552
25	52256	103872
25	51968	104160
25	51680	104352
25	51392	104576
25	51072	104288
25	50720	103872
25	50432	103552
25	50080	103232
25	49760	102784
25	49472	102368
25	49216	101920
25	48928	101600
25	48576	101216
25	48288	100896
25	48032	100608
25	47808	100352
25	47520	100032
25	47872	99680
25	48224	99360
25	48544	98912
25	48864	98528
25	49216	98144
25	49568	97792
25	49888	97472
25	50176	97152
25	50336	96928
25	50688	97280
25	51008	97600
25	51328	97920
25	51648	98208
25	51904	98496
25	52128	98816
25	52320	99104
25	52288	99584
25	52288	100032
25	51968	100416
25	51648	100864
