Id	Name	LocalName	ModuleType	ExParam	ParamList	ParamExplainList	ExampleDesc
1	DropNpc	怪物死亡(ID)	default,boss_dropitem	1	npcid	战斗Npc模版ID	参数1:Npc模版ID,查看npc.txt表Id列<enter>例子:DropNpc:1000 (Id为1000的npc死亡时触发)
2	DropNpcType	怪物死亡(类型)	default,boss_dropitem	1	npcclass	战斗Npc类型	参数1:Npc类别,查看npc.txt表ClassName列<enter>(特殊类型：_JINGYING:精英，_SHOULING:首领，_ALLNPC:所有npc)<enter>例子:DropNpcType:merchant (merchant为npc的classname,某类npc死亡时触发)
3	Item	使用物品	default,item_useitem	1	itemclass,time,int,int,message	物品类名,有效期(分钟),进度条使用(秒),成功使用后删除,Tip脚本	参数1:物品类别，查看各item表的ClassName列<enter>参数2:物品有效期，2种格式（格式1:相对时间(分钟)，格式2:绝对时间,清空点击修改选择）<enter>参数3:使用物品启动进度条时间(秒)<enter>参数4:成功使用后是否删除物品(1删除，0不删除)<enter>参数5:GetTip脚本，返还显示字符串，格式return szTip<enter>例子:Item:lingpai,1440,10,1 (物品lingpai触发,使用和生成物品,lingpai为物品classname,1440为物品有效期,10为使用物品启动进度条时间,1为成功使用物品后删除物品)
4	Npc	和npc对话	default,npc_multdialog,npc_getaward	1	npcid,int	对话Npc模版ID,进度条时间	参数1:Npc模版ID,查看npc.txt表Id列<enter>参数2:进度条时间，0表示没有进度条<enter>例子:Npc:2601,5(和礼官对话2601为礼官Id,进度条时间为5秒)
5	NpcType	和npc对话(类型)	default,npc_multdialog,npc_getaward	1	npcclass,int	对话Npc类型,进度条时间	参数1:Npc类型classname,查看npc.txt表classname列<enter>参数2:进度条时间，0表示没有进度条<enter>例子:Npc:liguan,5(和礼官对话liguan为礼官classname,5表示5秒进度条)
6	SetLink	设置链向的事件	default,npc_getaward,item_useitem,action_callnpc,boss_dropitem,action_finishtask	1	eventpartid	链向的事件	参数1:链向的事件,选项名为该事件的名字;
7	TaskFinish	完成目标	action_finishtask	1	finishtasktype,int,luascript	目标类型,需要背包空间,检查脚本	参数1:目标类型<enter>参数2:获得奖励需要背包空间;<enter>注释:EventManager:GetLibTable().tbTaskFinishArg为事件回调参数表
8	TaskTouch	完成目标	action_touchtask	1	touchtasktype	目标类型	参数1:目标类型<enter>注释:EventManager:GetLibTable().tbTaskTouchArg为事件回调参数表
9	TimerEnd	定时触发关闭	default,action_callnpc,boss_dropitem	1	int	触发时间(时分)	参数1:触发时间，格式HHMM,例1230 为12点30分<enter>例子:TimerEnd:1015 10点15分触发事件结束
10	TimerStart	定时触发开启	default,action_callnpc,boss_dropitem	1	int	触发时间(时分)	参数1:触发时间，格式HHMM,例1230 为12点30分(填-1为活动开始时马上触发)<enter>例子:TimerStart:1015 10点15分触发事件开始
11	CheckBindMoneyMax	检查绑定银两是否达上限	default,npc_getaward,item_useitem,action_callnpc,boss_dropitem,action_finishtask	2	int,message,int	可装下绑定银两数量,不满足提示,跳转事件Id	参数1:绑银数量;<enter>参数2:提示信息<enter>参数3:当该项>0时,则不满足条件时直接跳转到指定事件<enter>
12	CheckCamp	检查阵营	default,npc_getaward,item_useitem,action_finishtask	2	camp,message,eventpartid	阵营,不满足条件提示,跳转事件Id	参数1:阵营(0为新手，1为正派，2为中立，3为邪派)<enter>参数2:提示信息<enter>参数3:当该项>0时,则不满足条件时直接跳转到指定事件<enter>例子:CheckCamp:1,"必须是正派"
13	CheckDialogNpcAtNear	检测附近有没有对话npc	default,npc_getaward,item_useitem,action_finishtask	2	string,eventpartid	不满足条件提示,跳转事件Id	参数1:提示信息<enter>参数2:当该项>0时,则不满足条件时直接跳转到指定事件<enter>例子:CheckDialogNpcAtNear:"我的附近有对话npc在"
14	CheckExt	检查每月扩展点	default,npc_getaward,item_useitem,action_finishtask	2	int,int,message,eventpartid	第几位(1-2),检查值(0或1),不等于时提示,跳转事件Id	参数1:第几位，只能用2位，也就是一个月最多使用两次这种功能<enter>参数2:扩展点数值(检查每月累计充值扩展点某位是否等于0或1,不等于返回失败,表明已激活)<enter>参数3:提示信息<enter>参数4:当该项>0时,则不满足条件时直接跳转到指定事件<enter>例子:CheckExt:1,0,"你已经被激活过了" (检查每月累计充值扩展点高四位是否等于某值,不等于返回失败,表明已激活)<enter>(!!!第3位已用于每月领取江湖威望激活)
