Id	Type	Desc
0	Desc	注释：EventManager:GetLibTable().tbTaskFinishArg为事件回调参数表
1	Battle	宋金战场领奖时触发【1－宋金积分；】【2－战场等级，1初级，2中级，3高级】
2	FactionBattle	门派竞技结束领奖时触发【1－积分】【2－名次】【3－箱子数量】
3	GuessGame	猜灯谜领奖时触发【1－积分】
4	LinkTask	包万同义军任务完成一次交任务触发【1－完成次数】
5	KinGame	"家族关卡钱袋换宝箱时触发【1－钱袋金钱的数量,固定传入100】"
6	WantedBoss	官府通缉任务身上有任务杀死Boss时触发
7	FinishWanted	官府通缉任务交任务时触发
8	MerchantTask	完成一轮商会任务
9	ArmyCampTask	完成一次军营剧情任务
10	BaiHuTang	白虎堂通过第几层【1－等级1:初级,2高级,3黄金】【2－层数】
11	BaiHuTangBoss	白虎堂Boss死亡时,杀死boss的玩家和队伍成员触发【1－等级1:初级,2高级,3黄金】【2－层数】
12	XoyoGame	逍遥谷通关,每通过一层调用【1－层数】
13	KinWeekAction	家族周目标领奖【1－领取箱子数】
14	Wlls	武林联赛单场胜利领奖
15	JYAndSLDeath	精英和首领死亡时
16	PickGouhuoTeam	点燃篝火时触发事件
17	DomainbattleTask	领土战领取奖励时触发【1-个人功勋】
