Name	Kind	Category	Genre	DetailType	ParticularType	Level	Icon	View	ObjID	Intro	Help	Series	Price	ItemValue	MakeCost	RefineLevel	BindType	Valuable	ClassName	ResMale	ResFemale	BasicProp1Type	BasicProp1PA1Min	BasicProp1PA1Max	BasicProp1PA2Min	BasicProp1PA2Max	BasicProp1PA3Min	BasicProp1PA3Max	BasicProp2Type	BasicProp2PA1Min	BasicProp2PA1Max	BasicProp2PA2Min	BasicProp2PA2Max	BasicProp2PA3Min	BasicProp2PA3Max	BasicProp3Type	BasicProp3PA1Min	BasicProp3PA1Max	BasicProp3PA2Min	BasicProp3PA2Max	BasicProp3PA3Min	BasicProp3PA3Max	BasicProp4Type	BasicProp4PA1Min	BasicProp4PA1Max	BasicProp4PA2Min	BasicProp4PA2Max	BasicProp4PA3Min	BasicProp4PA3Max	BasicProp5Type	BasicProp5PA1Min	BasicProp5PA1Max	BasicProp5PA2Min	BasicProp5PA2Max	BasicProp5PA3Min	BasicProp5PA3Max	BasicProp6Type	BasicProp6PA1Min	BasicProp6PA1Max	BasicProp6PA2Min	BasicProp6PA2Max	BasicProp6PA3Min	BasicProp6PA3Max	BasicProp7Type	BasicProp7PA1Min	BasicProp7PA1Max	BasicProp7PA2Min	BasicProp7PA2Max	BasicProp7PA3Min	BasicProp7PA3Max	BasicProp8Type	BasicProp8PA1Min	BasicProp8PA1Max	BasicProp8PA2Min	BasicProp8PA2Max	BasicProp8PA3Min	BasicProp8PA3Max	BasicProp9Type	BasicProp9PA1Min	BasicProp9PA1Max	BasicProp9PA2Min	BasicProp9PA2Max	BasicProp9PA3Min	BasicProp9PA3Max	BasicProp10Type	BasicProp10PA1Min	BasicProp10PA1Max	BasicProp10PA2Min	BasicProp10PA2Max	BasicProp10PA3Min	BasicProp10PA3Max	ReqProp1Type	ReqProp1Value	ReqProp2Type	ReqProp2Value	ReqProp3Type	ReqProp3Value	ReqProp4Type	ReqProp4Value	ReqProp5Type	ReqProp5Value	ReqProp6Type	ReqProp6Value	Enh1Times	EnhMA1Name	EnhMA1PA1Min	EnhMA1PA1Max	EnhMA1PA2Min	EnhMA1PA2Max	EnhMA1PA3Min	EnhMA1PA3Max	Enh2Times	EnhMA2Name	EnhMA2PA1Min	EnhMA2PA1Max	EnhMA2PA2Min	EnhMA2PA2Max	EnhMA2PA3Min	EnhMA2PA3Max	Enh3Times	EnhMA3Name	EnhMA3PA1Min	EnhMA3PA1Max	EnhMA3PA2Min	EnhMA3PA2Max	EnhMA3PA3Min	EnhMA3PA3Max	Enh4Times	EnhMA4Name	EnhMA4PA1Min	EnhMA4PA1Max	EnhMA4PA2Min	EnhMA4PA2Max	EnhMA4PA3Min	EnhMA4PA3Max	Enh5Times	EnhMA5Name	EnhMA5PA1Min	EnhMA5PA1Max	EnhMA5PA2Min	EnhMA5PA2Max	EnhMA5PA3Min	EnhMA5PA3Max	Enh6Times	EnhMA6Name	EnhMA6PA1Min	EnhMA6PA1Max	EnhMA6PA2Min	EnhMA6PA2Max	EnhMA6PA3Min	EnhMA6PA3Max	UnLockInterval
[Chân nguyên] Diệp Tịnh	[Chân nguyên] Diệp Tịnh	1	1	24	1	1	\image\item\equip\zhenyuan\zhenyuan_yejing_s.spr	\image\item\equip\zhenyuan\zhenyuan_yejing.spr	32	Chân nguyên đồng hành <color=gold>Diệp Tịnh<color> tu luyện nhiều năm tụ thành. Đặt vào vào vị trí <color=gold>Chân nguyên chính<color>, khi tham gia hoạt động sẽ nhận được kinh nghiệm, sau cấp 120 có thể luyện hóa tăng thuộc tính!		0	1					1	zhenyuan			deadlystrikedamageenhance_p	0	1					damage_all_resist	0	2					fastlifereplenish_v	1	8					allseriesstateresisttime	0	6																																															5	110																																																											
[Chân nguyên] Bảo Ngọc	[Chân nguyên] Bảo Ngọc	1	1	24	2	1	\image\item\equip\zhenyuan\zhenyuan_baoyu_s.spr	\image\item\equip\zhenyuan\zhenyuan_baoyu.spr	32	Chân nguyên đồng hành <color=gold>Bảo Ngọc<color> tu luyện nhiều năm tụ thành. Đặt vào vào vị trí <color=gold>Chân nguyên chính<color>, khi tham gia hoạt động sẽ nhận được kinh nghiệm, sau cấp 120 có thể luyện hóa tăng thuộc tính!		0	1					1	zhenyuan			skilldamageptrim	0	1					fastlifereplenish_v	1	8					defencedeadlystrikedamagetrim	0	1					seriesstate_time_added	0	6																																															5	110																																																											
[Chân nguyên] Hạ Tiểu Sảnh	[Chân nguyên] Hạ Tiểu Sảnh	1	1	24	3	1	\image\item\equip\zhenyuan\zhenyuan_xiaxiaoqian_s.spr	\image\item\equip\zhenyuan\zhenyuan_xiaxiaoqian.spr	32	Chân nguyên đồng hành <color=gold>Hạ Tiểu Sảnh<color> tu luyện nhiều năm tụ thành. Đặt vào vào vị trí <color=gold>Chân nguyên chính<color>, khi tham gia hoạt động sẽ nhận được kinh nghiệm, sau cấp 120 có thể luyện hóa tăng thuộc tính!		0	1					1	zhenyuan			damage_all_resist	0	2					fastlifereplenish_v	1	8					defencedeadlystrikedamagetrim	0	1					lifemax_p	0	1																																															5	110																																																											
[Chân nguyên] Oanh Oanh	[Chân nguyên] Oanh Oanh	1	1	24	4	1	\image\item\equip\zhenyuan\zhenyuan_yingying_s.spr	\image\item\equip\zhenyuan\zhenyuan_yingying.spr	32	Chân nguyên đồng hành <color=gold>Oanh Oanh<color> tu luyện nhiều năm tụ thành. Đặt vào vào vị trí <color=gold>Chân nguyên chính<color>, khi tham gia hoạt động sẽ nhận được kinh nghiệm, sau cấp 120 có thể luyện hóa tăng thuộc tính!		0	1					1	zhenyuan			deadlystrikedamageenhance_p	0	1					ignoredefenseenhance_v	1	13					adddefense_v	1	13					lifemax_p	0	1																																															5	110																																																											
[Chân nguyên] Mộc Siêu	[Chân nguyên] Mộc Siêu	1	1	24	5	1	\image\item\equip\zhenyuan\zhenyuan_muchao_s.spr	\image\item\equip\zhenyuan\zhenyuan_muchao.spr	32	Chân nguyên đồng hành <color=gold>Mộc Siêu<color> tu luyện nhiều năm tụ thành. Đặt vào vào vị trí <color=gold>Chân nguyên chính<color>, khi tham gia hoạt động sẽ nhận được kinh nghiệm, sau cấp 120 có thể luyện hóa tăng thuộc tính!		0	1					1	zhenyuan			skilldamageptrim	0	1					ignoredefenseenhance_v	1	13					seriesstate_time_added	0	6					allseriesstateresisttime	0	6																																															5	110																																																											
[Chân nguyên] Tử Uyển	[Chân nguyên] Tử Uyển	1	1	24	6	1	\image\item\equip\zhenyuan\zhenyuan_ziyuan_s.spr	\image\item\equip\zhenyuan\zhenyuan_ziyuan.spr	32	Chân nguyên đồng hành <color=gold>Tử Uyển<color> tu luyện nhiều năm tụ thành. Đặt vào vào vị trí <color=gold>Chân nguyên chính<color>, khi tham gia hoạt động sẽ nhận được kinh nghiệm, sau cấp 120 có thể luyện hóa tăng thuộc tính!		0	1					1	zhenyuan			deadlystrikedamageenhance_p	0	1					adddefense_v	1	13					lifemax_p	0	1					seriesstate_time_added	0	6																																															5	110																																																											
[Chân nguyên] Tần Trọng	[Chân nguyên] Tần Trọng	1	1	24	7	1	\image\item\equip\zhenyuan\zhenyuan_qinzhong_s.spr	\image\item\equip\zhenyuan\zhenyuan_qinzhong.spr	32	Chân nguyên đồng hành <color=gold>Tần Trọng<color> tu luyện nhiều năm tụ thành. Đặt vào vào vị trí <color=gold>Chân nguyên chính<color>, khi tham gia hoạt động sẽ nhận được kinh nghiệm, sau cấp 120 có thể luyện hóa tăng thuộc tính!		0	1					1	zhenyuan			damage_all_resist	0	2					fastlifereplenish_v	1	8					defencedeadlystrikedamagetrim	0	1					allseriesstateresisttime	0	6																																															5	110																																																											
[Chân nguyên] Hỗn Độn Chân Nguyên	[Chân nguyên] Hỗn Độn Chân Nguyên	1	1	24	8	1	\image\item\equip\zhenyuan\zhenyuan_hundun_s.spr	\image\item\equip\zhenyuan\zhenyuan_hundun.spr	32	Chân nguyên được ngưng tụ từ quái hình người tu vi kém, ánh sáng nhợt nhạt, hỗn độn chưa mở. Hỗn Độn Chân Nguyên không thể trang bị, có thể luyện hóa để tăng thuộc tính!		0	1					1	zhenyuan			allseriesstateresisttime	0	1					lifemax_p	0	1					manamax_p	0	1					fastlifereplenish_v	0	1																																															5	110																																																											
[Chân nguyên] Hỗn Độn Chân Nguyên	[Chân nguyên] Hỗn Độn Chân Nguyên	1	1	24	9	1	\image\item\equip\zhenyuan\zhenyuan_hundun_s.spr	\image\item\equip\zhenyuan\zhenyuan_hundun.spr	32	Chân nguyên được ngưng tụ từ quái hình người tu vi kém, ánh sáng nhợt nhạt, hỗn độn chưa mở. Hỗn Độn Chân Nguyên không thể trang bị, có thể luyện hóa để tăng thuộc tính!		0	1					1	zhenyuan			seriesstate_time_added	0	1					skilldamageptrim	0	1					damage_all_resist	0	1					fastmanareplenish_v	0	1																																															5	110																																																											
[Chân nguyên] Hỗn Độn Chân Nguyên	[Chân nguyên] Hỗn Độn Chân Nguyên	1	1	24	10	1	\image\item\equip\zhenyuan\zhenyuan_hundun_s.spr	\image\item\equip\zhenyuan\zhenyuan_hundun.spr	32	Chân nguyên được ngưng tụ từ quái hình người tu vi kém, ánh sáng nhợt nhạt, hỗn độn chưa mở. Hỗn Độn Chân Nguyên không thể trang bị, có thể luyện hóa để tăng thuộc tính!		0	1					1	zhenyuan			allseriesstateresisttime	0	1					defencedeadlystrikedamagetrim	0	1					deadlystrikedamageenhance_p	0	1					allseriesstateresistrate	0	1																																															5	110																																																											
