Index	Msg
1	幸福从来不会长久,再快乐的单身汉迟早也会结婚,帮主终于还是结婚了,悲剧啊悲剧悲啊悲悲悲~~.
2	重感情又爱念旧的男生，是不是很让女生头疼?
3	我不够漂亮又没有钱，长得一般又爱玩儿游戏,会有男人喜欢我吗？
4	我旁边有一个人，总是重复说话，是什么原因？复读机转世？
5	帮主夫人要是鲜花，以后牛都不敢拉屎了!
6	90后的MM真是让人头疼啊！
7	思想可以胺脏，但生活必须健康。因为只有强壮的体魄才能支撑起一个龌龊的灵魂。
8	今天我和帮主夫人大喜的日子！不易啊！
9	爷不是你的小浣熊，玩不出你的其乐无穷！
10	其实90后大面积脑残的原因是60 70后不节制的行为导致的·
11	话说这个早晨的洗手间，在里面抽烟都生怕把沼气点着了！
12	万恶的新社会啊，为什么你就没有包办婚姻了？
13	小帅哥跪求多金大老板包养！#^_^#
14	给我一个无双，就还你一个身体！
15	背景音乐总是古典歌曲，真是一点深度也没有，让听惯了《香水有毒》 《爱情买卖》这种高雅音乐的我很是不齿
16	冬天来了，神马豪沟白腿都渐渐的消失不见了！哥们的心中瞬间充满了无限的仇恨！真是丧尽天良好个秋啊！
17	 其实我们抽血的时候，扎住手臂的橡皮管子名叫压脉带。
18	《沉默的曾轶可》括约肌永远不是海绵体的对手啊！~~>_<~~ 
19	看着帮里的MM都去祸害别的帮会的男人了，我倍感欣慰！
20	为什么我给帮会的兄弟们搞到潜龙后，一个一个都离我而去，变成了至尊！
21	玩游戏总会上瘾，自制力差，怎么办啊？急急急。。。
22	帮主和帮主夫人同时爱上我了，我该怎么办?我是男的！求帮助！
23	有谁知道肥西县精神病院是什么等级的，有多少张床位？
24	看着兄弟们悲惨的婚后生活，我觉得我好幸福！好幸福啊！*o*
25	你就是我的优乐美，酱我喝完就可以把你扔掉。$_$
26	老公天天玩儿游戏，功课也不交了！求安慰！
27	如果哥伦布家里有个老婆，他还能发现美洲大陆吗？
28	咱们玩一个游戏 楼上的问问题 楼下的回答问题 拜托问题正点一点啊!
