nActiveId	nSubId	szName	szInfo	nMaxCount	nGrade	nWeek	nDownLevel	nUpLevel	nTimerFrame	bOneOff	unable
1	2501	Đăng nhập	Đăng nhập nhận 1 điểm năng động	1	1						
2	2502	Đăng tải lên mini blog	Đăng tải lên mini blog nhận 5 điểm năng động	1	5						1
3	2503	Hoàn thành chúc phúc 1 lần	Hoàn thành 1 lần chúc phúc, nhận 5 điểm năng động	1	5			50			
4	2504	Mở 10 túi phúc	Mở 10 túi phúc, nhận 6 điểm năng động	10	6						
5	2505	Tiêu diệt 5 Tinh anh hoặc Thủ lĩnh	Nhóm tiêu diệt 5 tinh anh hay thủ lĩnh, nhận 10 điểm năng động	5	10						
6	2506	Dùng 1 Trứng Thịnh Hạ	Dùng 1 Trứng Thịnh Hạ được 10 điểm năng động	1	10						
7	2507	Vượt ải Tàng Bảo Đồ 1 lần	Vượt ải Tàng Bảo Đồ 1 lần, nhận 8 điểm năng động	1	8						
8	2508	Hoàn thành nhiệm vụ nghĩa quân 10 lần	Hoàn thành 10 nhiệm vụ nghĩa quân, nhận 8 điểm năng động	10	8						
9	2509	Đối thoại với Bạch Thu Lâm	Đối thoại với Bạch Thu Lâm, nhận 6 điểm năng động	1	6		20			1	1
10	2510	Thăng lên cấp 10	Thăng lên cấp 10. nhận 8 điểm năng động	1	8		10			1	1
11	2511	Vượt ải Thí Luyện Sơn Trang	Vượt ải Thí Luyện Sơn Trang, nhận 8 điểm năng động	1	8		20			1	1
12	2512	Thăng lên cấp 20	Thăng lên cấp 20, nhận 8 điểm năng động	1	8		20			1	1
13	2513	Vượt ải Bích Lạc Cốc	Vượt ải Bích Lạc Cốc, nhận 8 điểm năng động	1	8		30			1	1
14	2514	Hoàn thành thi đấu thú vị 2 lần	Hoàn thành thi đấu thú vị 2 lần, nhận 8 điểm năng động	2	8						
15	2515	Hoàn thành 2 lần Thi đấu Gia Tộc	Hoàn thành 1 lần Thi đấu Gia Tộc, nhận 8 điểm năng động	2	8						1
16	2516	Hoàn thành đoán hoa đăng 1 lần	Hoàn thành 1 lần Đoán hoa đăng, nhận 8 điểm năng động	1	8						
17	2517	Hoàn thành nhiệm vụ Câu cá 1 lần	Hoàn thành 1 lần nhiệm vụ Câu Cá, nhận 8 điểm năng động	1	8	6,7		30			
18	2518	Mở Tu luyện bí cảnh 1 lần	Tu luyện bí cảnh 1 lần được 12 điểm năng động	1	12			50			
19	2519	Vượt ải Tiêu Dao Cốc 1 lần	Vượt 1 lần Tiêu Dao Cốc, nhận 6 điểm năng động	1	6			30			
20	2520	Thu thập 1 Thẻ Tiêu Dao Lục	Thu thập 1 tấm thẻ bài Tiêu Dao Lục nhận 6 điểm năng động	1	6			100			
21	2521	Vượt ải gia tộc 1 lần	Vượt ải gia tộc 1 lần được 8 điểm năng động	1	8			50			
22	2522	Hoàn thành nhiệm vụ truy nã 6 lần	Hoàn thành nhiệm vụ truy nã 6 lần, nhận 10 điểm năng động	6	10			50			
23	2523	Tham gia thi đấu môn phái 1 lần	Tham gia 1 lần Thi đấu môn phái, nhận 5 điểm năng động	1	5	2,4		50			
24	2524	Nhóm tiêu diệt 1 boss thế giới	Tổ đội diệt 1 Boss thế giới cấp 55, 75, 95 đều được 7 điểm năng động	1	7			55			
25	2525	Tham gia Lãnh thổ tranh đoạt chiến	Tham gia lãnh thổ tranh đoạt chiến, nhận 5 điểm năng động	1	5	5,7		80			
26	2526	Hoàn thành nhiệm vụ quân doanh 1 lần	Hoàn thành 1 lần phó bản quân doanh hoặc nhiệm vụ ngày được 7 điểm năng động	1	7			80			
27	2527	Dùng 20 Du Long Chiến Thư	Vào Mật Thất Du Long, dùng Du Long Chiến Thư khiêu chiến Thiên Thiên 20 lần được 15 điểm năng động	20	15			100			
28	2528	Tăng độ thân mật đồng hành	Tăng độ thân mật đồng hành lớn hơn 1 điểm, nhận 10 điểm năng động	1	10			100			
