nMapId	TRAPX	TRAPY
23	1558	3098
23	1577	3080
23	1569	3087
23	1575	3115
23	1587	3090
23	1595	3098
23	1586	3105
24	1752	3528
24	1763	3506
24	1780	3495
24	1776	3550
24	1795	3507
24	1805	3529
24	1793	3540
25	1630	3129
25	1617	3159
25	1620	3140
25	1646	3127
25	1636	3177
25	1660	3163
25	1658	3138
25	1650	3175
25	1667	3152
26	1572	3195
26	1584	3182
26	1593	3172
26	1591	3213
26	1613	3193
26	1603	3182
26	1603	3203
27	1605	3223
27	1613	3211
27	1629	3202
27	1620	3204
27	1621	3238
27	1642	3225
27	1637	3210
27	1632	3234
28	1484	3279
28	1500	3295
28	1492	3287
28	1492	3271
28	1508	3287
28	1572	3195
28	1584	3182
28	1593	3172
28	1591	3213
28	1613	3193
28	1603	3182
28	1603	3203
29	1610	3940
29	1626	3921
29	1639	3911
29	1636	3968
29	1661	3933
29	1651	3922
29	1648	3959
29	1658	3949
