Name	ZhenId	NearSkillId	MapSkillId	LevelRequire	Series1	Faction1	Sex1	Series2	Faction2	Sex2	Series3	Faction3	Sex3	Series4	Faction4	Sex4	Series5	Faction5	Sex5	Series6	Faction6	Sex6
Ngũ Hành Trận	1	381		1	1	-1	-1	2	-1	-1	3	-1	-1	4	-1	-1	5	-1	-1			
Bát Quái Trận - Li	2	383	382	69	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Bát Quái Trận - Đoài	3	1344	382	69	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Bát Quái Trận - Cấn	4	1345	382	69	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Bát Quái Trận - Khảm	5	1346	382	69	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Bát Quái Trận - Tốn	6	1347	382	69	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Bát Quái Trận - Càn	7	1348	1349	69	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Thanh Long Trận	8	1350	1351	69	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Huyền Vũ Trận	9	1352	1353	69	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Bạch Hổ Trận	10	1354	1355	69	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Chu Tước Trận	11	1356	1357	69	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Trận pháp_Nguyệt Mê Tân Độ Trận	12	1810	1811	100	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Trận pháp_Vụ Thất Lâu Đài Trận	13	1812	1813	100	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Trận pháp_Tham Lang Trận-Dương	14	1814	1815	100	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Trận pháp_Tham Lang Trận-Âm	15	1816	1817	100	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Trận pháp_Bát Quái Trận-Chấn	16	1818	1819	100	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Trận pháp_Bát Quái Trận-Khôn	17	1820	1821	100	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Trận pháp_Phá Quân Trận	18	1822	1823	100	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Trận pháp_Thất Sát Trận	19	1824	1825	100	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
