GroupId	AnswerId	Question	Choice_1	Choice_2	Choice_3	Choice_4
1	1	1930年第一届世界杯举办国家是哪个？	乌拉圭	巴拉圭	巴西	匈牙利
1	3	1934年第二届世界杯举办国家是哪个？	法国	巴西	意大利	瑞典
1	3	1938年第三届世界杯举办国家是哪个？	德国	英国	法国	意大利
1	2	1950年第四届世界杯举办国家是哪个？	乌拉圭	巴西	西班牙	葡萄牙
1	2	1954年第五届世界杯举办国家是哪个？	瑞典	瑞士	丹麦	挪威
1	3	1958年第六届世界杯举办国家是哪个？	荷兰	爱尔兰	瑞典	法国
1	4	1962年第七届世界杯举办国家是哪个？	巴西	阿根廷	委内瑞拉	智利
1	1	1966年第八届世界杯举办国家是哪个？	英国	德国	罗马尼亚	比利时
1	3	1970年第九届世界杯举办国家是哪个？	巴西	意大利	墨西哥	荷兰
1	4	1974年第十届世界杯举办国家是哪个？	法国	意大利	丹麦	德国
1	2	1978年第十一届世界杯举办国家是哪个？	巴西	阿根廷	乌拉圭	西班牙
1	1	1982年第十二届世界杯举办国家是哪个？	西班牙	葡萄牙	巴西	阿根廷
1	3	1986年第十三届世界杯举办国家是哪个？	西班牙	法国	墨西哥	英国
1	1	1990年第十四届世界杯举办国家是哪个？	意大利	美国	加拿大	巴西
1	2	1994年第十五届世界杯举办国家是哪个？	阿根廷	美国	法国	英国
1	4	1998年第十六届世界杯举办国家是哪个？	瑞典	意大利	日本韩国	法国
1	3	2002年第十七届世界杯举办国家是哪个？	巴西	法国	日本韩国	德国
1	2	2006年第十八届世界杯举办国家是哪个？	巴西	德国	南非	日本韩国
1	4	2010年第十九届世界杯举办国家是哪个？	意大利	德国	法国	南非
1	1	1930年第一届世界杯冠军球队是？	乌拉圭	巴拉圭	巴西	匈牙利
1	3	1934年第二届世界杯冠军球队是？	法国	巴西	意大利	瑞典
1	4	1938年第三届世界杯冠军球队是？	德国	英国	法国	意大利
1	1	1950年第四届世界杯冠军球队是？	乌拉圭	巴西	意大利	葡萄牙
1	4	1954年第五届世界杯冠军球队是？	瑞典	瑞士	丹麦	德国
1	2	1958年第六届世界杯冠军球队是？	荷兰	巴西	瑞典	法国
1	1	1962年第七届世界杯冠军球队是？	巴西	阿根廷	委内瑞拉	智利
1	1	1966年第八届世界杯冠军球队是？	英格兰	德国	罗马尼亚	比利时
1	1	1970年第九届世界杯冠军球队是？	巴西	意大利	墨西哥	荷兰
1	4	1974年第十届世界杯冠军球队是？	法国	意大利	丹麦	德国
1	2	1978年第十一届世界杯冠军球队是？	巴西	阿根廷	乌拉圭	西班牙
1	2	1982年第十二届世界杯冠军球队是？	西班牙	意大利	巴西	阿根廷
1	3	1986年第十三届世界杯冠军球队是？	西班牙	法国	阿根廷	英国
1	1	1990年第十四届世界杯冠军球队是？	德国	美国	加拿大	巴西
1	4	1994年第十五届世界杯冠军球队是？	阿根廷	美国	法国	巴西
1	4	1998年第十六届世界杯冠军球队是？	瑞典	意大利	日本韩国	法国
1	1	2002年第十七届世界杯冠军球队是？	巴西	法国	日本韩国	德国
1	4	2006年第十八届世界杯冠军球队是？	巴西	德国	南非	意大利
1	2	世界杯历史上年龄最大的世界冠军？	迪诺.巴乔	迪诺.佐夫	罗杰.米拉	贝利
1	3	世界杯历史上年龄最小的世界冠军?	罗比尼奥	马拉多纳	贝利	梅西
1	3	世界杯进球最多球员？	穆勒	方丹	罗纳尔多	贝利
1	2	世界杯最多丢球门将？	江津	代亚耶亚	川口能活	舒梅切尔
1	1	单场比赛进球最多者？	萨连科	克劳泽	贝利	马拉多纳
1	3	被犯规次数最多选手？	贝利	齐达内	马拉多纳	C罗
1	4	1994年美国世界杯的吉祥物是？	猫咪	大叔	熊猫	小狗
1	3	1994年美国世界杯下列哪个队伍没有参加？	罗马尼亚	保加利亚	法国	韩国
