ClassId	TypeId	EventType	EventId	PartId	TypePartId	MonthPay	Desc	Name	AwardType	Award	Tip	ImgItem
充值档id	类型id（1基本奖励，2多选一奖励，3购买资格，4绑金返还）	不同活动id（由于服务端与客户端保持一致所以特加这个id保证物品表结构一致）	活动系统id	活动系统子id	细类id	月充值	描述	开出物品	奖励类型	奖励（物品：g,d,p,l,数量,是否绑定；效果：id,等级，持续时间，时间类型；绑金返还：任务变量，返还下限，上限，返还比率；）	奖励Tip	
1	1	1	100	1	1	50	50元充值优惠基本奖励	幸运奖券【绑金】	AddItem	18,1,397,1,1,1	1张幸运奖券【绑金】，每张奖券可获得4000绑金和一次充值抽奖机会	
1	1	1	100	1	2	50	50元充值优惠基本奖励	幸运奖券【绑银】	AddItem	18,1,637,2,2,1	2张幸运奖券【绑银】，每张奖券可获得50万绑银和一次充值抽奖机会	
1	1	1	100	1	3	50	50元充值优惠基本奖励	战书·游龙密室	AddItem	18,1,524,1,10,1	10个战书·游龙密室，使用后可挑战游龙阁，赢取极品道具。	
1	1	1	100	1	4	50	50元充值优惠基本奖励	特别的精魄	AddItem	18,1,544,6,5,1	5个特别的精魄，同伴道具，使用后增加同伴亲密度。	
1	1	1	100	1	5	50	50元充值优惠基本奖励	【家族】战鼓	AddItem	18,1,736,1,1,1	1个【家族】战鼓，使用后将获得一个持续3小时的buff，在buff期间参加家族关卡，将有一定几率获得额外的古钱币或古金币。	
1	1	1	100	1	6	50	50元充值优惠基本奖励	穿珠银帖（2级）	AddItem	18,1,541,6,3,1	3个穿珠银帖，同伴道具，以一定几率将逍遥谷的将人形怪说服为同伴	
1	1	1	100	1	7	50	50元充值优惠基本奖励	游龙阁开心蛋	AddItem	18,1,525,1,2,1	2个游龙阁开心蛋，使用后选择获得2000绑金或12万绑银（二选一）	
1	1	1	100	1	8	50	50元充值优惠基本奖励	五行魂石	AddItem	18,1,205,1,750,1	750个五行魂石，累积一定数量可在钱庄老板处兑换装备，或用于五行印的升级、官印/城主坐骑等的兑换。	
1	1	1	100	1	9	50	50元充值优惠基本奖励	修炼丹	AddItem	18,1,258,1,2,1	2个修炼丹，使用后增加2小时4倍修炼时间。	
1	1	1	100	1	10	50	50元充值优惠基本奖励	强化优惠符	AddItem	18,1,1701,1,1,1,10080	1个强化优惠符，领取后在装备强化时节省20%的银两消耗	
1	1	1	100	1	11	50	50元充值优惠基本奖励	寒武魂珠	AddItem	18,1,510,1,2,1	2个寒武魂珠，可以参加寒武遗迹。	
2	1	1	100	2	1	188	188元充值	幸运奖券【绑金】	AddItem	18,1,397,1,1,1	1张幸运奖券【绑金】，每张奖券可获得4000绑金和一次充值抽奖机会	
2	1	1	100	2	2	188	188元充值	幸运奖券【绑银】	AddItem	18,1,637,2,2,1	2张幸运奖券【绑银】，每张奖券可获得50万绑银和一次充值抽奖机会	
2	1	1	100	2	3	188	188元充值	战书·游龙密室	AddItem	18,1,524,1,20,1	20个战书·游龙密室，使用后可挑战游龙阁，赢取极品道具。	
2	1	1	100	2	4	188	188元充值	优惠券宝箱	AddItem	18,1,1700,1,3,1,43200	3个优惠券宝箱，可开出9玄优惠券或者精活优惠券。	
2	1	1	100	2	5	188	188元充值	五行魂石	AddItem	18,1,205,1,750,1	750个五行魂石，累积一定数量可在钱庄老板处兑换装备，或用于五行印的升级、官印/城主坐骑等的兑换。	
2	1	1	100	2	6	188	188元充值	特别的精魄	AddItem	18,1,544,6,5,1	5个特别的精魄，同伴道具，使用后增加同伴亲密度。	
2	1	1	100	2	7	188	188元充值	昏暗封印·真元	AddItem	18,1,1025,2,3,1	3个昏暗封印·真元，具有魔力的神秘物品，使用后可召唤出七种真元BOSS中的一种。	
