RoomId	TrapName	TRPOSX	TRPOSY
0	to_chukou	0	0
2	to_xiaoguaijian	1638	3198
3	to_xuanzejian	1685	3144
7	to_tianjian	1836	2785
8	to_dijian	1785	2836
9	to_rijian	1733	2887
10	to_yuejian	1681	2939
11	to_qinglongjian	2029	3005
12	to_baihujian	1980	3054
13	to_zhuquejian	1930	3103
14	to_xuanwujian	1882	3153
15	to_mima1_1	1811	2966
15	to_tiandiriyue	1664	2964
16	to_mima2	1775	2963
17	to_mima3	1743	2965
18	to_mima4	1788	2886
29	to_xiuxijian_4	1809	2926	
19	to_mima5_1	1856	3011
19	to_qinglongbaihu	1860	3172
20	to_mima6	1900	3009
21	to_mima7	1934	3038
22	to_mima8	1867	3096
30	to_xiuxijian_5	1862	3051
23	to_dileizhen	1856	2770
24	to_fuzhijian	1851	2971
25	to_jisujian	2051	2978
26	to_xiuxijian_1	1896	2769
26	to_xiuxijian_2	1926	2886
26	to_xiuxijian_3	2051	2926
27	to_boss	1983	2823
28	to_baoxiangjian	2048	2754
29	to_mima1_2	1815	2919
30	to_mima5_2	1856	3058
