TaskId	TaskName	Level1	Level2	Level3	Level4	Level5	Level6	Level7	Level8	Level9	Level10
任务ID	任务名称	等级1	等级2	等级3	等级4	等级5	等级6	等级7	等级8	等级9	等级10
131	收集一块锡锭（2级矿）	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000
132	收集一张黄麻布（2级布）	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000
133	收集一份桔梗粉（2级药）	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000
134	收集一块枣木板（2级木）	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000
135	收集一块鹿皮（2级皮）	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000
136	收集一块铁锭（3级矿）	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000
137	收集一张藤葛布（3级布）	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000
138	收集一份柴胡粉（3级药）	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000
139	收集一块柏木板（3级木）	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000
13a	收集一块牛皮（3级皮）	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000
