nAchievementId	nGroupId	nSubGroupId	nIndex	nLevel	szGroupName	szSubGroupName	szAchivementName	szDesc	nPoint	bTrack	bProcess	nMaxCount	nCondType	nCondIndex	nExp	nBindMoney	nBindCoin	nTitleId	bIsSubAchievement	bEffective
1	1	1	1	1	江湖	好友	清交素友	去结交1个朋友吧！	5											1
2	1	1	2	2	江湖	好友	重情重义	去结交10个朋友吧！	4											1
3	1	1	3	3	江湖	好友	高朋满座	去结交20个朋友吧！	3											1
4	1	1	4	4	江湖	好友	挚友如云	去结交50个朋友吧！	2											1
5	1	1	5	1	江湖	好友	江湖相逢	和任意好友亲密度到2级。	5											1
6	1	1	6	2	江湖	好友	结伴同行	和任意好友亲密度到3级。	4											1
7	1	1	7	3	江湖	好友	风雨同路	和任意好友亲密度到4级。	3											1
8	1	1	8	4	江湖	好友	肝胆相照	和任意好友亲密度到5级。	2											1
9	1	1	9	5	江湖	好友	莫逆之交	和任意好友亲密度到6级。	1											1
10	1	1	10	5	江湖	好友	生死不离	和任意好友亲密度到7级。	1											1
11	1	1	11	1	江湖	好友	亲密无间	结交1个密友！	5											1
12	1	1	12	3	江湖	好友	如影相随	同时拥有2个密友！	3			2								1
13	1	1	13	4	江湖	好友	情同手足	同时拥有4个密友！	2			4								1
14	1	1	14	2	江湖	好友	雪中送炭	获得密友的返还金币。	4											1
15	1	2	1	1	江湖	师徒	为人师	收1个徒弟。	5											1
16	1	2	2	3	江湖	师徒	好为人师	同时有3个徒弟。	3			3								1
17	1	2	3	1	江湖	师徒	耐心之师	任意徒弟的师徒成就达成一半。	5											0
18	1	2	4	2	江湖	师徒	因材施教	完成1次师徒传功。	4											1
19	1	2	5	3	江湖	师徒	言传身教	完成16次师徒传功。	3		1		6	4						1
20	1	2	6	4	江湖	师徒	亦师亦友	完成32次师徒传功。	2		1		6	5						1
21	1	2	7	5	江湖	师徒	苦心孤诣	完成64次师徒传功。	1		1		6	6						1
22	1	2	8	1	江湖	师徒	为人师表	教导1个徒弟出师。	5											1
23	1	2	9	2	江湖	师徒	德高之师	教导3个徒弟出师。	4											1
24	1	2	10	3	江湖	师徒	广为人师	教导10个徒弟出师。	3											1
25	1	2	11	4	江湖	师徒	桃李满天下	教导20个徒弟出师。	2											1
26	2	1	1	1	帮会家族	家族	初入家族	加入一个家族。	5											1
27	2	1	2	2	帮会家族	家族	和睦大家庭	成为家族正式成员。	4											0
28	2	1	3	2	帮会家族	家族	家族周目标	完成一次家族周目标活动。	4											0
29	2	1	4	3	帮会家族	家族	为了家族	完成一周家族周目标活动。	3											0
30	2	1	5	3	帮会家族	家族	顶梁柱	完成5周家族周目标活动。	3		1		6	10						0
31	2	1	6	3	帮会家族	家族	杰出家族成员	某周家族周目标积分排名第一。	3											0
32	2	1	7	4	帮会家族	家族	想当族长	参加族长竞选。	2											0
33	2	1	8	4	帮会家族	家族	我就是族长	成为家族的族长。	2											1
34	2	2	1	1	帮会家族	家族竞技	打雪仗	参加一次打雪仗。	5											1
35	2	2	2	1	帮会家族	家族竞技	划龙舟	参加一次划龙舟。	5											1
36	2	2	3	1	帮会家族	家族竞技	先祖之魂	参加一次守卫先祖之魂。	5											1
37	2	2	4	4	帮会家族	家族竞技	竞技先锋	累计参加3届家族竞技。	2		1		6	11						0
