nIndex	nCount	nAddCount
1	10	1
2	20	1
3	50	1
4	16	1
5	32	1
6	64	1
7	3	1
8	10	1
9	20	1
10	5	1
11	3	1
12	10	1
13	10	1
14	10	1
15	100	1
16	10	1
17	100	1
18	200	1
19	500	1
20	10	1
21	100	1
22	10	1
23	3	1
24	100	1
25	1000	1
26	10	1
27	100	1
28	10	1
29	10	1
30	100	1
31	100	1
32	100	1
33	10	1
34	100	1
35	10	1
36	100	1
37	10	1
38	100	1
39	100	1
40	100	1
41	20	1
42	50	1
43	100	1
44	200	1
45	5	1
46	1000	1
47	6	1
48	10	1
49	100	1
50	10	1
51	10	1
52	100	1
53	100	1
54	100	1
55	10	1
56	10	1
57	10	1
58	10	1
59	36	1
60	24	1
61	36	1
62	48	1
63	36	1
64	24	1
65	36	1
66	48	1
67	36	1
68	24	1
69	36	1
70	48	1
71	36	1
72	24	1
73	36	1
74	48	1
75	36	1
76	24	1
77	36	1
78	48	1
79	36	1
80	24	1
81	36	1
82	48	1
83	36	1
84	24	1
85	36	1
86	48	1
87	10	1
88	50	1
89	20	1
90	200	1
91	8	1
92	16	1
93	32	1
94	64	1
95	10	1
96	100	1
97	50	1
98	100	1
99	1000	1
100	1000	1
101	20	1
102	50	1
103	50	1
104	50	1
105	50	1
106	50	1
107	50	1
108	50	1
109	50	1
110	50	1
111	50	1
112	100	1
113	100	1
114	500	1
115	10	1
116	50	1
117	100	1
118	50	1
119	100	1
120	10	1
121	10	1
122	10	1
123	10	1
124	10	1
125	10	1
126	3	1
127	1000	1
128	10	1
129	10	1
130	10	1
131	10	1
132	10	1
133	10	1
