Id	Map	ClassName	MapId	Msg	Option1	Option2	Option3	Option4	Option5	Option6	Option7	Option8	Option9	Option10	Option11	Option12
1	Vân Trung Trấn	bingqipulaoban	1	Hi hi! Có vũ khí của ta trong tay, muốn trở thành đệ nhất võ lâm cao thủ dễ như trở bàn tay. Khách quan hãy mua 1 cái đi, sau đó đến chỗ Tạ Hiền mua chiếc phi phong, chắc chắn sẽ rất oai!	"""Đao"",""Dialog:OpenShop"",3,1"	"""Côn"",""Dialog:OpenShop"",4,1"	"""Thương"",""Dialog:OpenShop"",5,1"	"""Khoáng thạch"",""Dialog:OpenShop"",16,1"	"""Gỗ"",""Dialog:OpenShop"",19,1"	"""Vải"",""Dialog:OpenShop"",17,1"	"""Không mua nữa"""					
2	Long Môn Trấn	bingqipulaoban	2	Hi hi! Có vũ khí của ta trong tay, muốn trở thành đệ nhất võ lâm cao thủ dễ như trở bàn tay. Khách quan hãy mua 1 cái đi, sau đó đến chỗ Tạ Hiền mua chiếc phi phong, chắc chắn sẽ rất oai!	"""Kiếm"",""Dialog:OpenShop"",2,1"	"""Đao"",""Dialog:OpenShop"",3,1"	"""Khoáng thạch"",""Dialog:OpenShop"",16,1"	"""Gỗ"",""Dialog:OpenShop"",19,1"	"""Vải"",""Dialog:OpenShop"",17,1"	"""Không mua nữa"""						
3	Vĩnh Lạc Trấn	bingqipulaoban	3	Hi hi! Có vũ khí của ta trong tay, muốn trở thành đệ nhất võ lâm cao thủ dễ như trở bàn tay. Khách quan hãy mua 1 cái đi, sau đó đến chỗ Tạ Hiền mua chiếc phi phong, chắc chắn sẽ rất oai!	"""Triền thủ"",""Dialog:OpenShop"",1,1"	"""Đao"",""Dialog:OpenShop"",3,1"	"""Côn"",""Dialog:OpenShop"",4,1"	"""Kiếm"",""Dialog:OpenShop"",2,1"	"""Khoáng thạch"",""Dialog:OpenShop"",16,1"	"""Gỗ"",""Dialog:OpenShop"",19,1"	"""Vải"",""Dialog:OpenShop"",17,1"	"""Không mua nữa"""				
4	Đạo Hương Thôn	bingqipulaoban	4	Hi hi! Có vũ khí của ta trong tay, muốn trở thành đệ nhất võ lâm cao thủ dễ như trở bàn tay. Khách quan hãy mua 1 cái đi, sau đó đến chỗ Tạ Hiền mua chiếc phi phong, chắc chắn sẽ rất oai!	"""Triền thủ"",""Dialog:OpenShop"",1,1"	"""Côn"",""Dialog:OpenShop"",4,1"	"""Khoáng thạch"",""Dialog:OpenShop"",16,1"	"""Gỗ"",""Dialog:OpenShop"",19,1"	"""Vải"",""Dialog:OpenShop"",17,1"	"""Không mua nữa"""						
5	Giang Tân Thôn	bingqipulaoban	5	Hi hi! Có vũ khí của ta trong tay, muốn trở thành đệ nhất võ lâm cao thủ dễ như trở bàn tay. Khách quan hãy mua 1 cái đi, sau đó đến chỗ Tạ Hiền mua chiếc phi phong, chắc chắn sẽ rất oai!	"""Triền thủ"",""Dialog:OpenShop"",1,1"	"""Kiếm"",""Dialog:OpenShop"",2,1"	"""Phi đao"",""Dialog:OpenShop"",8,1"	"""Tụ tiễn"",""Dialog:OpenShop"",9,1"	"""Khoáng thạch"",""Dialog:OpenShop"",16,1"	"""Gỗ"",""Dialog:OpenShop"",19,1"	"""Vải"",""Dialog:OpenShop"",17,1"	"""Không mua nữa"""				
6	Thạch Cổ Trấn	bingqipulaoban	6	Hi hi! Có vũ khí của ta trong tay, muốn trở thành đệ nhất võ lâm cao thủ dễ như trở bàn tay. Khách quan hãy mua 1 cái đi, sau đó đến chỗ Tạ Hiền mua chiếc phi phong, chắc chắn sẽ rất oai!	"""Kiếm"",""Dialog:OpenShop"",2,1"	"""Đao"",""Dialog:OpenShop"",3,1"	"""Khoáng thạch"",""Dialog:OpenShop"",16,1"	"""Gỗ"",""Dialog:OpenShop"",19,1"	"""Vải"",""Dialog:OpenShop"",17,1"	"""Không mua nữa"""						
7	Long Tuyền Thôn	bingqipulaoban	7	Hi hi! Có vũ khí của ta trong tay, muốn trở thành đệ nhất võ lâm cao thủ dễ như trở bàn tay. Khách quan hãy mua 1 cái đi, sau đó đến chỗ Tạ Hiền mua chiếc phi phong, chắc chắn sẽ rất oai!	"""Triền thủ"",""Dialog:OpenShop"",1,1"	"""Đao"",""Dialog:OpenShop"",3,1"	"""Khoáng thạch"",""Dialog:OpenShop"",16,1"	"""Gỗ"",""Dialog:OpenShop"",19,1"	"""Vải"",""Dialog:OpenShop"",17,1"	"""Không mua nữa"""						
8	Ba Lăng Huyện	bingqipulaoban	8	Hi hi! Có vũ khí của ta trong tay, muốn trở thành đệ nhất võ lâm cao thủ dễ như trở bàn tay. Khách quan hãy mua 1 cái đi, sau đó đến chỗ Tạ Hiền mua chiếc phi phong, chắc chắn sẽ rất oai!	"""Đao"",""Dialog:OpenShop"",3,1"	"""Thương"",""Dialog:OpenShop"",5,1"	"""Chùy"",""Dialog:OpenShop"",6,1"	"""Khoáng thạch"",""Dialog:OpenShop"",16,1"	"""Gỗ"",""Dialog:OpenShop"",19,1"	"""Vải"",""Dialog:OpenShop"",17,1"	"""Không mua nữa"""					
9	Thiếu Lâm Phái	bingqipulaoban	9	Hi hi! Có vũ khí của ta trong tay, muốn trở thành đệ nhất võ lâm cao thủ dễ như trở bàn tay. Khách quan hãy mua 1 cái đi, sau đó đến chỗ Tạ Hiền mua chiếc phi phong, chắc chắn sẽ rất oai!	"""Đao"",""Dialog:OpenShop"",3,1"	"""Côn"",""Dialog:OpenShop"",4,1"	"""Khoáng thạch"",""Dialog:OpenShop"",16,1"	"""Gỗ"",""Dialog:OpenShop"",19,1"	"""Vải"",""Dialog:OpenShop"",17,1"	"""Không mua nữa"""						
10	Thiên Nhẫn Giáo	bingqipulaoban	10	Hi hi! Có vũ khí của ta trong tay, muốn trở thành đệ nhất võ lâm cao thủ dễ như trở bàn tay. Khách quan hãy mua 1 cái đi, sau đó đến chỗ Tạ Hiền mua chiếc phi phong, chắc chắn sẽ rất oai!	"""Đao"",""Dialog:OpenShop"",3,1"	"""Thương"",""Dialog:OpenShop"",5,1"	"""Khoáng thạch"",""Dialog:OpenShop"",16,1"	"""Gỗ"",""Dialog:OpenShop"",19,1"	"""Vải"",""Dialog:OpenShop"",17,1"	"""Không mua nữa"""						
