Name	Desc	Id	Title	Kind	Camp	Treasure	Portrait	ClientOnly	CorpseIdx	NpcResType	ArmorType	HelmType	WeaponType	HorseType	RideHorse	StandFrame	StandFrame1	DeathFrame	WalkFrame	RunFrame	AttackFrame	ClassName	AIParam	SkillParam	PropParam	ScriptParam	WalkSpeed	RunSpeed	VisionRadius	ActiveRadius	ReviveFrame	DropRateFile	AIMaxTime	HeadPic	NoBoss	BloodType	LastAttackCalcType	AssignMode
Dương Anh	Dương Anh_[Ngồi tàu]	1		3	5	2				passerby062	0	0	0	0	0	36	36	20	11	10	20	yangying		sk	pp	sc	6	6	400	700	510		18	\image\item\other\sculpt\passerby062.spr	1			
Dương Thiết Tâm	Dương Thiết Tâm_[Ngồi tàu Phi Chiến]	2		3	5	2				enemy006	0	0	0	0	0	36	36	20	11	10	20	yangtiexin		sk	pp	sc	6	6	400	700	510		18	\image\item\other\sculpt\enemy006.spr	1			
Dương Thiết Tâm	Dương Thiết Tâm_[Ngồi tàu 3]	3		3	5	2				enemy006	0	0	0	0	0	36	36	20	11	10	20	yangtiexin		sk	pp	sc	6	6	400	700	510		18	\image\item\other\sculpt\enemy006.spr	1			
Dương Thiết Tâm	Dương Thiết Tâm_[Hành dinh]	4		3	5	2				enemy006	0	0	0	0	0	36	36	20	11	10	20	yangtiexin		sk	pp	sc	6	6	400	700	510		18	\image\item\other\sculpt\enemy006.spr	1			
Quý Thúc Ban	Quý Thúc Ban_[Ngồi tàu]	5		3	5	2				enemy004	0	0	0	0	0	36	36	20	11	10	20	jishuban		sk	pp	sc	6	6	400	700	510		18	\image\item\other\sculpt\enemy004.spr	1			
Quý Thúc Ban	Quý Thúc Ban_[Hành dinh]	6		3	5	2				enemy004	0	0	0	0	0	36	36	20	11	10	20	jishuban		sk	pp	sc	6	6	400	700	510		18	\image\item\other\sculpt\enemy004.spr	1			
Quý Thúc Ban	Quý Thúc Ban_[Thiên Vương]	7		3	5	2				enemy004	0	0	0	0	0	36	36	20	11	10	20	jishuban		sk	pp	sc	6	6	400	700	510		18	\image\item\other\sculpt\enemy004.spr	1			
Thuyền Phu	Thuyền Phu	8	<color=green>Người Hướng Dẫn Chiến Hạm<color>	3	5	2				passerby010	0	0	0	0	0	36	36	20	11	10	20	chuanfu		sk	pp	sc	6	6	400	700	510		18	\image\item\other\sculpt\passerby010.spr	1			
Tần Công Xích	Tần Công Xích	9		0	5	1				enemy116	0	0	0	0	0	24	26	20	10	20	27		passiveflee	fleeskillmelee	intensity2	sc	7	7	400	700	36		18	\image\item\other\sculpt\enemy016.spr	1	3		
Lê Việt	Lê Việt	10		0	5	1				enemy002	0	0	0	0	0	24	26	20	10	20	27		passivenormal	singleskillfist	intensity2	sc	7	7	400	700	36		18	\image\item\other\sculpt\enemy072.spr	1	3		
Lưu Mặc	Lưu Mặc	11		0	5	1				enemy127	0	0	0	0	0	24	26	20	10	20	27		passivenormal	singleskillfist	intensity2	sc	7	7	400	700	36		18	\image\item\other\sculpt\enemy078.spr	1	3		
Bùi Dực Phi	Bùi Dực Phi_[Hành dinh]	12		3	5	2				enemy005	0	0	0	0	0	36	36	20	11	10	20	peiyifei1		sk	pp	sc	6	6	400	700	510		18	\image\item\other\sculpt\enemy001.spr	1			
Cầu Chỉ Thủy	Cầu Chỉ Thủy_[Hành dinh]	13		3	5	2				enemy040	0	0	0	0	0	36	36	20	11	10	20	qiuzhishui		sk	pp	sc	6	6	400	700	510		18	\image\item\other\sculpt\enemy040.spr	1			
Đệ Tử Phân Đà Thành Đô	Đệ Tử Phân Đà Thành Đô	14		3	5	2				passerby016	0	0	0	0	0	36	36	20	11	10	20	chengdufenduodizi		sk	pp	sc	6	6	400	700	510		18	\image\item\other\sculpt\passerby016.spr	1			
Hoa Tử Lý Tuyền	Hoa Tử Lý Tuyền	15		3	5	2				passerby114	0	0	0	0	0	36	36	20	11	10	20	huaziliquan		sk	pp	sc	6	6	400	700	510		18	\image\item\other\sculpt\passerby114.spr	1			
Lãnh Huyết Sát Thủ	Lãnh Huyết Sát Thủ_[Hành dinh]	16	Hồng Lang	0	5	1				enemy120	0	0	0	0	0	24	26	20	10	20	27		activenormal	singleskillrange	intensity3	sc	12	7	600	900	900		18	\image\item\other\sculpt\enemy046.spr	1	2		
Hàn Thác Trụ	Hàn Thác Trụ_[Hành dinh Phi Chiến]	17		3	5	2				enemy157	0	0	0	0	0	36	36	20	11	10	20	hantuozhou		sk	pp	sc	6	6	400	700	510		18	\image\item\other\sculpt\enemy157.spr	1			
Lư Tiếu Bần	Lư Tiếu Bần_[Hành dinh]	18		3	5	2				enemy022	0	0	0	0	0	36	36	20	11	10	20	luxiaopin		sk	pp	sc	6	6	400	700	510		18	\image\item\other\sculpt\enemy022.spr	1			
Bang Chúng Kính Trang	Bang Chúng Kính Trang	19		3	5	2				enemy037	0	0	0	0	0	36	36	20	11	10	20	jinzhuangbangzhong		sk	pp	sc	6	6	400	700	510		18	\image\item\other\sculpt\enemy037.spr	1			
Hàn Thác Trụ	Hàn Thác Trụ_[Hành dinh Chiến]	20		0	0	1				enemy157	0	0	0	0	0	24	26	20	10	20	20		passivenormal	singleskillmidrange	fellow1	sc	7	7	300	700	450		18	\image\item\other\sculpt\enemy157.spr	1			
Hộ Vệ Hàn Thác Trụ	Hộ Vệ Hàn Thác Trụ_[Hành dinh]	21		3	5	2				passerby073	0	0	0	0	0	36	36	20	11	10	20	hantuozhouhuwei		sk	pp	sc	6	6	400	700	510		18	\image\item\other\sculpt\enemy037.spr	1			
Lãnh Nguyệt Sứ	Lãnh Nguyệt Sứ	22		0	5	2				enemy111	0	0	0	0	0	36	36	20	11	10	27		passivenormal	singleskillsword	intensity3	sc	15	7	600	900	90		18	\image\item\other\sculpt\enemy111.spr	1	2		
