MAPID	DESC	MON1	MON2	MON3	MON4	MON5	MON6	MON7	MON8	MON9	MON10	MON11	MON12
5	江津村	0	0	0	0	0	0	0	0	0	0	0	0
3	永乐镇	0	0	0	0	0	0	0	0	0	0	0	0
8	巴陵县	0	0	0	0	0	0	0	0	0	0	0	0
7	龙泉村	0	0	0	0	0	0	0	0	0	0	0	0
4	稻香村	0	0	0	0	0	0	0	0	0	0	0	0
1	云中镇	0	0	0	0	0	0	0	0	0	0	0	0
2	龙门镇	0	0	0	0	0	0	0	0	0	0	0	0
6	石鼓镇	0	0	0	0	0	0	0	0	0	0	0	0
28	大理府	0	0	0	0	0	0	0	0	0	0	0	0
29	临安府	0	0	0	0	0	0	0	0	0	0	0	0
26	扬州府	0	0	0	0	0	0	0	0	0	0	0	0
25	襄阳府	0	0	0	0	0	0	0	0	0	0	0	0
27	成都府	0	0	0	0	0	0	0	0	0	0	0	0
24	凤翔府	0	0	0	0	0	0	0	0	0	0	0	0
23	汴京府	0	0	0	0	0	0	0	0	0	0	0	0
faction	所有门派	0	0	0	0	0	0	0	0	0	0	0	0
fight	任务地图	0	0	0	0	0	0	0	0	0	0	0	0
