MAPID	DESC	MON1	MON2	MON3	MON4	MON5	MON6	MON7	MON8	MON9	MON10	MON11	MON12
5	江津村	200	300	400	400	500	500	500	400	400	300	200	100
3	永乐镇	100	200	300	300	400	400	400	300	300	200	100	0
8	巴陵县	300	400	500	500	600	600	600	500	500	400	300	200
7	龙泉村	400	500	600	600	700	700	700	600	600	500	400	300
4	稻香村	200	300	400	400	500	500	500	400	400	300	200	100
1	云中镇	0	0	100	100	200	200	200	100	100	0	0	0
2	龙门镇	0	0	0	0	100	100	100	0	0	0	0	0
6	石鼓镇	200	300	400	400	500	500	500	400	400	300	200	100
28	大理府	200	300	400	400	500	500	500	400	400	300	200	100
29	临安府	200	300	400	400	500	500	500	400	400	300	200	100
26	扬州府	200	300	400	400	500	500	500	400	400	300	200	100
25	襄阳府	100	200	300	300	400	400	400	300	300	200	100	0
27	成都府	200	300	400	400	500	500	500	400	400	300	200	100
24	凤翔府	0	0	100	100	200	200	200	100	100	0	0	0
23	汴京府	0	100	200	200	300	300	300	200	200	100	0	0
faction	所有门派	10	10	10	10	10	10	10	10	10	10	10	10
fight	任务地图	10	10	10	10	10	10	10	10	10	10	10	10
