FubenId	FubenName	TypeId	TypeName	StaticDesc	DynamicDesc	DetailDesc	Difficult	DifficultDesc
ID phó bản	Tên phó bản	Loại nhiệm vụ ID	Tên nhiệm vụ	Miêu tả trạng thái tĩnh	Miêu tả động thái	Miêu tả chi tiết	Cấp độ khó	Miêu tả độ khó
1	Hậu Sơn Phục Ngưu	1	Quân doanh	Vào Phục Ngưu Sơn đánh bại Bạch Tố Tố	Vào Phục Ngưu Sơn	Trong ngày hôm nay đánh bại Thợ Cả-Phục Ngưu Sơn, đồng thời mở cơ quan Chu Tước, <color=yellow>đánh bại Bạch Tố Tố-Phục Ngưu Sơn.<color>	-1	Không có yêu cầu
2	Bách Man Sơn	1	Quân doanh	Vào Bách Man Sơn đánh bại Âu Dương Mai	Vào Bách Man Sơn	Trong ngày hôm nay đánh bại Cổ Vương-Bách Man Sơn, đồng thời mở cơ quan Chu Tước, <color=yellow>đánh bại Âu Dương Mai-Bách Man Sơn.<color>	-1	Không có yêu cầu
3	Hải Lăng Vương Mộ	1	Quân doanh	Vào Hải Lăng Vương Mộ đánh bại U Minh Thần Thú	Vào Hải Lăng Vương Mộ	Trong ngày hôm nay đánh bại Hoàn Nhan Lượng-Hải Lăng Vương Mộ, đồng thời mở cơ quan Chu Tước, <color=yellow>đánh bại U Minh Thần Thú-Hải Lăng Vương Mộ.<color>	-1	Không có yêu cầu
4	Đại Mạc Cổ Thành	2	Tàng Bảo Đồ	Vượt ải Đại Mạc Cổ Thành	Vượt qua Đại Mạc Cổ Thành	Hãy vượt qua <color=yellow>Tàng Bảo Đồ-Đại Mạc Cổ Thành 2 sao trở lên<color> trong hôm nay.	2	Tàng Bảo Đồ 2 sao trở lên
5	Vạn Hoa Cốc	2	Tàng Bảo Đồ	Vượt ải Vạn Hoa Cốc	Thông qua Vạn Hoa Cốc	Hãy vượt qua <color=yellow>Tàng Bảo Đồ-Vạn Hoa Cốc 2 sao trở lên<color> trong hôm nay.	2	Tàng Bảo Đồ 2 sao trở lên
6	Thiên Quỳnh Cung	2	Tàng Bảo Đồ	Vượt ải Thiên Quỳnh Cung	Vượt qua Thiên Quỳnh Cung	Hãy vượt qua <color=yellow>Tàng Bảo Đồ-Thiên Quỳnh Cung 2 sao trở lên<color> trong hôm nay.	2	Tàng Bảo Đồ 2 sao trở lên
7	Tiêu Dao Cốc 	3	Tiêu Dao Cốc 	Khiêu chiến Tiêu Dao Cốc	Khiêu chiến Tiêu Dao Cốc	Trong ngày hôm nay nhóm hãy hoàn thành <color=yellow>vượt 5 ải Tiêu Dao Cốc 1 sao<color> hoặc <color=yellow>4 ải độ khó 3 sao trở lên.<color>	3	Khiêu chiến Tiêu Dao Cốc
8	Long Môn Phi Kiếm	2	Tàng Bảo Đồ	Vượt ải Long Môn Phi Kiếm	Vượt ải Long Môn Phi Kiếm	Hãy vượt qua <color=yellow>Tàng Bảo Đồ-Long Môn Phi Kiếm 2 sao trở lên<color> trong hôm nay.	2	Tàng Bảo Đồ 2 sao trở lên
9	Ngạc Luân Hà Nguyên	1	Quân doanh	Vào Ngạc Luân Hà Nguyên đánh bại Bạch Lộc Thần Sứ và Thương Lang Thần Sứ	Vào Ngạc Luân Hà Nguyên	Hãy khiêu chiến thành công Thiết Mộc Chân trong hôm nay, sau khi mở Cơ Quan Chu Tước, <color=yellow>đánh bại Bạch Lộc Thần Sứ và Thương Lang Thần Sứ trong Ngạc Luân Hà Nguyên.<color>	-1	Không có yêu cầu
