lv	min	max	exp²ÎÊý
1	1	100	100
2	101	400	100
3	401	900	105
4	901	1600	105
5	1601	2500	110
6	2501	3600	110
7	3601	4900	115
8	4901	6400	115
9	6401	8100	120
10	8101	10000	120
11	10001	12100	125
12	12101	14400	125
13	14401	16900	130
14	16901	19600	130
15	19601	22500	130
16	22501	25600	130
17	25601	28900	130
18	28901	32400	130
19	32401	36100	130
20	36101	40000	130
21	40001	44100	130
22	44101	48400	130
23	48401	52900	130
24	52901	57600	130
25	57601	62500	130
26	62501	67600	130
27	67601	72900	130
28	72901	78400	130
29	78401	84100	130
30	84101	90000	130
31	90001	96100	130
32	96101	102400	130
33	102401	108900	130
34	108901	115600	130
35	115601	122500	130
36	122501	129600	130
37	129601	136900	130
38	136901	144400	130
39	144401	152100	130
40	152101	160000	130
41	160001	168100	130
42	168101	176400	130
43	176401	184900	130
44	184901	193600	130
45	193601	202500	130
46	202501	211600	130
47	211601	220900	130
48	220901	230400	130
49	230401	240100	130
50	240101	250000	130
51	250001	260100	130
52	260101	270400	130
53	270401	280900	130
54	280901	291600	130
55	291601	302500	130
56	302501	313600	130
57	313601	324900	130
58	324901	336400	130
59	336401	348100	130
60	348101	360000	130
61	360001	372100	130
62	372101	384400	130
63	384401	396900	130
64	396901	409600	130
65	409601	422500	130
66	422501	435600	130
67	435601	448900	130
68	448901	462400	130
69	462401	476100	130
70	476101	490000	130
71	490001	504100	130
72	504101	518400	130
73	518401	532900	130
74	532901	547600	130
75	547601	562500	130
76	562501	577600	130
77	577601	592900	130
78	592901	608400	130
79	608401	624100	130
80	624101	640000	130
81	640001	656100	130
82	656101	672400	130
83	672401	688900	130
84	688901	705600	130
85	705601	722500	130
86	722501	739600	130
87	739601	756900	130
88	756901	774400	130
89	774401	792100	130
90	792101	810000	130
91	810001	828100	130
92	828101	846400	130
93	846401	864900	130
94	864901	883600	130
95	883601	902500	130
96	902501	921600	130
97	921601	940900	130
98	940901	960400	130
99	960401	980100	130
100	980101	1000000	130
