nDegree	nStep	bRoute	nNpcId	nNpcType	nLevel	nX	nY	nX1	nY1
1	1	0	2458	0	99	53152	98688		
1	2	0	2459	0	-1	51552	100256	52832	98944
1	2	0	2459	0	-1	51712	100096	52832	98912
1	2	0	2459	0	-1	51840	99968	52832	98976
1	2	0	2459	0	-1	52000	99840	52960	98752
1	2	0	2459	0	-1	52096	99712	53024	98720
1	2	0	2459	0	-1	52224	99584	53056	98688
1	2	0	2459	0	-1	52384	99456	53056	98656
1	2	0	2459	0	-1	52512	99328	52992	98688
1	2	0	2459	0	-1	52672	99168	52960	98720
1	2	0	2459	0	-1	52800	99008	53152	98624
1	4	0	2460	0	-2	53056	98528		
1	4	0	2460	0	-2	52832	98720		
1	4	0	2460	0	-2	53248	98624		
1	4	0	2460	0	-2	53088	98784		
1	4	0	2460	0	-2	53024	98656		
1	4	0	2461	0	-1	53152	98688		
1	4	1	2461	0	-1	53472	98304		
1	4	1	2461	0	-1	54336	97376		
1	4	1	2461	0	-1	54784	96576		
1	4	0	2462	0	-1	53600	98112		
1	4	0	2462	0	-1	53760	97984		
1	4	0	2462	0	-1	53888	97856		
1	4	0	2462	0	-1	54080	97664		
1	4	0	2462	0	-1	54240	97472		
1	4	0	2462	0	-1	54400	97216		
1	4	0	2462	0	-1	54560	96960		
1	4	0	2462	0	-1	54688	96736		
2	1	0	2463	0	99	55744	95648		
2	2	0	2464	1	-1	54688	94656		
2	2	0	2465	1	-2	56672	96576		
3	1	0	2466	0	99	55648	95648		
3	2	0	2467	1	-1	55648	95648		
3	3	0	2468	1	99	55552	95872		
