AREAID	MAPID	POSX	POSY	NAME
1	58	52544	103264	冰雪迷宫一层
1	58	52896	103904	冰雪迷宫一层
1	58	53696	105152	冰雪迷宫一层
1	58	54112	102464	冰雪迷宫一层
1	58	54016	105760	冰雪迷宫一层
1	58	55072	103360	冰雪迷宫一层
1	58	55264	104000	冰雪迷宫一层
1	58	55744	104832	冰雪迷宫一层
1	58	56064	106784	冰雪迷宫一层
1	58	56000	107328	冰雪迷宫一层
1	58	56320	106048	冰雪迷宫一层
1	58	56864	93344	冰雪迷宫一层
1	58	57120	93824	冰雪迷宫一层
1	68	52544	103264	冰雪迷宫二层
1	68	52896	103904	冰雪迷宫二层
1	68	53696	105152	冰雪迷宫二层
1	68	54112	102464	冰雪迷宫二层
1	68	54016	105760	冰雪迷宫二层
1	68	55072	103360	冰雪迷宫二层
1	68	55264	104000	冰雪迷宫二层
1	68	55744	104832	冰雪迷宫二层
1	68	56064	106784	冰雪迷宫二层
1	68	56000	107328	冰雪迷宫二层
1	68	56320	106048	冰雪迷宫二层
1	68	56864	93344	冰雪迷宫二层
1	68	57120	93824	冰雪迷宫二层
1	114	57216	120320	敕勒川
1	114	57760	119424	敕勒川
1	114	57472	119840	敕勒川
1	114	57856	117984	敕勒川
1	114	57888	118560	敕勒川
1	114	58272	123648	敕勒川
1	114	58432	122080	敕勒川
1	94	51680	107072	居延泽
1	94	52000	107104	居延泽
1	94	52096	111936	居延泽
1	94	51776	112544	居延泽
1	94	51936	112224	居延泽
1	94	51936	114496	居延泽
1	94	51744	114720	居延泽
1	94	52128	116608	居延泽
1	94	52224	106944	居延泽
1	94	52288	112128	居延泽
1	94	52288	112768	居延泽
1	94	52416	116224	居延泽
1	94	52256	116416	居延泽
1	94	52256	117184	居延泽
1	94	52608	117216	居延泽
1	94	53056	106400	居延泽
1	94	53216	109856	居延泽
1	94	53184	110720	居延泽
1	94	53216	116256	居延泽
1	94	52960	117600	居延泽
1	94	53216	117376	居延泽
1	94	53088	116736	居延泽
1	94	53600	105664	居延泽
1	94	53632	106112	居延泽
1	94	53376	106144	居延泽
1	94	53472	109824	居延泽
1	94	54080	104448	居延泽
1	94	53920	104640	居延泽
1	94	54016	110144	居延泽
1	94	53888	109888	居延泽
1	94	53856	111040	居延泽
1	94	54176	113440	居延泽
1	94	54208	113696	居延泽
1	94	54592	113184	居延泽
1	94	54336	113184	居延泽
1	94	54752	113792	居延泽
1	94	54784	113152	居延泽
1	94	56224	112256	居延泽
1	94	56064	112448	居延泽
1	94	55872	112352	居延泽
1	94	56448	111328	居延泽
1	94	56416	112000	居延泽
1	94	57792	112704	居延泽
1	94	57920	111520	居延泽
1	94	58176	111648	居延泽
1	94	57856	112384	居延泽
1	94	58176	112800	居延泽
1	94	58688	112096	居延泽
1	94	59264	113408	居延泽
1	94	58976	113184	居延泽
1	94	59616	113344	居延泽
1	130	58336	116352	蒙古王庭
1	130	57888	117984	蒙古王庭
1	130	58848	111968	蒙古王庭
1	130	59264	111200	蒙古王庭
1	130	59616	109856	蒙古王庭
1	130	59712	114688	蒙古王庭
1	122	52576	102560	漠北草原
1	122	53408	102592	漠北草原
1	122	54432	102560	漠北草原
1	122	55040	102400	漠北草原
1	122	56096	102304	漠北草原
1	122	56608	102176	漠北草原
1	122	57120	102368	漠北草原
1	122	57792	102432	漠北草原
1	122	59008	102400	漠北草原
1	122	59840	102240	漠北草原
1	122	59552	116704	漠北草原
1	122	59648	117312	漠北草原
1	122	59936	116352	漠北草原
1	122	60224	116064	漠北草原
1	122	59936	117248	漠北草原
1	122	60864	102144	漠北草原
1	122	60768	114496	漠北草原
1	122	60480	115520	漠北草原
1	122	60480	114816	漠北草原
1	122	60768	115904	漠北草原
1	122	60768	116352	漠北草原
1	122	60416	117120	漠北草原
1	122	60800	118528	漠北草原
1	122	60768	119136	漠北草原
1	122	60512	118784	漠北草原
1	122	61088	114976	漠北草原
1	122	61280	118336	漠北草原
1	122	61184	119200	漠北草原
1	122	61824	102336	漠北草原
1	122	61600	117888	漠北草原
1	122	61824	118208	漠北草原
1	122	61504	119200	漠北草原
1	122	62688	101984	漠北草原
1	131	55200	111264	伏流洞
1	131	55072	111488	伏流洞
1	131	55104	111808	伏流洞
1	131	55264	112256	伏流洞
1	131	55744	113760	伏流洞
1	131	56000	112416	伏流洞
1	131	55936	112000	伏流洞
1	131	56704	114240	伏流洞
1	131	56832	113440	伏流洞
1	131	56992	114592	伏流洞
1	131	57312	114464	伏流洞
1	2	52064	115520	龙门镇
1	2	51840	115296	龙门镇
1	2	55968	115616	龙门镇
