FishID	FishName	AreaId	AreaName	StaticDesc	DynamicDesc
任务ID	鱼名字	所属区域ID	所属区域名字	静态描述	动态描述
1	鲤鱼	1	西夏境内	前往西夏钓%s/%s条鲤鱼	前往西夏钓%s/%s条鲤鱼
2	黄鱼	1	西夏境内	前往西夏钓%s/%s条黄鱼	前往西夏钓%s/%s条黄鱼
3	虾虎鱼	1	西夏境内	前往西夏钓%s/%s条虾虎鱼	前往西夏钓%s/%s条虾虎鱼
4	鲢鱼	1	西夏境内	前往西夏钓%s/%s条鲢鱼	前往西夏钓%s/%s条鲢鱼
5	鲟鱼	1	西夏境内	前往西夏钓%s/%s条鲟鱼	前往西夏钓%s/%s条鲟鱼
6	白鳗	2	大理境内	前往大理钓%s/%s条白鳗	前往大理钓%s/%s条白鳗
7	草鱼	2	大理境内	前往大理钓%s/%s条草鱼	前往大理钓%s/%s条草鱼
8	鳕鱼	2	大理境内	前往大理钓%s/%s条鳕鱼	前往大理钓%s/%s条鳕鱼
9	鳙鱼	2	大理境内	前往大理钓%s/%s条鳙鱼	前往大理钓%s/%s条鳙鱼
10	霸王鱼	2	大理境内	前往大理钓%s/%s条霸王鱼	前往大理钓%s/%s条霸王鱼
11	铜鱼	3	金国境内	前往金国钓%s/%s条铜鱼	前往金国钓%s/%s条铜鱼
12	鳌花鱼	3	金国境内	前往金国钓%s/%s条鳌花鱼	前往金国钓%s/%s条鳌花鱼
13	大头鱼	3	金国境内	前往金国钓%s/%s条大头鱼	前往金国钓%s/%s条大头鱼
14	巨鳝	3	金国境内	前往金国钓%s/%s条巨鳝	前往金国钓%s/%s条巨鳝
15	鲶鱼	3	金国境内	前往金国钓%s/%s条鲶鱼	前往金国钓%s/%s条鲶鱼
16	团头鱼	4	大宋东部	前往大宋东部钓%s/%s条团头鱼	前往大宋东部钓%s/%s条团头鱼
17	青鱼	4	大宋东部	前往大宋东部钓%s/%s条青鱼	前往大宋东部钓%s/%s条青鱼
18	白鲳	4	大宋东部	前往大宋东部钓%s/%s条白鲳	前往大宋东部钓%s/%s条白鲳
19	鲮鱼	4	大宋东部	前往大宋东部钓%s/%s条鲮鱼	前往大宋东部钓%s/%s条鲮鱼
20	鲫鱼	4	大宋东部	前往大宋东部钓%s/%s条鲫鱼	前往大宋东部钓%s/%s条鲫鱼
21	马哈鱼	5	大宋西部	前往大宋西部钓%s/%s条马哈鱼	前往大宋西部钓%s/%s条马哈鱼
22	金龙鱼	5	大宋西部	前往大宋西部钓%s/%s条金龙鱼	前往大宋西部钓%s/%s条金龙鱼
23	河豚	5	大宋西部	前往大宋西部钓%s/%s条河豚	前往大宋西部钓%s/%s条河豚
24	花鳅	5	大宋西部	前往大宋西部钓%s/%s条花鳅	前往大宋西部钓%s/%s条花鳅
25	河鲈	5	大宋西部	前往大宋西部钓%s/%s条河鲈	前往大宋西部钓%s/%s条河鲈
