level	exp
1	0
2	100
3	125
4	150
5	185
6	220
7	255
8	290
9	325
10	350
11	400
12	450
13	500
14	550
15	600
16	650
17	700
18	750
19	800
20	850
21	990
22	1170
23	1350
24	1530
25	1710
26	1890
27	2070
28	2250
29	2430
30	2610
31	2690
32	2870
33	3050
34	3230
35	3410
36	3590
37	3770
38	3950
39	4130
40	4310
41	4500
42	4780
43	5060
44	5340
45	5620
46	5900
47	6180
48	6460
49	6740
50	7020
51	7200
52	7700
53	8200
54	8700
55	9200
56	9700
57	10200
58	10700
59	11200
60	11700
61	12000
62	12600
63	13200
64	13800
65	14400
66	15000
67	15600
68	16200
69	16800
70	17400
71	17750
72	18250
73	18750
74	19250
75	19750
76	20250
77	20750
78	21250
79	21750
80	22250
81	22600
82	23800
83	25000
84	26200
85	27400
86	28600
87	29800
88	31000
89	32200
90	33400
91	35000
92	36800
93	38600
94	40400
95	42200
96	44000
97	45800
98	47600
99	49400
100	51200
101	54000
102	57000
103	60000
104	63000
105	66000
106	69000
107	72000
108	75000
109	78000
110	81000
111	86000
112	98000
113	110000
114	122000
115	134000
116	146000
117	158000
118	170000
119	182000
120	194000
