Id	StartDate	EndDate	Desc
1346	20080909	20080916	Kẹo nguyệt quế (Hoạt động phối phương)
1347	20080909	20080916	Hạt sen (Hoạt động phối phương)
1348	20080909	20080916	Bánh Trung Thu (Hoạt động phối phương)
1359	20091222	20100105	Khối tuyết nhỏ (Hoạt động phối phương)
1360	20091222	20100105	Khối tuyết nhỏ (Hoạt động phối phương)
1361	20091222	20100105	Khối tuyết nhỏ (Hoạt động phối phương)
1362	20091222	20100105	Khối tuyết nhỏ (Hoạt động phối phương)
1363	20091222	20100105	Khối tuyết nhỏ (Hoạt động phối phương)
1364	20091222	20100105	Bông tuyết (Hoạt động phối phương)
1365	20091222	20100105	Bông tuyết (Hoạt động phối phương)
1366	20091222	20100105	Bông tuyết (Hoạt động phối phương)
1367	20091222	20100105	Bông tuyết (Hoạt động phối phương)
1368	20091222	20100105	Bông tuyết (Hoạt động phối phương)
1542	20090331	20090407	Bột nếp (Hoạt động phối phương)
1543	20090331	20090407	Bột nếp (Hoạt động phối phương)
1544	20090331	20090407	Bột nếp (Hoạt động phối phương)
1545	20090331	20090407	Bột nếp (Hoạt động phối phương)
1546	20090331	20090407	Bột nếp (Hoạt động phối phương)
1547	20090331	20090407	Đậu đường (Hoạt động phối phương)
1548	20090331	20090407	Đậu đường (Hoạt động phối phương)
1549	20090331	20090407	Đậu đường (Hoạt động phối phương)
1550	20090331	20090407	Đậu đường (Hoạt động phối phương)
1551	20090331	20090407	Đậu đường (Hoạt động phối phương)
1552	20090331	20090407	Bánh lá dứa (Hoạt động phối phương)
1553	20090331	20090407	Bánh lá dứa (Hoạt động phối phương)
1554	20090331	20090407	Bánh lá dứa (Hoạt động phối phương)
1555	20090331	20090407	Bánh lá dứa (Hoạt động phối phương)
1556	20090331	20090407	Bánh lá dứa (Hoạt động phối phương)
1573	20090526	20090626	Tấm gỗ vân sam (Hoạt động)
1574	20090526	20090626	Tấm gỗ vân sam (Hoạt động)
1575	20090526	20090626	Tấm gỗ vân sam (Hoạt động)
1576	20090526	20090626	Tấm gỗ vân sam (Hoạt động)
1587	20090526	20090626	Tấm gỗ vân sam (Hoạt động)
1588	20090526	20090626	Đinh sắt thô (Hoạt động)
1589	20090526	20090626	Đinh sắt thô (Hoạt động)
1590	20090526	20090626	Đinh sắt thô (Hoạt động)
1591	20090526	20090626	Đinh sắt thô (Hoạt động)
1592	20090526	20090626	Đinh sắt thô (Hoạt động)
1593	20090526	20090626	Dầu Đồng tốt (Hoạt động)
1594	20090526	20090626	Dầu Đồng tốt (Hoạt động)
1595	20090526	20090626	Dầu Đồng tốt (Hoạt động)
1596	20090526	20090626	Dầu Đồng tốt (Hoạt động)
1597	20090526	20090626	Dầu Đồng tốt (Hoạt động)
1598	20090526	20090626	Thuyền rồng (Hoạt động)
1599	20090526	20090626	Thuyền rồng (Hoạt động)
