SkillId	SkillLevel	SkillValue
1200	10	450000
1201	10	450000
1202	10	450000
1202	10	450000
1203	10	450000
1204	10	450000
1205	10	450000
1206	10	450000
1207	10	450000
1208	10	450000
1209	10	450000
1210	10	450000
1211	10	450000
1212	10	450000
1213	10	450000
1214	10	450000
1215	10	450000
1216	10	450000
1217	10	450000
1218	10	450000
1219	10	450000
1220	10	450000
1221	10	450000
1222	10	450000
1241	10	1500000
1242	10	1500000
1243	10	1500000
1244	10	1500000
1245	10	1500000
1246	10	1500000
1247	10	1500000
1248	10	1500000
1249	10	1500000
1250	10	1500000
1251	10	1500000
1252	10	1500000
1253	10	1500000
1254	10	1500000
1255	10	1500000
1256	10	1500000
1257	10	1500000
1258	10	1500000
1259	10	1500000
1260	10	1500000
1261	10	1500000
1262	10	1500000
1263	10	1500000
1264	10	1500000
