Index	nTreasure	nNum	Genre	Detail	Particular	Level	RandRate	LuckyRate	Name	Money	BindMoney
1	5	1	18	1	1	3	250000		3¼¶Ðþ¾§		
1	5	1	18	1	1	4	250000		4¼¶Ðþ¾§		
1	5	1	18	1	1	5	200000		5¼¶Ðþ¾§		
1	5	1	18	1	1	6	150000		6¼¶Ðþ¾§		
1	5	1	18	1	1	7	100000		7¼¶Ðþ¾§		
1	5	1	18	1	1	8	50000		8¼¶Ðþ¾§		
2	2	1	2	1	867	6	80000		µ¶À¥ÁÒÑæµ¶£¨6¼¶³È×°PvP£©		
2	2	1	2	1	507	6	80000		µ¶À¥ÁÒÑæµ¶£¨6¼¶×Ï×°PvP£©		
2	2	1	2	1	866	5	80000		µ¶À¥ÔÂÑÀµ¶£¨5¼¶³È×°PvP£©		
2	2	1	2	1	506	5	80000		µ¶À¥ÔÂÑÀµ¶£¨5¼¶×Ï×°PvP£©		
2	2	1	2	1	896	5	80000		½£À¥ÁúÈª½££¨5¼¶³È×°PvP£©		
2	2	1	2	1	536	5	120000		½£À¥ÁúÈª½££¨5¼¶×Ï×°PvP£©		
2	2	1	2	1	897	6	120000		½£À¥ÍòØð½££¨6¼¶³È×°PvP£©		
2	2	1	2	1	537	6	120000		½£À¥ÍòØð½££¨6¼¶×Ï×°PvP£©		
2	2	1	2	1	876	5	120000		½£ÎäÁúÈª½££¨5¼¶³È×°PvP£©		
2	2	1	2	1	516	5	120000		½£ÎäÁúÈª½££¨5¼¶×Ï×°PvP£©		
3	5						300000		Ç®1	20000	
3	5						200000		Ç®2	50000	
3	5						100000		Ç®3		80000
4	3	10	18	1	357	1	200000		ÇØÁê¡¤Ò¹Ã÷Öé		
4	3	20	18	1	357	1	200000		ÇØÁê¡¤Ò¹Ã÷Öé		
4	3	30	18	1	357	1	200000		ÇØÁê¡¤Ò¹Ã÷Öé		
4	3	40	18	1	357	1	200000		ÇØÁê¡¤Ò¹Ã÷Öé		
4	3	50	18	1	357	1	200000		ÇØÁê¡¤Ò¹Ã÷Öé		
