Name	Kind	kind3	kind2	kind7	kind4	kind5	kind6	SuiteID	bVN	b2	Category	Genre	DetailType	ParticularType	Level
Yển Nguyệt Đao	Trang bị xanh_Yển Nguyệt Đao (Đao Thiếu)	Hệ ngoại công		Hệ Kim		3	pve				13	2	1	11	10
Kim Cô Bổng	Trang bị xanh_Kim Cô Bổng (Côn Thiếu)	Hệ ngoại công		Hệ Kim		3	pve				14	2	1	21	10
Phá Thiên Kích	Trang bị xanh_Phá Thiên Kích (Thương Thiên)	Hệ cách đấu		Hệ Kim		3	pve				15	2	1	31	10
Phá Thiên Chùy	Trang bị xanh_Phá Thiên Chùy (Chùy Thiên)	Hệ cách đấu		Hệ Kim		3	pve				16	2	1	41	10
Yển Nguyệt Đao	Trang bị xanh_Yển Nguyệt Đao (Đao Độc)	Hệ ngoại công		Hệ Mộc		3	pve				13	2	1	51	10
Thanh Long Triền Thủ	Trang bị xanh_Thanh Long Triền Thủ (Chưởng Độc)	Hệ nội công		Hệ Mộc		3	pve				11	2	1	61	10
Yển Nguyệt Đao	Trang bị xanh_Yển Nguyệt Đao (Đao Thúy)	Hệ ngoại công		Hệ Thủy		3	pve				13	2	1	71	10
Thanh Long Triền Thủ	Trang bị xanh_Thanh Long Triền Thủ (Chỉ Đoàn)	Hệ cách đấu		Hệ Thủy		3	pve				11	2	1	81	10
Thanh Long Triền Thủ	Trang bị xanh_Thanh Long Triền Thủ (Chưởng Nga)	Hệ nội công		Hệ Thủy		3	pve				11	2	1	91	10
Long Uyên Kiếm	Trang bị xanh_Long Uyên Kiếm (Kiếm Thúy, Khí Đoàn, Phụ Nga)	Hệ nội công		Hệ Thủy		3	pve				12	2	1	101	10
Kim Cô Bổng	Trang bị xanh_Kim Cô Bổng (Côn Cái)	Hệ ngoại công		Hệ Hỏa		3	pve				14	2	1	111	10
Phá Thiên Kích	Trang bị xanh_Phá Thiên Kích (Chiến Nhẫn)	Hệ ngoại công		Hệ Hỏa		3	pve				15	2	1	121	10
Thanh Long Triền Thủ	Trang bị xanh_Thanh Long Triền Thủ (Chưởng Cái)	Hệ nội công		Hệ Hỏa		3	pve				11	2	1	131	10
Yển Nguyệt Đao	Trang bị xanh_Yển Nguyệt Đao (Ma Nhẫn)	Hệ nội công		Hệ Hỏa		3	pve				13	2	1	141	10
