Name	Kind	kind3	kind2	kind7	kind4	kind5	kind6	SuiteID	bVN	b2	Category	Genre	DetailType	ParticularType	Level
Tiên Duyên Phù	Trang bị xanh_Tiên Duyên Phù cho tất cả hệ phái hệ Kim			Hệ Kim		3	pve				1	2	6	11	10
Tiên Duyên Phù	Trang bị xanh_Tiên Duyên Phù cho tất cả hệ phái hệ Mộc			hệ Mộc		3	pve				1	2	6	21	10
Tiên Duyên Phù	Trang bị xanh_Tiên Duyên Phù cho tất cả hệ phái hệ Thủy			Hệ Thủy		3	pve				1	2	6	31	10
Tiên Duyên Phù	Trang bị xanh_Tiên Duyên Phù cho tất cả hệ phái hệ Hỏa			Hệ Hỏa		3	pve				1	2	6	41	10
Tiên Duyên Phù	Trang bị xanh_Tiên Duyên Phù cho tất cả hệ phái hệ Thổ			Hệ Thổ		3	pve				1	2	6	51	10
Tiên Duyên Phù	Trang bị tím PVE_Tiên Duyên Phù cho tất cả hệ phái hệ Kim			Hệ Kim		4	pve				1	2	6	61	10
Tiên Duyên Phù	Trang bị tím PVE_Tiên Duyên Phù cho tất cả hệ phái hệ Mộc			hệ Mộc		4	pve				1	2	6	71	10
Tiên Duyên Phù	Trang bị tím PVE_Tiên Duyên Phù cho tất cả hệ phái hệ Thủy			Hệ Thủy		4	pve				1	2	6	81	10
Tiên Duyên Phù	Trang bị tím PVE_Tiên Duyên Phù cho tất cả hệ phái hệ Hỏa			Hệ Hỏa		4	pve				1	2	6	91	10
Tiên Duyên Phù	Trang bị tím PVE_Tiên Duyên Phù cho tất cả hệ phái hệ Thổ			Hệ Thổ		4	pve				1	2	6	101	10
Tiên Duyên Phù	Trang bị tím PVP_Tiên Duyên Phù cho tất cả hệ phái hệ Kim			Hệ Kim		4	pvp				1	2	6	111	10
Tiên Duyên Phù	Trang bị tím PVP_Tiên Duyên Phù cho tất cả hệ phái hệ Mộc			hệ Mộc		4	pvp				1	2	6	121	10
Tiên Duyên Phù	Trang bị tím PVP_Tiên Duyên Phù cho tất cả hệ phái hệ Thủy			Hệ Thủy		4	pvp				1	2	6	131	10
Tiên Duyên Phù	Trang bị tím PVP_Tiên Duyên Phù cho tất cả hệ phái hệ Hỏa			Hệ Hỏa		4	pvp				1	2	6	141	10
Tiên Duyên Phù	Trang bị tím PVP_Tiên Duyên Phù cho tất cả hệ phái hệ Thổ			Hệ Thổ		4	pvp				1	2	6	151	10
Tiên Duyên Phù	Trang bị cam PVE_Tiên Duyên Phù cho tất cả hệ phái hệ Kim			Hệ Kim		5	pve				1	2	6	161	10
Tiên Duyên Phù	Trang bị cam PVE_Tiên Duyên Phù cho tất cả hệ phái hệ Mộc			hệ Mộc		5	pve				1	2	6	171	10
Tiên Duyên Phù	Trang bị cam PVE_Tiên Duyên Phù cho tất cả hệ phái hệ Thủy			Hệ Thủy		5	pve				1	2	6	181	10
Tiên Duyên Phù	Trang bị cam PVE_Tiên Duyên Phù cho tất cả hệ phái hệ Hỏa			Hệ Hỏa		5	pve				1	2	6	191	10
Tiên Duyên Phù	Trang bị cam PVE_Tiên Duyên Phù cho tất cả hệ phái hệ Thổ			Hệ Thổ		5	pve				1	2	6	201	10
