nIndex	szName	szShortName	szDesc
1	北京市	京	北京市，简称“京”，是中华人民共和国首都，四个中央直辖市之一，全国第二大城市及政治、交通和文化中心。自中国金朝起，第一次成为古代中国的都城，是为北京建都之始。北京荟萃了自元明清以来的中华文化，拥有众多名胜古迹和人文景观。北京迎接每年超过1亿4700万的旅客。
2	天津	津	天津，中华人民共和国四个中央直辖市之一。是中国大陆三大的经济、金融、贸易和航运中心之一。经历600余年的沧海桑田，特别是近代百年，造就了天津中西合璧、古今兼容的独特城市风貌。“近代百年看天津”，成为世人共识。
3	上海	沪	上海，中国大陆第一大城市，四个中央直辖市之一。拥有中国最大的工业基地、最大的外贸港口。春秋时属吴国东境，春秋末年入于越，战国时属楚国，曾经是楚国春申君黄歇的封邑，贯穿现代上海的是黄浦江。有超过2000万人居住和生活在上海地区，其中大部分属汉族江浙系，通行吴语上海话。
4	重庆	渝	重庆是中国著名的历史文化名城。重庆古称江州，以后又称巴郡、楚州、渝州、恭州。南北朝时，巴郡改为楚州。因为重庆的地理环境，重庆多山多雾，故又有雾都、山城的别名。
5	河北	冀	省会石家庄，是中华民族的发源地之一。燕赵大地处于北方，辽阔广袤，燕山南北，长城内外，自远古以来就是北方民族与中原民族交错杂居的地带，各族人民之间的往来，通过各种渠道，在这里汇聚，因此，北方各游牧民族与中原华夏汉族之间两种相互区别而又相互依赖的历史文化，在这里融合。
6	山西	晋	山西位于太行山之西，黄河以东。是中华民族的发祥地之一。省会太原市。山西之名，因居太行山之西而得名。自古被称为“表里山河”。春秋时期，大部分地区为晋国所有，所以简称“晋”；战国初期，韩、赵、魏三家分晋，因而又称“三晋”。
7	辽宁	辽	辽宁简称辽，省会沈阳。辽宁历史悠久，是中华民族和中华文明的发源地之一。寓意“辽河流域，永远安宁”，位于中国东北地区的南部，是中国东北经济区和环渤海经济区的重要结合部。辽宁是东北地区通往关内的交通要道，也是东北地区和内蒙古通向世界、连接欧亚大陆桥的重要门户和前沿地带。
8	吉林	吉	吉林简称吉，省会长春。吉林省位于中国东北地区中部，北界黑龙江省，南接辽宁省，西邻内蒙古自治区。吉林省历史上长期是汉、满、蒙古等少数民族活动和聚居之地。著名旅游景点有长白山、吉林雾凇、松花湖等美景，其境内主产的人参、貂皮、鹿茸被誉为东北三宝。
9	黑龙江	黑	地处祖国东北隅，东、北依邻俄罗斯，边界长达三千千米。省会哈尔滨。早在距今三至四万年的旧石器时期，此地就有人类活动。黑龙江省有10个世居少数民族，满族、赫哲、鄂伦春、朝鲜、蒙古等少数民族风情浓郁。
10	江苏	苏	江苏省省会南京，江苏境内平原辽阔，土地肥沃，物产丰富，江河湖泊密布，五大淡水湖中的太湖、洪泽湖在此横卧，历史上素有“鱼米之乡”的美誉，江苏的简称“苏”的繁体字原本就是此意。江苏历史悠久、文化多元、兼具南北色彩。源于江苏的中国最古老的剧种昆曲更有“百戏之祖”的称誉。
11	浙江	浙	浙江简称浙，省会杭州市。“浙江”是钱塘江的古称，意为曲折的江水。地处江南故地，境内最大河流为钱塘江，海拔1929米的黄茅尖为浙江省最高峰。钱江潮常被媒体用作比喻浙江人的拼搏精神。浙江文化灿烂，人文荟萃，科技教育发达，名胜古迹众多，素享“文物之邦，旅游之地”美誉。在历史上，浙江涌现的科技教育、文化名人灿若星河。
12	安徽	皖	安徽省会合肥，境内有皖山、皖水，即现今的天柱山和皖河，春秋时曾被封为伯国，称为皖国，故安徽简称皖。安徽人杰地灵、历史文化多元。由于历史地理因素导致安徽全省分为若干不同的文化区域。徽州文化是安徽文化的代表，也是明清时期最有影响的文化流派，有力地诠释了儒家文化与经商之道的结合真谛，开创了“儒商”典范。
13	福建	闽	福建省会福州。福建历史源远流长，科学文化曾盛极一时。5000年前，先民们就在此生息繁衍，创造了可与仰韶文化、河姆渡文化相媲美的昙石山文化。三国时因造船业和航海技术发达，福建成为孙吴的一个水军基地和对外通商口岸。南宋和元代，泉州成为世界上最大商港之一。
14	江西	赣	江西省省会南昌。江西，古称“吴头楚尾，闽腹粤庭”，是“形胜之区”。位于中国东南、长江中下游南岸。因公元733年唐玄宗设江南西道而得省名，又因境内主要河流赣江而得简称。自古以来物产富饶、人文荟萃，素有“物华天宝、人杰地灵”之誉。景德镇的瓷器源远流长。
15	山东	鲁	山东，古为齐鲁之地，省会济南。山东以在太行山之东而得名。位于中国东部沿海、黄河下游、京杭大运河的中北段，省会设于济南，省内主要特大城市有济南、青岛、烟台、淄博。西部连接内陆，从北向南分别与河北、河南、安徽、江苏四省接壤；中部高突，泰山是全境最高点。
16	河南	豫	河南是中华文明和中华民族最重要的发源地。河南是中华文明和中华民族最重要的发源地。4000多年前，河南为中国九州中心之豫州，故简称“豫”，且有“中州”和“中原”和“中土”之称。河南是华族早期主要居住的地方。中国历史上绝大部分时间的政治、经济和文化中心都在河南。如今，河南既是传统的农业大省和人口大省，又是新兴的经济大省和工业大省。少林寺、龙门石窟、黄帝故里、等均是河南有名的旅游景点。
17	湖北	鄂	湖北省省会武汉。湖北省位于我国的中南部，长江中游。因地处洞庭湖以北，故称“湖北”，简称鄂。 距今四五千年前已有陶器制作和水稻种植；战国时，今荆州市纪南城为楚郢都遗址，亦是长江流域“楚文化”的中心，楚国曾建都于此达411年。春秋战国时大冶已有采铜冶炼。
18	湖南	湘	湖南省湖南省地处中国中南部，长江中游，地理上属于华中地区，省会为长沙；因地处洞庭湖以南得名“湖南”，又因湘江贯穿全境而简称“湘”。湖南历史悠久，旧石器时代有人类活动，古为苗人、越人和楚人的生活地区。湖南自古为鱼米之乡，物产丰富，人民勤勉，精耕细作，种植水稻已 有万余年历史。
19	广东	粤	广东在语言风俗、历史文化等方面都有着独特的一面。广东具有历史悠久而又独具特色的文化。主要有广府文化，客家文化，潮汕文化三大块。其省会广州乃中国第三大城市，中国五大国家中心城市之一，广东省的省会，华南地区政治、经济、科技、教育和文化中心；中国最重要的交通枢纽之一、列中国第一批历史文化名城、全国三大金融中心之一。
20	海南	琼	海南岛是中国南海上的一颗璀璨的明珠，是仅次于台湾的全国第二大岛。海南省是中国陆地面积最小，海洋面积最大的省。当北国千里冰封的时候，这里依然暖风和煦，可以海浴。千百年来，古朴独特的民族风情使本岛社会风貌显得更加丰富多彩。其中最具有特色的便是黎族与苗族的生活习俗。早在远古时代，黎族同胞就在这块土地上刀耕火种，以独特的民族文化和绚丽的织锦工艺著称于世。
21	四川	川	四川省简称川或蜀，省会成都。属中国西南内陆，西有青藏高原相扼，东有三峡险峰重叠，北有巴山秦岭屏障，南有云贵高原拱卫，形成了闻名于世的四川盆地，地大物博，历史悠久，自古以来就享有“天府之国”的美誉。同时四川也是我国“中国第二大藏区”、“唯一的羌族聚集区”、“最大的彝族聚集地”。
22	贵州	黔	贵州省省会贵阳。地处中国西南部，是中国西南地区的三大省份组成部分之一，省会贵阳更因气候宜人，适合避暑消夏而成为“世界避暑之都”。是一个秀丽古朴、气候宜人、风景如画的地区。贵州茅台镇所产的茅台酒被誉为中国的国酒，也是与英国威士忌、法国白兰地一同齐名的世界三大蒸馏酒。
23	云南	滇	云南省省会昆明市，位于中国西南边陲。战国时期，这里是滇族部落的生息之地。云南，即“彩云之南”，另一说法是因位于“云岭之南”而得名。北回归线从该省南部横穿而过。其中丽江古城是云南最大、最古老的民族古城。云南省也素有“动物王国”“植物王国”和“有色金属王国”的美誉。
24	陕西	陕	陕西省省会西安。历史悠久，文化底蕴深厚。陕西在历史上较长时期一直简称为“秦”。秦岭从轩辕黄帝在这里铸鼎、分华夏为九州，到中华农耕文明的始祖后稷在这里教稼先民从事农业生产；从中华文字文明的始祖仓颉在这里发明文字，到周文王制定礼乐制度、周武王分封天下；从秦始皇统一中国，到灿烂辉煌的汉唐盛世；从丝绸之路的起点到赐福镇宅圣君钟馗故里，这里是古代中国的政治、经济、文化中心之一。　 
25	甘肃	甘	甘肃省省会兰州。它东接陕西，南控巴蜀青海，西倚新疆，北扼内蒙古、宁夏，是古丝绸之路的锁匙之地和黄金路段，并与蒙古国接壤，它像一块瑰丽的宝玉，镶嵌在中国中部的黄土高原、青藏高原和内蒙古高原上。它是中华民族灿烂文化的重要发祥地。代传说中的四千年前的炎帝（号神农氏）、黄帝（号有熊氏，又号轩辕氏）也起于西北。
26	青海	青	青海历史悠久，地处华夏民族的摇篮——黄河、长江的源头。雄踞“世界屋脊”的青海省是个神秘而诱人的地方，她仿佛是一块未经雕琢的玉石，粗拙中透出珠光宝气，平静中显出神奇风采。无论是前往新疆还是西藏、敦煌还是拉萨，青海是人们去往西部旅游时的必经之地，那里大部分土地都是戈壁和雪山，不适合于人居住。但是青海的人文资源和地理资源都十分的丰富，至今仍是登山者的乐园，勇敢者的天堂。 
27	台湾	台	远古时代，台湾与大陆相连，后来因地壳运动，相连接的部分沉入海中，形成海峡，出现台湾岛。台湾岛是中国的第一大岛，位于祖国东南沿海的大陆架上。台湾扼西太平洋航道的中心，是中国与太平洋地区各国海上联系的重要交通枢纽。台湾在清代即有‘八景十二胜‘之说，包括：阿里山云海、双潭秋月、玉山积云等都是名扬海内外的盛景。
28	西藏自治区	藏	西藏以其雄伟壮观、神奇瑰丽的自然风光闻名。她地域辽阔，地貌壮观、资源丰富，有着“世界屋脊”之称。。自古以来，这片土地上的人们创造了丰富灿烂的民族文化。地处世界上最大最高的青藏高原，平均海拔4千米以上。拉萨市是西藏自治区的首府，是全区政治、经济、文化和交通中心，也是一座有1300多年历史的文化名城。
29	内蒙古自治区	内蒙古	内蒙古自治区简称蒙。省会呼和浩特市，内蒙古位于中国北部边疆，西北紧邻蒙古和俄罗斯。面积118万平方公里；以蒙古族和汉族数量最多，此外，还有朝鲜、回、满、达斡尔、鄂温克、鄂伦春等民族。内蒙古有丰富多彩的民族文化，赛马、摔跤、射箭被称为蒙古族的“男儿三艺”。蒙古包、那达慕盛会、献哈达、手扒羊肉、安代舞等都是内蒙古特色文化的精萃。
30	广西壮族自治区	桂	广西全称广西壮族自治区，简称“桂”。首府南宁是东盟十国和中国团结合作的聚会地点，素有绿城之美称。南宁是广西旅游的交汇点，以南宁为中心的桂南旅游区是广西四大旅游区之一，北连山水甲天下的桂林，南接“天下第一滩”北海银滩。境内民族众多如壮族的三月三歌节、瑶族的达努节和盘王节、苗族的踩花山、仫佬族的走坡节、侗族的花炮节，以及别有风味的打油茶等，都充满着浓郁的民族风情。
31	宁夏回族自治区	宁	宁夏全称宁夏回族自治区，简称宁，是我国五大自治区之一。宁夏自治区首府银川。宁夏位于“丝绸之路”上，历史上曾是东西部交通贸易的重要通道。宁夏居黄河上游，北倚贺兰山，南凭六盘山，黄河纵贯北部全境，历史文化悠久，古今素有“塞上江南”之美誉，宁夏是中华文明的发祥地之一。
32	新疆维吾尔自治区	新	新疆维吾尔自治区，简称新，首付乌鲁木齐。位于亚欧大陆中部，地处中国西北边陲，总面积166.49万平方公里，占全国陆地边境线的四分之一，是中国面积最大、陆地边境线最长、毗邻国家最多的省区。新疆地域广阔，新疆水土光热资源丰富，旅游名胜众多。由于新疆大部分地区春夏和秋冬之交日温差极大，故历来有“早穿皮袄午穿纱，围着火炉吃西瓜”之说。
33	香港	港	亚洲繁华的大都市，地区及国际金融中心之一，条件优越的天然深水港，1842年至1997年是英国的殖民地，1997年7月1日回归中国。面积约1104平方公里，人口超过700万，主要产业包括地产业、银行及金融服务业、旅游业、工贸服务业、社会和个人服务业。香港以廉洁的政府、良好的治安、自由的经济体系以及完善的法治闻名于世。
34	澳门	澳	澳门是中华人民共和国的一个特别行政区。早在新石器时代，中华民族的祖先，已在澳门一带的地区劳动、生息。澳门、路环、黑沙等地，早已是中国大陆的原始居民足迹所到之处。澳门由中国秦朝起已经是中国领土，中国元朝海军长期在珠三角附近巡逻。澳门是“世界四大赌城”之一。其著名的纺织品、玩具、旅游业、酒店和娱乐场使得澳门长盛不衰。因此，澳门也是全球最富裕的城市之一。
