TITLE	RIGHT	ANSWER1	ANSWER2	ANSWER3
“那达慕”在蒙古语中的含义是？	3	勇气	天地	游戏
下面哪一项不是“那达慕”中有的项目？	3	马竞走	蒙古棋	登山
摔跤运动规则严谨细致，以下哪一项摔跤规则是不正确的。	2	不允许抱腿	不允许抓摔对手衣物	不允许踢及膝盖以上任何部位
摔跤手在蒙语中叫做什么？	3	铁裤	皮裤	布裤
摔跤比赛以那一种行为判定为负？	1	一方选手膝部以上落地	一方选手背部着地	一方选手腰部以上落地
那达慕的赛马项目不包括哪一种？	3	快马赛	颠马赛	跃马赛
蒙古的男儿三项中，不包括哪一项？	1	套马	骑射	摔跤
那达慕的前身为成吉思汗举办的“大聚会”，它的名字是？	3	大忽力革里	大忽尔革台	大忽力革台
草原上驯马时，常用到套马的技巧。套马时使用那种工具？	2	套马索	套马杆	套马绳
成吉思汗的完整姓名是。	2	郭洛尔罗·铁木真	孛儿只斤·铁木真	巴彦喀拉·铁木真
蒙古骑兵配备的武器，一般来说不包括以下哪种	3	狼牙棒	弯刀	骑枪
蒙古人最常饮用的酒是什么？	3	葡萄酒	烧刀子	马奶酒
蒙军骑兵一般都会配发两种箭簇，一重一轻，那么	2	重箭簇远射  轻箭簇近射	轻箭簇远射  重箭簇近射	差不多一个意思
鄂伦河的下游是？	3	淮河	黑龙江	松花江
鄂伦河又被称作	1	黑水	鄂伦	蒙河
蒙古人惯常食用的食物不包括以下那种	3	牛羊肉 牛羊杂	奶食	猪肉
蒙古军队中 “四杰”包括？	1	木华黎	郭靖	哲别
蒙古军队中“四勇”不包括？	2	忽必来	木华黎	速不台
蒙军中传说最擅长射箭的勇士名为？	2	者勒蔑	哲别	窝阔台
以下那一个不是铁木真的儿子	2	拖雷	札木合	窝阔台
成吉思汗的护卫军名字叫做？	2	虎翼军	怯薛军	龙骧军
蒙古军队中 “四杰”不包括？	2	赤老温	窝阔台	木华黎
以下哪项不是蒙古战马的特点？	3	耐饥渴	善长途奔袭	冲刺速度极快
在蒙古人家中做客，那一种行为是不礼貌的？	3	用刀子叉食肉类	用大碗不停喝酒	在火炉上暖脚
传说中蒙古人的祖先是什么化身的？	3	草原鹰	草原狼	苍狼与白鹿
蒙古人常说的“腾格里”指？	2	白色之神	天神	水神
蒙古人常用的奶食种类不包括？	3	奶皮子	黄油	奶糕
蒙古常用奶食奶皮子的做法是？	1	鲜奶煮沸后冷却，表面凝结而成的奶脂皮	鲜奶发酵后榨干水分，制成薄片	鲜奶加入青稞麦粉，入锅烤制而成
套马杆的材料一般为？	1	白桦木	柳木	竹
拖雷是成吉思汗的第几个儿子？	3	长子	次子	四子
