POSX	POSY
57824	113536
57696	113920
58272	113024
58016	113248
58144	113120
58240	113344
58336	114624
58336	114144
58240	113824
58176	114336
57984	114048
57952	113824
57856	113792
58112	113824
58368	112832
58720	112928
58592	112672
58752	113184
58496	113056
58720	113408
58528	113376
58368	113280
58432	113600
58784	113760
58816	114272
58688	114112
58688	113856
58688	114464
58496	114624
58592	114336
58560	114080
58400	114368
58432	113984
58944	113056
59136	113408
58976	113600
58912	113312
59136	113792
59008	114144
