CAMPID	CLASSID	LEVEL	TITLEPARAM
1	1	10	9,13,1,0
1	2	1	9,21,1,0
1	2	2	9,21,2,0
1	2	3	9,21,3,0
1	2	4	9,21,4,0
1	2	5	9,21,5,0
1	2	6	9,21,6,0
1	2	7	9,21,7,0
1	2	8	9,21,8,0
1	2	9	9,21,9,0
1	2	10	9,21,10,0
2	1	6	9,14,1,0
2	2	6	9,15,1,0
2	3	6	9,16,1,0
3	1	9	9,1,1,0
3	2	9	9,2,1,0
3	3	9	9,3,1,0
3	4	9	9,4,1,0
3	5	9	9,7,1,0
3	6	9	9,6,1,0
3	7	9	9,9,1,0
3	8	9	9,10,1,0
3	9	9	9,11,1,0
3	10	9	9,12,1,0
3	11	9	9,5,1,0
3	12	9	9,8,1,0
4	1	9	9,17,1,0
5	1	9	9,18,1,0
5	3	4	9,20,1,0
6	1	4	9,19,1,0
6	2	4	9,19,1,0
6	3	4	9,19,1,0
6	4	4	9,19,1,0
6	5	4	9,19,1,0
10	2	9	9,23,1,0
