LEVEL	EXP_UPGRADE	POTENTIAL	STRENGTH	DEXTERITY	VITALITY	ENERGY	FIGHT_SKILL_POINT	LIFE	MANA	STAMINA	LUCK	GATHER	MAKE	SPEED_WALK	SPEED_RUN	ATTACK_SPEED	CAST_SPEED	ATTACK_RATE	DEFENCE	DAMAGE_PHYSICS	DAMAGE_MAGIC	RESIST_METAL	RESIST_WOOD	RESIST_WATER	RESIST_FIRE	RESIST_EARTH	RESIST_CONQUER	RESIST_BE_CONQUER	MOVESPEED_ADDP	BASE_AWARD_EXP	BASE_ANGERATK	PRODUCTIVITY	MAX_CARRY_MONEY
1	1000	0	50	50	50	50	0	100	50	500	2	1000	1000	5	10	0	0	0	0	0	0	0	0	0	0	0	0.5	-0.5	20	500	60	10	100000
2	2000	10	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	-0.5	0	500	65	10	100000
3	3000	10	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	-0.5	0	500	70	10	100000
4	4500	10	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	-0.5	0	500	75	10	100000
5	5800	10	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	-0.5	0	500	80	10	100000
6	7000	10	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	-0.5	0	500	85	10	100000
7	8400	10	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	-0.5	0	500	90	10	100000
8	11300	10	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	-0.5	0	500	95	10	100000
9	17000	10	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	-0.5	0	500	100	10	100000
10	22400	10	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	-0.5	0	1250	140	20	300000
11	29000	10	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	-0.5	0	1250	180	20	300000
12	36000	10	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	-0.5	0	1250	220	20	300000
13	45000	10	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	-0.5	0	1250	260	20	300000
14	58000	10	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	-0.5	0	1250	300	20	300000
15	75000	10	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	-0.5	0	1250	350	20	300000
16	95000	10	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	-0.5	0	1250	390	20	300000
17	120000	10	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	-0.5	0	1250	430	20	300000
18	175000	10	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	-0.5	0	1250	480	20	300000
19	244600	10	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	-0.5	0	1250	530	30	300000
20	250000	10	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	-0.5	0	2000	620	30	1000000
21	256000	10	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	-0.5	0	2000	690	30	1000000
22	264000	10	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	-0.5	0	2000	760	30	1000000
23	273000	10	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	-0.5	0	2000	830	30	1000000
24	283000	10	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	-0.5	0	2000	900	30	1000000
25	303000	10	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	-0.5	0	2000	970	30	1000000
26	343000	10	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	-0.5	0	2000	1000	30	1000000
27	423000	10	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	-0.5	0	2000	1100	30	1000000
